CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg03830712,Parkinson's_Disease,chr10,17347391.0,17347392.0,,,,2.003922142570318e-12,9.728901727628914e-07,0.1788532433744886,0.0007934847614454,0.064322872227691,0.0957530049750171,EWAS-specific
cg08114410,Parkinson's_Disease,chr7,57323862.0,57323863.0,,,N_Shore,4.479865194673349e-12,9.84412320030827e-07,0.2036443455679118,4.8716095560801406e-11,1.4756350172162094e-05,0.196166338516971,Common
cg01818539,Parkinson's_Disease,chr17,33324773.0,33324774.0,LIG3;LIG3,Body;Body,,6.082965068687872e-12,9.84412320030827e-07,-0.1851650951185374,1.0430742142896786e-08,0.0002252374042738,-0.1634568813886057,Common
cg00264578,Parkinson's_Disease,chr20,59864534.0,59864535.0,CDH4,Body,N_Shore,2.5008859821913595e-11,3.0354065953800744e-06,-0.2052174737999626,2.6983933204126292e-08,0.0003689950512814,-0.1706542826224354,Common
cg01234563,Parkinson's_Disease,chr18,75998230.0,75998231.0,,,N_Shore,3.738119881165749e-11,3.629662070933606e-06,0.1388172268358613,1.0,1.0,0.0,EWAS-specific
cg00529697,Parkinson's_Disease,chr5,75013131.0,75013132.0,C5orf37;C5orf37,5'UTR;1stExon,Island,1.6701134083893314e-10,1.3513806149652696e-05,0.1427085626876156,1.0,1.0,0.0,EWAS-specific
cg24209528,Parkinson's_Disease,chr2,45239493.0,45239494.0,,,N_Shore,2.6499509509117726e-10,1.8379037671585847e-05,-0.1858143761259868,1.8766767970796646e-10,1.8605561433927508e-05,-0.1895218854155688,Common
cg01589587,Parkinson's_Disease,chr14,76002440.0,76002441.0,BATF,Body,,6.78074962292e-10,4.115008095850375e-05,-0.0936112122144311,7.727785722473966e-11,1.4756350172162094e-05,-0.1430099038296762,Common
cg24339704,Parkinson's_Disease,chr19,2529022.0,2529023.0,GNG7,5'UTR,S_Shelf,1.1009956886324523e-09,5.427268574212895e-05,-0.0942056968090916,9.22066620651174e-10,4.570730341898902e-05,-0.0948896664990155,Common
cg26076858,Parkinson's_Disease,chr6,170249441.0,170249442.0,,,,1.1178881207788568e-09,5.427268574212895e-05,-0.1464325076351068,1.0,1.0,0.0,EWAS-specific
cg26568226,Parkinson's_Disease,chr15,22913326.0,22913327.0,CYFIP1,5'UTR,,1.6127947022531763e-09,7.118186712554557e-05,0.1332809235205556,1.0,1.0,0.0,EWAS-specific
cg12866551,Parkinson's_Disease,chr10,20019641.0,20019642.0,,,,1.907739766682387e-09,7.718285854549434e-05,-0.1558991253265248,3.878551132945944e-10,2.3055785015283327e-05,-0.1641345520106804,Common
cg04138378,Parkinson's_Disease,chr7,95849192.0,95849193.0,MIR591;SLC25A13;SLC25A13;SLC25A13,TSS200;Body;Body;Body,,2.6874639016374207e-09,0.0001003649932305,-0.1798922944256059,1.0516566834655203e-06,0.0025638382314725,-0.1478059993049673,Common
cg09069290,Parkinson's_Disease,chr22,20745587.0,20745588.0,,,N_Shelf,3.120294311066009e-09,0.0001082057889973,0.1473896033731925,1.982745130653613e-08,0.0003024174384586,0.1383131461943321,Common
cg25868694,Parkinson's_Disease,chr15,69089281.0,69089282.0,ANP32A,Body,,3.501230962111853e-09,0.0001133215415659,-0.1495887203909598,1.1163154123038471e-10,1.4756350172162094e-05,-0.1547279338393949,Common
cg07762234,Parkinson's_Disease,chr16,2261099.0,2261100.0,C16orf79,TSS200,N_Shelf,6.447039479624183e-09,0.00019562453363,-0.1748549082290894,8.148126928612704e-05,0.022026596882428,0.1151305914133678,Common
cg24773493,Parkinson's_Disease,chr5,36154983.0,36154984.0,SKP2;SKP2,Body;Body,S_Shelf,9.387647081968284e-09,0.0002602592190697,0.1573548633517204,3.217540140801451e-07,0.0012724738154882,0.1442081229907772,Common
cg05926722,Parkinson's_Disease,chr14,26674202.0,26674203.0,,,Island,9.649296577409742e-09,0.0002602592190697,0.1236067171799002,6.255974913677667e-09,0.000179128521456,0.1266485925958217,Common
cg17693604,Parkinson's_Disease,chr19,3046805.0,3046806.0,TLE2,5'UTR,N_Shore,1.1003625690266917e-08,0.0002632165833498,-0.1353397161491255,9.375255324091769e-08,0.0006639087057755,-0.1279637276498349,Common
cg06674062,Parkinson's_Disease,chr7,94285887.0,94285888.0,SGCE;PEG10;PEG10;PEG10;SGCE;PEG10;SGCE,TSS1500;5'UTR;1stExon;1stExon;TSS1500;5'UTR;TSS1500,Island,1.1183894599884649e-08,0.0002632165833498,0.1247163244080766,4.5094472032748654e-08,0.0004528742803519,0.1388424408769003,Common
cg04885614,Parkinson's_Disease,chr16,72130881.0,72130882.0,DHX38,Body,S_Shelf,1.138543346731475e-08,0.0002632165833498,0.1552625944158152,1.0344032316677754e-07,0.0006952662426493,0.1464971773166259,Common
cg23894058,Parkinson's_Disease,chr19,51537828.0,51537829.0,KLK12;KLK12;KLK12,Body;Body;Body,S_Shelf,1.2008823675639121e-08,0.000264740634046,0.1695501330351025,1.53016136892892e-07,0.0008685794232566,0.1565015667512753,Common
cg03319887,Parkinson's_Disease,chr15,35967512.0,35967513.0,,,,1.3181102914640558e-08,0.000264740634046,-0.1514338067980044,5.034458686781117e-08,0.0004753535892058,-0.1470795090929705,Common
cg19625351,Parkinson's_Disease,chr3,150808388.0,150808389.0,MED12L,Body,S_Shelf,1.3201382172592488e-08,0.000264740634046,-0.1410957691191199,5.741270349916741e-09,0.000179128521456,-0.1440262482812989,Common
