CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg14691529,Birth_Mode,chr12,54357771.0,54357772.0,HOTAIR,Body,N_Shore,2.1989838645108642e-08,0.0078835330729806,-0.2815101292038545,1.895481815713828e-08,0.0056838486370539,-0.2662253907140626,Common
cg04105416,Birth_Mode,chr7,4911051.0,4911052.0,RADIL,Body,,6.000611363935108e-08,0.0107563358943082,0.3169407650721026,1.65786207359622e-07,0.0214464101128229,0.30771321204333,Common
cg15291243,Birth_Mode,chr17,35298199.0,35298200.0,LHX1,Body,Island,1.2830888919825516e-07,0.0128719386671944,-0.2748055071512473,1.0,1.0,0.0,EWAS-specific
cg07917878,Birth_Mode,chr1,113041557.0,113041558.0,WNT2B,Body,N_Shelf,1.615742173926135e-07,0.0128719386671944,0.3044569324003999,2.1419452574232856e-06,0.0494069331328245,0.2796825261040335,Common
cg01348584,Birth_Mode,chr7,4911022.0,4911023.0,RADIL,Body,,1.7952094049776426e-07,0.0128719386671944,0.3055432285251652,4.88703849700638e-07,0.0214464101128229,0.296118227754947,Common
cg04827223,Birth_Mode,chr11,72435913.0,72435914.0,ARAP1,Body,N_Shore,3.297513354829157e-07,0.0195977768315938,0.2724283464985283,2.26365530981101e-07,0.0214464101128229,-0.276457765909394,Common
cg20707023,Birth_Mode,chr5,141133392.0,141133393.0,,,S_Shore,4.219216541145494e-07,0.0195977768315938,-0.268885299764788,1.0480289038248353e-06,0.0349183434652918,-0.2523968521631503,Common
cg04944904,Birth_Mode,chr19,51845941.0,51845942.0,VSIG10L,TSS1500,S_Shelf,4.848506558418432e-07,0.0195977768315938,0.2913102879284233,6.558502107231998e-07,0.0280950302482986,0.2880966903907504,Common
cg10365769,Birth_Mode,chr4,7589937.0,7589938.0,SORCS2,Body,N_Shelf,4.919834187363868e-07,0.0195977768315938,-0.2831642693687243,4.465893766320546e-07,0.0267831260490035,-0.2846040975975506,Common
cg20365687,Birth_Mode,chr13,60834809.0,60834810.0,,,,8.613353666830931e-07,0.0308795619638822,-0.2720070133333536,3.508049070279743e-07,0.0262983529590323,-0.2823545539133401,Common
cg00321911,Birth_Mode,chr1,111669324.0,111669325.0,DRAM2,Body,,1.1574753221439331e-06,0.036082936928009,0.2679866764469183,0.0045117585132996,0.7332250143851373,0.1666222663069946,EWAS-specific
cg25650076,Birth_Mode,chr10,86300812.0,86300813.0,,,Island,1.236054526332302e-06,0.036082936928009,-0.263460332752769,2.772497369822254e-06,0.0593835270576436,-0.2707098658398769,EWAS-specific
cg27364588,Birth_Mode,chr19,53832311.0,53832312.0,,,N_Shore,1.30841760871199e-06,0.036082936928009,-0.2685651161192298,8.45552515115261e-07,0.0214464101128229,0.273463066506426,Common
cg02609880,Birth_Mode,chr1,156611087.0,156611088.0,BCAN;BCAN,TSS1500;TSS1500,N_Shore,1.4728936057923924e-06,0.0369378843435913,-0.2545378589663286,1.4117622925551206e-06,0.0384850251211323,-0.2547174507113769,Common
