CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg03612357,Edematous_Severe_Acute_Malnutrition,chr1,227162127.0,227162128.0,CABC1,Body,N_Shore,1.36100232622108e-06,0.003725640062768,-0.22167441560058,1.82920349658735e-06,0.004866376398251,-0.166949192488463,Common
cg05793340,Edematous_Severe_Acute_Malnutrition,chr1,116518770.0,116518771.0,SLC22A15,TSS1500,Island,2.86955844508428e-05,0.0263327639402655,0.16040516234852,0.0002355526584006,0.16465109404598,0.102746556705297,EWAS-specific
cg07420507,Edematous_Severe_Acute_Malnutrition,chr1,100315715.0,100315716.0,AGL;AGL;AGL;AGL;AGL;AGL,TSS1500;TSS1500;5'UTR;1stExon;TSS1500;TSS1500,Island,4.8618273196752e-06,0.0086288352389681,0.179919116851926,1.0,1.0,0.0,EWAS-specific
cg07813495,Edematous_Severe_Acute_Malnutrition,chr1,37947276.0,37947277.0,ZC3H12A,Body,,2.88853476486787e-06,0.0061384404316352,-0.221788056389495,5.7651035279563e-05,0.0947290184768205,0.0453595960151412,EWAS-specific
cg14285050,Edematous_Severe_Acute_Malnutrition,chr1,40778294.0,40778295.0,COL9A2,Body,N_Shelf,1.11775001344613e-06,0.0035397170425815,-0.318531336345368,3.37066452595448e-05,0.0287411810626884,-0.875428634440835,Common
cg19081101,Edematous_Severe_Acute_Malnutrition,chr1,203156625.0,203156626.0,CHI3L1,TSS1500,,1.2008954826355e-08,0.0001939542276094,-0.624143050116757,2.59232238138563e-08,0.0003831423676105,-0.665054761540109,Common
cg20335425,Edematous_Severe_Acute_Malnutrition,chr1,153363264.0,153363265.0,S100A8,5'UTR,,8.58761055624711e-08,0.0006934839028591,-0.300463541527872,4.69177313408097e-07,0.0022289106090082,-0.258955703801722,Common
cg21101726,Edematous_Severe_Acute_Malnutrition,chr1,204124158.0,204124159.0,REN,Body,S_Shelf,8.5669311766395e-05,0.0497707885063558,0.140703012353577,0.0002165020182455,0.094113993349671,0.14227329576307,EWAS-specific
cg27229484,Edematous_Severe_Acute_Malnutrition,chr1,37947371.0,37947372.0,ZC3H12A,Body,,3.1815068979431e-06,0.0065860865417474,-0.343552592379762,0.328931417411454,0.904859269506037,-0.0461408358135653,EWAS-specific
cg27391934,Edematous_Severe_Acute_Malnutrition,chr1,1369948.0,1369949.0,VWA1;VWA1,TSS1500;TSS1500,N_Shore,1.67446374810675e-07,0.0010459369630152,-0.342006161786694,5.38425922113957e-07,0.0022646602055517,-0.230491167238343,Common
cg04255230,Edematous_Severe_Acute_Malnutrition,chr2,74727010.0,74727011.0,LBX2,Body,Island,4.73486550923803e-05,0.0343708577151175,-0.201690866905002,0.0004926866898798,0.142831352306658,-0.242887679405034,EWAS-specific
cg06202737,Edematous_Severe_Acute_Malnutrition,chr2,128166279.0,128166280.0,,,S_Shore,5.80585788790942e-05,0.0381175811284746,-0.203008416433074,0.0002607630276184,0.103623874080218,-0.216679293846191,EWAS-specific
cg16925003,Edematous_Severe_Acute_Malnutrition,chr2,1684003.0,1684004.0,PXDN,Body,,2.6353482139595e-06,0.0057517543154077,0.121668747254264,6.16317213115641e-05,0.0947290184768205,-0.0705957427001869,EWAS-specific
cg03889263,Edematous_Severe_Acute_Malnutrition,chr3,177002388.0,177002389.0,,,,2.03625769987678e-06,0.0048363515969367,-0.247860781842985,5.58132475849092e-06,0.0206145432622754,-0.0784608316020793,Common
cg10408113,Edematous_Severe_Acute_Malnutrition,chr4,174895229.0,174895230.0,,,,1.16316337048041e-05,0.0149095388602818,0.123062351063713,1.86828861335533e-05,0.0464456549280134,-0.119239132718093,Common
cg05940946,Edematous_Severe_Acute_Malnutrition,chr5,37371056.0,37371057.0,NUP155;NUP155,1stExon;TSS200,Island,5.07077337091117e-05,0.0349987378456889,0.104295402880111,0.0194495333883526,0.579999504233617,-0.0074625247332222,EWAS-specific
cg23988801,Edematous_Severe_Acute_Malnutrition,chr5,3768181.0,3768182.0,,,,0.0002833179267444,0.0970611597765851,0.149886358147728,3.31557994688551e-05,0.0284791193104715,-0.171504531614394,haEWAS-specific
cg27219662,Edematous_Severe_Acute_Malnutrition,chr6,28891728.0,28891729.0,TRIM27;TRIM27,5'UTR;1stExon,Island,1.79371763810533e-05,0.0201180380760497,-0.150590123734353,1.0,1.0,0.0,EWAS-specific
cg13472359,Edematous_Severe_Acute_Malnutrition,chr7,158749953.0,158749954.0,,,N_Shore,6.50811417869973e-05,0.0413823820776943,-0.150717697063969,0.0001154401597482,0.118866925021249,0.127631171908192,EWAS-specific
cg17226348,Edematous_Severe_Acute_Malnutrition,chr7,2566534.0,2566535.0,LFNG;LFNG;LFNG;LFNG,Body;Body;Body;Body,S_Shore,0.0002961470206975,0.0980117638819423,0.130766875214678,6.73455384026081e-05,0.0447911808638826,0.17529148671292,haEWAS-specific
cg23956190,Edematous_Severe_Acute_Malnutrition,chr7,1514455.0,1514456.0,INTS1,Body,Island,2.51652562160887e-05,0.0242271738740107,-0.250778773502059,3.89990876836013e-05,0.0317525391534848,-0.280168967539112,Common
cg14462265,Edematous_Severe_Acute_Malnutrition,chr9,23683888.0,23683889.0,,,,4.74478434655544e-05,0.0343708577151175,0.119819991161187,9.74523619709728e-07,0.0074105069039479,-0.178084272433412,Common
cg02378006,Edematous_Severe_Acute_Malnutrition,chr10,73026288.0,73026289.0,UNC5B,Body,,2.45959626831338e-06,0.0054850412183953,-0.258302154612805,2.19287340563808e-06,0.0054017375471217,-0.371751158325091,Common
cg15096465,Edematous_Severe_Acute_Malnutrition,chr10,396979.0,396980.0,DIP2C,Body,Island,1.9726503082694e-05,0.0210992586747003,-0.186521559333175,8.35439718410545e-05,0.100979824119959,0.154685982494551,EWAS-specific
cg17259183,Edematous_Severe_Acute_Malnutrition,chr10,134599984.0,134599985.0,NKX6-2,TSS1500,Island,0.001151136234207,0.191076784084597,0.221684878436358,6.26479397062669e-06,0.0211317975459913,0.0741049124374985,haEWAS-specific
cg05584439,Edematous_Severe_Acute_Malnutrition,chr11,47213196.0,47213197.0,,,,2.00480462879999e-05,0.0211628749011914,-0.217527420130124,1.60031417844531e-05,0.0422195539746903,0.138264146479682,Common
cg12276228,Edematous_Severe_Acute_Malnutrition,chr11,62648277.0,62648278.0,SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2;SLC3A2,Body;Body;Body;Body;TSS200;Body,Island,4.14709304975676e-05,0.0323240229388685,0.120357993337657,1.0,1.0,0.0,EWAS-specific
cg19768607,Edematous_Severe_Acute_Malnutrition,chr11,68768879.0,68768880.0,,,N_Shelf,7.05482801136102e-08,0.000633006201366,-0.175243848040377,5.53869001828184e-07,0.0022646602055517,-0.26796329537087,Common
cg21002970,Edematous_Severe_Acute_Malnutrition,chr11,62369079.0,62369080.0,MTA2;MTA2,1stExon;5'UTR,Island,3.94630207956556e-05,0.0314174136188034,0.11401314035861,1.0,1.0,0.0,EWAS-specific
cg00849642,Edematous_Severe_Acute_Malnutrition,chr12,109106495.0,109106496.0,CORO1C,5'UTR,,1.08047680203938e-05,0.0143037415855555,0.130781623104018,5.63589634795388e-05,0.0405233133139718,0.136206950010276,Common
cg05950157,Edematous_Severe_Acute_Malnutrition,chr12,130603995.0,130603996.0,,,,1.57521306942748e-05,0.0183028426199347,-0.179995429423419,1.50591029808042e-05,0.0187763760695836,-0.25128487218886,Common
cg08134678,Edematous_Severe_Acute_Malnutrition,chr12,57872430.0,57872431.0,ARHGAP9;ARHGAP9;ARHGAP9,Body;Body;TSS1500,S_Shelf,1.42509873373529e-05,0.017049247873194,-0.16919243128944,8.71346091821521e-05,0.0544157679755901,-0.201391195764532,EWAS-specific
cg24632582,Edematous_Severe_Acute_Malnutrition,chr15,41233701.0,41233702.0,,,N_Shore,4.79597613997935e-05,0.0345798443935618,-0.0980436807814726,0.002223543258528,0.283307950867951,-0.0946763830613735,EWAS-specific
cg00399115,Edematous_Severe_Acute_Malnutrition,chr16,20911682.0,20911683.0,DCUN1D3;LYRM1;LYRM1;LYRM1;LYRM1,TSS200;TSS1500;1stExon;5'UTR;TSS1500,Island,4.97159419353026e-05,0.0347539518865513,0.102736056167363,1.0,1.0,0.0,EWAS-specific
cg13640959,Edematous_Severe_Acute_Malnutrition,chr17,26817574.0,26817575.0,SLC13A2;SLC13A2;SLC13A2;SLC13A2,Body;Body;Body;Body,,0.0004111373973891,0.116234076011669,0.100455799563099,6.85633673182328e-05,0.0453742813796219,1.77243736534605,haEWAS-specific
cg19003337,Edematous_Severe_Acute_Malnutrition,chr17,39780836.0,39780837.0,KRT17;KRT17,5'UTR;1stExon,,3.36043259509185e-05,0.0288520917794299,-0.104382319881417,0.0004321617598719,0.136222097479644,-0.137694722086704,EWAS-specific
cg22246218,Edematous_Severe_Acute_Malnutrition,chr17,7366220.0,7366221.0,ZBTB4;ZBTB4,Body;Body,Island,1.69228365249503e-05,0.0192477005737442,-0.144722912120958,8.18874244644493e-05,0.100816677479698,0.116458684982659,EWAS-specific
cg23207054,Edematous_Severe_Acute_Malnutrition,chr17,38171530.0,38171531.0,CSF3;CSF3;CSF3,TSS200;TSS200;TSS200,,4.86577001847232e-08,0.0005379010227304,-0.321753226855588,3.39819475549515e-08,0.0004109313347101,-0.340281176762764,Common
cg15142477,Edematous_Severe_Acute_Malnutrition,chr18,43915662.0,43915663.0,RNF165,Body,S_Shore,2.61409171451407e-05,0.0249820547117005,-0.175865592637675,1.04139918892181e-05,0.0156743631834738,-0.181560959664036,Common
