CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg17137324,Asthma,chr10,86527253.0,86527254.0,,,,9.154503158350924e-08,0.0226449559020782,-0.2620685521945965,9.84397165970862e-07,0.0857246477279707,0.239758876258641,EWAS-specific
cg19875472,Asthma,chr17,73125153.0,73125154.0,ARMC7,3'UTR,Island,9.578881961920524e-08,0.0226449559020782,0.1575737926050064,0.0015885032364265,0.533572668982834,-0.0934059419473143,EWAS-specific
cg21220721,Asthma,chr1,6341230.0,6341231.0,ACOT7;ACOT7;ACOT7;ACOT7,Body;Body;Body;Body,Island,5.597887401430266e-07,0.0529347428454048,-0.2462500734189426,7.31431217914419e-08,0.0130962393851968,0.262584334100084,haEWAS-specific
cg19636302,Asthma,chr19,46032854.0,46032855.0,OPA3,Body,Island,1.7848097242918767e-06,0.0749905360721036,-0.1449326416791162,1.6248943850770278e-07,0.0283134755353111,-0.1454268870460524,haEWAS-specific
cg02453726,Asthma,chr5,141339766.0,141339767.0,PCDH12,TSS1500,,5.478109492621991e-06,0.0937217044530052,-0.1173707241985216,4.972387696630842e-07,0.0330713999096013,-0.1230611025592116,haEWAS-specific
cg14553338,Asthma,chr2,66689807.0,66689808.0,MEIS1,Body,,4.928895610633905e-05,0.2149372421314238,-0.1340421634415251,5.249161645180624e-07,0.0330713999096013,-0.1631503826061984,haEWAS-specific
cg03680338,Asthma,chr6,22043967.0,22043968.0,FLJ22536,Body,,5.362915028662812e-05,0.2204904221480055,0.1151531902304007,8.048953061267949e-07,0.0377959719493622,0.130409864358836,haEWAS-specific
cg04983687,Asthma,chr16,88558223.0,88558224.0,ZFPM1,Body,Island,0.0002041535039799,0.3303110604428892,-0.1879554933577906,6.358486628744537e-07,0.0341233635062971,-0.2550383868758655,haEWAS-specific
cg08679800,Asthma,chr8,101912325.0,101912326.0,,,,0.0002441895641996,0.3372908106881301,0.1381007275870035,9.063234998943882e-08,0.0283134755353111,0.1905777781173425,haEWAS-specific
cg16379283,Asthma,chr14,75801023.0,75801024.0,,,,0.0007433103207729,0.4180434047987524,0.1077719894329464,2.2610924904617082e-07,0.0283134755353111,0.1327864516775295,haEWAS-specific
cg07217630,Asthma,chr13,60738113.0,60738114.0,DIAPH3;DIAPH3,5'UTR;1stExon,Island,0.2550694341244164,0.9466710238136626,0.2933142394688255,4.20228853451295e-08,0.0130962393851968,-0.699551760123995,haEWAS-specific
cg10393333,Asthma,chr7,27779430.0,27779431.0,TAX1BP1;TAX1BP1,TSS1500;TSS1500,N_Shore,0.5787643292136786,0.9668474165684028,-0.0291403024826102,5.282113380351117e-07,0.0330713999096013,-2.0212885673310232,haEWAS-specific
