CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg17052170,Systemic_Lupus_Erythematosus,chr8,144099482.0,144099483.0,LY6E;LY6E;LOC100133669,TSS1500;TSS1500;Body,Island,2.0723360401891603e-14,1.0060984241514357e-08,-0.4026512030266223,1.0,1.0,0.0,EWAS-specific
cg16526047,Systemic_Lupus_Erythematosus,chr1,949893.0,949894.0,ISG15,3'UTR,S_Shore,1.1970936031413614e-13,2.9058848669454962e-08,-0.372517105246381,1.1458287449059206e-10,1.455508060362494e-05,-0.3906128871045344,Common
cg02370832,Systemic_Lupus_Erythematosus,chr10,91093681.0,91093682.0,IFIT3;IFIT3,Body;Body,,1.849405026588193e-13,2.9928921545276726e-08,-0.375026897220262,4.3173534486563598e-16,1.6452570522139654e-10,-0.3903271571110492,Common
cg04927537,Systemic_Lupus_Erythematosus,chr17,76976091.0,76976092.0,LGALS3BP,TSS200,,7.84821766721002e-13,9.525577988134484e-08,-0.3295931550864142,0.0010216137029357,0.179420066860194,-0.293748165788233,EWAS-specific
cg04788999,Systemic_Lupus_Erythematosus,chr1,949850.0,949851.0,ISG15,Body,Island,1.9590252944620057e-12,1.902174380416719e-07,-0.3376671251393238,3.0184832087164704e-15,4.7638388018874494e-11,0.322682320384214,Common
cg01190666,Systemic_Lupus_Erythematosus,chr20,62204908.0,62204909.0,PRIC285,5'UTR,N_Shore,2.8590437777393605e-12,2.045275563988081e-07,-0.3291644576469983,0.0001475185267784,0.1766442837340473,-0.3918990183577766,EWAS-specific
cg08926253,Systemic_Lupus_Erythematosus,chr11,614761.0,614762.0,IRF7;IRF7;IRF7,Body;Body;Body,Island,2.9489647465275417e-12,2.045275563988081e-07,-0.3297157655339084,1.0,1.0,0.0,EWAS-specific
cg00218406,Systemic_Lupus_Erythematosus,chr6,31431407.0,31431408.0,HCP5,3'UTR,,7.451657840992816e-12,4.522131706529503e-07,-0.3077221925373449,1.0,1.0,0.0,EWAS-specific
cg14293575,Systemic_Lupus_Erythematosus,chr22,18635460.0,18635461.0,USP18,5'UTR,S_Shelf,3.0089874094229605e-11,1.6231481082230591e-06,-0.3256444950475551,0.0056822232830309,0.4884267154711915,-0.3747290119610557,EWAS-specific
cg11211792,Systemic_Lupus_Erythematosus,chr1,949634.0,949635.0,ISG15,Body,Island,8.752656811009172e-11,4.249327355176843e-06,-0.3196898708913243,8.83345095773213e-13,8.289334252927611e-09,0.257462500776308,Common
