CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg00000165,Huntington's_Disease,chr1,91194674.0,91194675.0,,,S_Shore,0.0003652800222317,0.020321965654804,-0.271558886681684,0.0144236041633406,0.252440895170456,-0.0876508283740767,EWAS-specific
cg00001261,Huntington's_Disease,chr16,3463964.0,3463965.0,,,,1.49855543094518e-06,0.000279519867818,-0.178729260552603,0.0017640569222943,0.0832730913979319,-0.0961948666450846,EWAS-specific
cg00002749,Huntington's_Disease,chr17,57839538.0,57839539.0,TMEM49,Body,,3.75240755193691e-06,0.0006021374065487,-0.372329248007467,0.0971151035545738,0.482928649534118,0.11564909889724,EWAS-specific
cg00003091,Huntington's_Disease,chr4,1715004.0,1715005.0,SLBP,TSS1500,S_Shore,0.0004713047917995,0.0242866265168734,-0.230726325040761,0.148692885714675,0.622072691072451,-0.0517255858144848,EWAS-specific
cg00003345,Huntington's_Disease,chr1,10816499.0,10816500.0,CASZ1;CASZ1,5'UTR;5'UTR,,0.513674469568268,0.845862010872401,0.0204164376382211,0.0002218647583943,0.0191744357469505,-0.0615758906097262,haEWAS-specific
cg00004421,Huntington's_Disease,chr17,7475079.0,7475080.0,EIF4A1;SENP3,TSS1500;3'UTR,N_Shore,5.03881533108744e-08,1.63878946869532e-05,-0.391494782402489,0.0992069427673714,0.544731353761428,-0.10390931853895,EWAS-specific
cg00004771,Huntington's_Disease,chr6,72294826.0,72294827.0,,,Island,0.0009625860139786,0.0393737493526807,0.196351642663552,0.0607639274653529,0.403452696535047,0.104433549858879,EWAS-specific
cg00005619,Huntington's_Disease,chr11,47608722.0,47608723.0,FAM180B,Body,N_Shelf,0.0004915967848105,0.0249681328963517,-0.131304549950421,0.0222826501996392,0.307953781640236,-0.0920737213536476,EWAS-specific
cg00006397,Huntington's_Disease,chr1,160336699.0,160336700.0,NHLH1,TSS200,N_Shelf,0.0009074044738936,0.0378889941183231,-0.130968052702432,0.141071781254686,0.552585950965841,0.0347630616307567,EWAS-specific
cg00008629,Huntington's_Disease,chr9,115093661.0,115093662.0,ROD1;ROD1;ROD1,Body;Body;5'UTR,N_Shore,0.0009241310488984,0.0383314235925082,-0.15062489980063,0.0068286756055858,0.147646040161327,0.0536790153312873,EWAS-specific
cg00008665,Huntington's_Disease,chr3,43146780.0,43146781.0,C3orf39,5'UTR,N_Shore,0.220768287069685,0.646837706707907,-0.0359198589153018,0.0003262800104879,0.0245295481249267,-0.0228140988063648,haEWAS-specific
cg00008800,Huntington's_Disease,chr2,38710171.0,38710172.0,,,,0.0007817532027665,0.0342227053666582,-0.288307980866137,1.0,1.0,0.0,EWAS-specific
cg00009038,Huntington's_Disease,chr2,132152167.0,132152168.0,,,Island,6.49954751736473e-05,0.0057153292043631,-0.146008721204322,0.0039282178417293,0.109732022041644,0.0486553495750128,EWAS-specific
cg00010242,Huntington's_Disease,chr14,81580765.0,81580766.0,TSHR,Body,,0.0495686646354618,0.35759798527716,-0.0970704163025939,0.0005787849657445,0.0350103671673046,0.159252131378905,haEWAS-specific
