CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg00435616,Adolescent_Victimization,chr7,1080473.0,1080474.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shore,3.60865496197329e-07,0.0114137491673169,-0.311489977936375,1.42742841573407e-08,0.0029443042540927,-0.396194696219529,Common
cg00440797,Adolescent_Victimization,chr6,32493873.0,32493874.0,HLA-DRB5,Body,S_Shelf,3.2576015204163e-07,0.0110141945206378,-0.35662076585464,1.0,1.0,0.0,EWAS-specific
cg00460155,Adolescent_Victimization,chr3,27448700.0,27448701.0,SLC4A7;SLC4A7;SLC4A7,Body;Body;Body,,3.33506028705589e-06,0.0301440895754942,-0.172301239598947,0.0005835559069964,0.409082993178666,0.0833216458560593,EWAS-specific
cg00505327,Adolescent_Victimization,chr5,161113000.0,161113001.0,GABRA6,1stExon,,2.3923768986603e-06,0.0268499546274579,-0.107712723079759,1.13994522289292e-06,0.0213756655751793,-0.122231739845723,Common
cg00704224,Adolescent_Victimization,chr2,151227699.0,151227700.0,,,,9.41391736146045e-07,0.0179484504351217,0.118094854707441,3.80142074425755e-06,0.0392052559187638,0.116161565211353,Common
cg00738919,Adolescent_Victimization,chr7,1100172.0,1100173.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,S_Shelf,6.94745707692479e-06,0.0473948710555381,0.35350881951158,1.14284879662654e-07,0.0065842377636181,0.435244104343008,Common
cg00876757,Adolescent_Victimization,chr16,33483591.0,33483592.0,,,S_Shore,2.93966271415829e-08,0.0028066499016775,-0.2574440177889,9.49560617858197e-08,0.0065634071677528,-0.248539308408002,Common
cg00910107,Adolescent_Victimization,chr17,81032839.0,81032840.0,,,Island,2.29615752845371e-06,0.0267847393397701,-0.360591897326648,1.0,1.0,0.0,EWAS-specific
cg01440309,Adolescent_Victimization,chr20,13228392.0,13228393.0,ISM1,Body,,2.82089236131586e-06,0.0292966091842367,-0.111385293385153,6.07693149657377e-06,0.112261148246368,-0.061133204843609,EWAS-specific
cg01904977,Adolescent_Victimization,chr12,103816964.0,103816965.0,C12orf42;C12orf42;C12orf42;C12orf42;C12orf42,Body;Body;Body;5'UTR;5'UTR,,3.68494026248319e-06,0.0312695941781065,-0.11727396315239,9.4467699656755e-05,0.181816120341707,-0.100198817271599,EWAS-specific
cg02218884,Adolescent_Victimization,chr11,627582.0,627583.0,SCT,TSS1500,Island,6.62812398037419e-06,0.0461207402175969,0.238699274065294,1.0,1.0,0.0,EWAS-specific
cg02269223,Adolescent_Victimization,chr22,46812391.0,46812392.0,CELSR1,Body,,3.30681176640018e-06,0.0301440895754942,0.185164736657893,4.13498139174902e-06,0.0957777125226259,-0.0770218527398074,EWAS-specific
cg02327257,Adolescent_Victimization,chr15,23908757.0,23908758.0,,,,3.34911111528142e-06,0.0301440895754942,-0.130580262002577,3.09087028400668e-06,0.0367692647237217,-0.124966678742481,Common
cg02332902,Adolescent_Victimization,chr7,1103177.0,1103178.0,C7orf50;C7orf50;C7orf50,Body;Body;Body,N_Shelf,9.81795950880495e-06,0.056535062687194,0.268810244718235,2.03604085636179e-08,0.0031497501146895,0.484704884650434,haEWAS-specific
