CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg07741624,Arthritis,chr11,2309813.0,2309814.0,,,,2.5166195311358237e-09,0.0011026757222136,0.1327144644833652,4.58949932134009e-10,0.0001656974476979,-0.122451833513729,Common
cg27631389,Arthritis,chr11,12263892.0,12263893.0,MICAL2,Body,,5.968215230516419e-09,0.0017414997911546,0.067660664356759,2.118887403241232e-06,0.0371943569886968,0.0550128029100169,Common
cg25612754,Arthritis,chr7,948567.0,948568.0,ADAP1,Body,Island,7.949195397338551e-09,0.0017414997911546,0.1531221313631116,3.7367138921551e-05,0.0695552000677265,-0.114687273933804,EWAS-specific
cg24390233,Arthritis,chr8,98788236.0,98788237.0,LAPTM4B,1stExon,Island,4.1462357094221386e-08,0.0059715111350733,-0.3802184687848067,0.0975751034664914,0.700680729859144,-0.158769683217528,EWAS-specific
cg09147938,Arthritis,chr8,43418406.0,43418407.0,,,,4.329343327420012e-08,0.0059715111350733,-0.1463551193661086,0.0006343638254207,0.189136613922627,0.090829933619251,EWAS-specific
cg22941054,Arthritis,chr7,150871421.0,150871422.0,,,Island,5.0203000352322186e-08,0.0059715111350733,-0.1679032096033527,0.005018103373344,0.360405001965551,0.079231500878839,EWAS-specific
cg09255154,Arthritis,chr20,21000809.0,21000810.0,,,Island,5.676913537372488e-08,0.0059715111350733,-0.1783602681212512,0.0250575646851689,0.6099387979850781,-0.1618618712086904,EWAS-specific
cg01739831,Arthritis,chr16,89922539.0,89922540.0,SPIRE2,Body,S_Shore,8.981953705759597e-08,0.0059715111350733,0.0588864660534743,4.247383365689117e-06,0.0476436557642661,0.0448535893939471,Common
cg00128506,Arthritis,chr8,8641298.0,8641299.0,,,,9.82006310026968e-08,0.0059715111350733,0.4091993264137309,6.7031005172839715e-09,0.0009680242393432,0.45815419208084,Common
cg23620184,Arthritis,chr14,23772616.0,23772617.0,PPP1R3E,TSS1500,S_Shore,1.0013574239926765e-07,0.0059715111350733,0.0369772361535088,0.0104747703651298,0.5070389288508858,0.0158950719291988,EWAS-specific
cg26943120,Arthritis,chr4,5472116.0,5472117.0,STK32B,Body,,1.0553270376701469e-07,0.0059715111350733,0.1231300975694531,2.905234391353108e-06,0.0402004418394946,0.1057552667508176,Common
cg16533359,Arthritis,chr6,11710597.0,11710598.0,,,,1.07253252749575e-07,0.0059715111350733,0.0479633652742805,4.645447866754148e-05,0.0965919805384929,0.0325558260684891,EWAS-specific
cg16824113,Arthritis,chr12,132166485.0,132166486.0,,,,1.0902949072100145e-07,0.0059715111350733,0.1810332166107669,2.3570346789737028e-06,0.0371943569886968,0.1587946056841639,Common
cg00377344,Arthritis,chr10,43857301.0,43857302.0,,,N_Shore,1.2666616009441125e-07,0.0061919501296874,0.1113235573152772,9.54841875368451e-06,0.0618782268722585,0.0916216760694543,EWAS-specific
cg05995496,Arthritis,chr6,30126535.0,30126536.0,TRIM10;TRIM10,Body;Body,,1.2718611724593894e-07,0.0061919501296874,0.0401900691845079,1.0,1.0,0.0,EWAS-specific
cg04411041,Arthritis,chr11,47610098.0,47610099.0,FAM180B,3'UTR,N_Shore,1.7274423929036638e-07,0.007967282529144,0.0586262901927444,1.12576437318384e-05,0.0454124543281343,-0.0492702764736762,Common
cg07180646,Arthritis,chr1,15481541.0,15481542.0,TMEM51;TMEM51;TMEM51;TMEM51,5'UTR;5'UTR;5'UTR;5'UTR,S_Shore,1.8964848346292054e-07,0.0083095905392904,-0.065835285498384,1.091357055035939e-08,0.0028570540684296,-0.0821279066144533,Common
cg12978820,Arthritis,chr19,41593202.0,41593203.0,CYP2A13,TSS1500,N_Shelf,2.173594991248534e-07,0.0085650374704933,-0.1070906771732437,0.0486292499161124,0.612666174194132,0.0478346856622923,EWAS-specific
cg27305917,Arthritis,chr21,47396773.0,47396774.0,,,S_Shelf,2.3192578714082002e-07,0.0085650374704933,0.1357233449602961,1.79626009178007e-07,0.0079729597740544,-0.141010703235743,Common
cg27474382,Arthritis,chr6,32807551.0,32807552.0,TAP2;TAP2,TSS1500;TSS1500,S_Shore,2.3457421052000815e-07,0.0085650374704933,-0.0969404641003978,1.0,1.0,0.0,EWAS-specific
cg12389722,Arthritis,chr7,67058999.0,67059000.0,,,,2.6021495938676e-07,0.0090870261287307,0.4264311509346983,2.8738908155267946e-08,0.0045334075713894,0.4324619611906486,Common
cg14286025,Arthritis,chr9,136653622.0,136653623.0,VAV2;VAV2,Body;Body,,2.696093064103645e-07,0.0090870261287307,0.1104013940535787,1.44994475126701e-07,0.0069797633762458,-0.108480522700802,Common
cg04404240,Arthritis,chr8,144325376.0,144325377.0,,,N_Shelf,3.030131723986317e-07,0.0095099634867208,0.1031577688728611,0.0011022762523374,0.2846083579115655,0.0618222540251505,EWAS-specific
cg08433366,Arthritis,chr17,33368543.0,33368544.0,RFFL;RFFL;RAD51L3-RFFL,Body;5'UTR;Body,,3.038621701422237e-07,0.0095099634867208,0.1673356031773444,8.690634181259029e-07,0.0263634733205583,0.1675554389887894,Common
cg11414821,Arthritis,chr6,30652771.0,30652772.0,KIAA1949;KIAA1949,Body;1stExon,N_Shore,3.321098440318959e-07,0.0097520163944621,0.119794247089052,1.0,1.0,0.0,EWAS-specific
cg13081526,Arthritis,chr6,32449961.0,32449962.0,,,,3.3385311427268135e-07,0.0097520163944621,-0.1358185597195772,1.0,1.0,0.0,EWAS-specific
cg01992487,Arthritis,chr16,84268524.0,84268525.0,KCNG4,Body,N_Shore,3.750223202037917e-07,0.0106012156299801,0.1440071970968524,0.0005765429094942,0.2392070769095286,0.1020950630998911,EWAS-specific
cg01850245,Arthritis,chr6,27569094.0,27569095.0,,,,3.961496807225521e-07,0.0108484971081994,-0.0870120926656481,2.455259108107879e-06,0.0371943569886968,-0.0793216856384966,Common
cg03541887,Arthritis,chr1,248903323.0,248903324.0,LOC646627,TSS200,,4.184597147842156e-07,0.0111121977260948,0.1021124913102368,4.60717676238311e-05,0.0768294073710739,-0.0907915662936894,EWAS-specific
cg04226138,Arthritis,chr8,107057242.0,107057243.0,,,,4.619527489363406e-07,0.0119063565642396,0.1298698054791205,1.4489518213262176e-08,0.0028570540684296,0.1361850505483585,Common
cg12589431,Arthritis,chr11,65255266.0,65255267.0,,,,5.149437635250812e-07,0.0126325700772515,-0.0374021615084926,0.0944667900508525,0.7700154521860634,-0.012525848920325,EWAS-specific
cg03845363,Arthritis,chr17,17753516.0,17753517.0,TOM1L2;TOM1L2,Body;Body,,5.212561282154296e-07,0.0126325700772515,-0.0733153224108702,1.7415220714544035e-10,6.867892563818658e-05,-0.0893034061712314,Common
cg03280622,Arthritis,chr8,145023013.0,145023014.0,PLEC1;PLEC1;PLEC1;PLEC1,Body;Body;Body;Body,N_Shore,5.33375661558124e-07,0.0126325700772515,-0.0801592095661068,0.0002151999546813,0.134041126955125,-0.0666462036425478,EWAS-specific
cg14047091,Arthritis,chr7,100205640.0,100205641.0,PCOLCE,Body,S_Shore,5.480515175819191e-07,0.0126385727797315,0.1056482340830752,3.70881886973108e-05,0.0695552000677265,-0.0846632933726586,EWAS-specific
cg22664298,Arthritis,chr5,128795827.0,128795828.0,ADAMTS19,TSS1500,Island,5.958786932830468e-07,0.0133891650539572,-0.17060574619177,0.228501982567477,0.812326494266587,0.0292290322952228,EWAS-specific
cg08091526,Arthritis,chr16,79156020.0,79156021.0,WWOX,Body,,6.143023217689381e-07,0.0134580584775236,-0.1240673586390142,4.87662156863208e-05,0.0780860344193781,0.0967972940433574,EWAS-specific
cg10100424,Arthritis,chr1,3178384.0,3178385.0,PRDM16;PRDM16,Body;Body,,6.429702555363802e-07,0.0135074756579543,-0.115861026923962,0.0005200797137985,0.2310979335810124,-0.0782076851478618,EWAS-specific
cg20402826,Arthritis,chr2,198077081.0,198077082.0,,,,6.473859030532224e-07,0.0135074756579543,0.0397420233857695,0.00139648708943,0.3067739376623983,0.0230909871005886,EWAS-specific
cg09257020,Arthritis,chr1,5037097.0,5037098.0,,,,7.631138477559812e-07,0.0151388206307747,-0.1345710160077497,2.15655358823822e-08,0.0019464837032079,0.146568245461472,Common
cg03833760,Arthritis,chr9,138452701.0,138452702.0,PAEP;PAEP,TSS1500;TSS1500,,7.845067434142275e-07,0.0151388206307747,-0.2390317072974738,8.86346463530528e-07,0.0133334575753003,0.246053386502896,Common
cg23331961,Arthritis,chr15,72564179.0,72564180.0,PARP6,TSS1500,N_Shore,7.921227526929399e-07,0.0151388206307747,-0.0912739912724275,9.46574847268076e-05,0.1232479779236131,-0.0750079078942304,EWAS-specific
cg10967110,Arthritis,chr1,152335507.0,152335508.0,FLG-AS1;FLG-AS1,Body;Body,,8.01526280269787e-07,0.0151388206307747,0.1633542590185494,1.849983252310528e-06,0.0371943569886968,0.1531034157146437,Common
cg21825792,Arthritis,chr12,5015078.0,5015079.0,,,N_Shelf,8.181405678013971e-07,0.0151388206307747,0.1227287611712061,2.677138336746509e-06,0.0377057246495306,0.114450822617194,Common
cg14642437,Arthritis,chr6,35652521.0,35652522.0,FKBP5;FKBP5;FKBP5;FKBP5,5'UTR;5'UTR;5'UTR;5'UTR,N_Shelf,8.327680935678492e-07,0.0151388206307747,-0.1000348314703303,1.93196522858014e-08,0.0019464837032079,0.105965398805657,Common
cg11100081,Arthritis,chr6,30079307.0,30079308.0,TRIM31,Body,,8.529809948088052e-07,0.0151388206307747,-0.1523807350650822,1.0,1.0,0.0,EWAS-specific
cg23916979,Arthritis,chr12,132657517.0,132657518.0,,,,8.637773306844446e-07,0.0151388206307747,-0.1326587714619509,0.0001215165091229,0.1374346138106102,-0.1032116640982733,EWAS-specific
cg08903619,Arthritis,chr13,53508092.0,53508093.0,,,,9.655832984501422e-07,0.015965191097761,-0.1416634628414189,0.0002237805719722,0.13530900199377,0.102632744478711,EWAS-specific
cg14632941,Arthritis,chr4,42156182.0,42156183.0,BEND4;BEND4,TSS1500;TSS1500,S_Shore,1.038662031836662e-06,0.0168554651560915,-0.0760451517905605,2.1169128274951247e-06,0.0371943569886968,-0.0666369639286947,Common
cg10574570,Arthritis,chr12,92860575.0,92860576.0,,,,1.1603108215626009e-06,0.0184872323199569,0.3359721343197164,0.0099161347250622,0.426307218076407,0.218871337547957,EWAS-specific
cg00787856,Arthritis,chr1,10857110.0,10857111.0,CASZ1;CASZ1,TSS1500;TSS1500,S_Shore,1.2079865016953302e-06,0.0185850790342279,0.1219315493206364,4.24186788685258e-07,0.0102706789458813,-0.127643017920518,Common
cg05658236,Arthritis,chr1,47898911.0,47898912.0,MGC12982,Body,N_Shore,1.2088683920177035e-06,0.0185850790342279,0.0656722625338128,0.0003314777053634,0.152744588173077,-0.0407496786674744,EWAS-specific
cg25576364,Arthritis,chr3,45067543.0,45067544.0,CLEC3B,TSS1500,,1.272572278387536e-06,0.0186820058058796,-0.2182221296146929,2.2854816567812154e-06,0.0371943569886968,-0.2115365653606207,Common
cg24814621,Arthritis,chr5,191292.0,191293.0,LRRC14B,TSS1500,N_Shore,1.3245393859389595e-06,0.0186820058058796,-0.2632065747948772,1.886641375156337e-05,0.0757402424302024,-0.2288832686978897,EWAS-specific
cg27382389,Arthritis,chr2,233404334.0,233404335.0,CHRNG,TSS200,,1.3344836661044065e-06,0.0186820058058796,0.1257636339468959,0.0018644519383158,0.3328510923821371,0.0800537737153767,EWAS-specific
cg26140475,Arthritis,chr8,126525558.0,126525559.0,,,,1.3383078823156284e-06,0.0186820058058796,-0.0918474369726565,9.23314756594675e-06,0.041154304501471,-0.088063548357398,Common
cg20126546,Arthritis,chr12,101188278.0,101188279.0,ANO4,TSS200,,1.361634985804494e-06,0.0186820058058796,0.129796244127096,0.000349544526569,0.1979297511324393,0.0958589505798206,EWAS-specific
cg06596503,Arthritis,chr6,29838356.0,29838357.0,,,,1.3629761024003531e-06,0.0186820058058796,-0.1008145814138469,7.77697362385709e-07,0.0127752824208907,0.0931357975335857,Common
cg24850121,Arthritis,chr3,9177754.0,9177755.0,SRGAP3;SRGAP3,Body;Body,Island,1.3644047763376152e-06,0.0186820058058796,0.0877384293365744,0.0003186928753429,0.192465850474085,0.0633224003309911,EWAS-specific
cg11046519,Arthritis,chr14,33153194.0,33153195.0,AKAP6,Body,,1.440589433091559e-06,0.019421694293225,0.1370044539228153,4.006194542966535e-06,0.0465811144638648,0.1330021480345643,Common
cg11637682,Arthritis,chr6,147124984.0,147124985.0,LOC729176;C6orf103,TSS200;Body,,1.4637981041455029e-06,0.0194355793277919,0.1194565265242265,8.508833942550869e-07,0.0263634733205583,0.1262820008139511,Common
cg19300502,Arthritis,chr19,4455863.0,4455864.0,UBXN6;UBXN6,Body;TSS1500,N_Shore,1.6336454056484272e-06,0.0210527643183941,-0.0701834297796851,8.236797379685626e-07,0.0263634733205583,-0.0705809953143532,Common
