CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg15065340,Viral_Load(log10),chr3,195632915.0,195632916.0,TNK2,5'UTR,N_Shelf,8.633964848003883e-27,4.191798567670733e-21,-0.3818739222797573,5.37000666852249e-26,1.0550261407399895e-20,-0.3733672552373785,Common
cg18686270,Viral_Load(log10),chr3,146258875.0,146258876.0,PLSCR1,5'UTR,N_Shelf,2.207877622904516e-25,5.359633968988827e-20,-0.2425834482832852,7.913348906834735e-26,1.0550261407399895e-20,-0.2487969488153188,Common
cg07833467,Viral_Load(log10),chr22,50986511.0,50986512.0,KLHDC7B;KLHDC7B,5'UTR;1stExon,Island,4.058622047877645e-19,6.197103161013661e-14,-0.3710240885504537,6.456578689581698e-17,6.456046021839809e-12,-0.3617248421711114,Common
cg27456769,Viral_Load(log10),chr12,3979720.0,3979721.0,PARP11,Body,N_Shelf,5.105738740817144e-19,6.197103161013661e-14,-0.1430248636110476,2.8834032840724824e-08,0.000221570573019,-0.1525483340026845,Common
cg00633969,Viral_Load(log10),chr3,122284550.0,122284551.0,PARP9;PARP9;PARP9;PARP9;PARP9;DTX3L;PARP9,TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;Body;TSS1500,S_Shore,7.911519707171585e-18,7.682101458703023e-13,-0.2275179311021861,1.6979146061254e-17,2.16807282027688e-12,0.228205278968347,Common
cg16795830,Viral_Load(log10),chr6,31554199.0,31554200.0,LST1;LST1;LST1;LST1;LST1;LST1;LST1;LST1,Body;TSS1500;TSS1500;TSS1500;5'UTR;TSS1500;5'UTR;Body,,1.5849041677339638e-16,1.2824542638983451e-11,0.2875710429284926,1.0,1.0,0.0,EWAS-specific
cg01721555,Viral_Load(log10),chr3,122401300.0,122401301.0,PARP14,Body,S_Shore,8.295366908422895e-16,5.753441327723177e-11,-0.1863464725471306,5.62022708936472e-18,1.0764730056750199e-12,0.201444458803326,Common
cg17607231,Viral_Load(log10),chr2,231090329.0,231090330.0,SP140;SP140,TSS200;TSS200,,1.7605238643711432e-14,1.068420120845068e-09,-0.3098137822412549,9.33190321913121e-16,8.936953745139529e-11,-0.327378662580934,Common
cg09154880,Viral_Load(log10),chr6,32813715.0,32813716.0,TAP1;PSMB8,Body;TSS1500,S_Shore,2.027170457036897e-14,1.0935480934020787e-09,-0.2032750448669389,1.0,1.0,0.0,EWAS-specific
cg03447547,Viral_Load(log10),chr14,94577039.0,94577040.0,IFI27;IFI27,TSS200;TSS200,,6.3721686851494e-14,3.093694268808719e-09,-0.2959542090986867,1.0,1.0,0.0,EWAS-specific
