CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg23166781,Zygosity,chr4,6107280.0,6107281.0,JAKMIP1;JAKMIP1,Body;Body,Island,2.231974099520304e-11,6.766952065992525e-06,-0.2045882795851128,1.904394626816482e-12,5.380718996126022e-07,-0.2123980902279556,Common
cg25970575,Zygosity,chr4,6010164.0,6010165.0,,,S_Shore,2.821950260425496e-11,6.766952065992525e-06,-0.2085932423758071,2.829998709380625e-12,5.380718996126022e-07,-0.2173464227292325,Common
cg22098660,Zygosity,chr4,6107339.0,6107340.0,JAKMIP1;JAKMIP1,Body;Body,Island,9.174290107679184e-11,1.4666448299674302e-05,-0.1959280826552531,7.584392297988286e-12,9.613545894699732e-07,-0.2025307277609287,Common
cg17760318,Zygosity,chr5,140719225.0,140719226.0,PCDHGA2;PCDHGA1;PCDHGA2,1stExon;Body;1stExon,Island,2.7267274858197286e-10,2.658191781242293e-05,0.2005841095014073,0.0034152831508681,0.266455850799874,0.1869959581497798,EWAS-specific
cg25987564,Zygosity,chr4,6010075.0,6010076.0,,,Island,2.7712938248208833e-10,2.658191781242293e-05,-0.197358521989423,1.3421546122861794e-11,1.2759293483294485e-06,-0.2096285673133606,Common
cg05983326,Zygosity,chr5,140710688.0,140710689.0,PCDHGA1;PCDHGA1,1stExon;1stExon,N_Shore,3.830422900405081e-10,3.061746400828124e-05,0.1994931791438583,0.2261125315352329,0.8138178153382049,0.1272121445031509,EWAS-specific
cg16724588,Zygosity,chr4,6107131.0,6107132.0,JAKMIP1;JAKMIP1,Body;Body,Island,6.691610470480325e-10,4.584651759970775e-05,-0.186167272047125,4.840381215943087e-11,3.681235764636333e-06,-0.1975552806202161,Common
cg18364820,Zygosity,chrX,40506749.0,40506750.0,CXorf38,1stExon,Island,9.95129603554517e-10,5.255819222924066e-05,0.1502562716366317,0.3978938622123325,0.900200766826115,0.084931490631509,EWAS-specific
cg25031787,Zygosity,chr18,12437.0,12438.0,,,S_Shore,1.7059717348088043e-09,6.883432931665881e-05,0.1867956083137587,1.0,1.0,0.0,EWAS-specific
cg17736057,Zygosity,chr12,34372490.0,34372491.0,,,S_Shore,1.7223150243745871e-09,6.883432931665881e-05,0.1928957048028673,4.30331439629844e-09,0.0001428109651867,-0.187401329545174,Common
cg17227466,Zygosity,chr5,140748559.0,140748560.0,PCDHGA4;PCDHGB3;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGB3;PCDHGA2;PCDHGB2,Body;TSS1500;Body;Body;Body;Body;TSS1500;Body;Body,N_Shore,1.939662499903573e-09,7.155773053682725e-05,0.1906814113986269,0.0074827932419585,0.3430765081264519,0.0870661878014457,EWAS-specific
cg18994250,Zygosity,chr4,6107021.0,6107022.0,JAKMIP1;JAKMIP1,Body;Body,N_Shore,2.541254408417179e-09,8.705502619645917e-05,-0.1861225781958912,8.429312647541314e-10,4.57907959327429e-05,-0.1910596075661463,Common
cg01540386,Zygosity,chrX,39873535.0,39873536.0,,,Island,3.519957912210552e-09,0.0001125433796632,0.091666305857217,1.1842875703556503e-08,0.0002760463788806,0.0898732741088281,Common
cg25274157,Zygosity,chr19,19626576.0,19626577.0,NDUFA13;TSSK6,TSS1500;TSS200,Island,3.963747765323277e-09,0.0001188118528601,0.1694517917918769,5.30449739830148e-10,2.7662878153608e-05,-0.176704353791836,Common
cg01271735,Zygosity,chr9,68412757.0,68412758.0,,,N_Shore,4.317680136629447e-09,0.0001218078522027,0.1791782014206479,1.0,1.0,0.0,EWAS-specific
cg06357843,Zygosity,chr22,50616150.0,50616151.0,PANX2;PANX2;PANX2,Body;Body;Body,Island,4.758576060425822e-09,0.0001267880292846,-0.1850158430873776,3.14693755482157e-08,0.0006382146708055,0.173201996929203,Common
cg17489597,Zygosity,chr6,30430828.0,30430829.0,,,N_Shore,6.1033152193373235e-09,0.000154058597858,0.1865515480508411,1.0,1.0,0.0,EWAS-specific
cg09816420,Zygosity,chr5,140605851.0,140605852.0,PCDHB14;PCDHB14,3'UTR;1stExon,S_Shore,9.378344155703233e-09,0.0002135601535001,0.1843489123717994,4.8897709755314905e-09,0.0001796234212553,0.1874225245008195,Common
cg11650160,Zygosity,chrX,40017883.0,40017884.0,BCOR;BCOR,5'UTR;5'UTR,Island,1.1759017238983873e-08,0.0002349814214047,0.1010817387943243,2.625882910546328e-07,0.002560323367213,0.0889002901299888,Common
cg15850063,Zygosity,chr9,68411051.0,68411052.0,,,Island,1.4275607867190934e-08,0.0002738598351783,0.1699858161139645,1.46113693457499e-08,0.000410297366792,-0.167650861083034,Common
cg00781978,Zygosity,chrX,40506067.0,40506068.0,CXorf38,Body,N_Shore,1.8703875356156493e-08,0.00034501024606,0.082174854144311,3.460067055485349e-08,0.0005720589037913,0.0798571938885218,Common
cg22148243,Zygosity,chrX,40506974.0,40506975.0,CXorf38,TSS200,Island,3.611951277572509e-08,0.0005601776333763,0.1559491099851737,0.0110331280265238,0.402016813620814,0.0725219256721738,EWAS-specific
cg08347626,Zygosity,chr5,1850140.0,1850141.0,,,N_Shore,3.7572303957976894e-08,0.0005631078607631,-0.1767823463774874,3.3106876734875124e-08,0.0005720589037913,-0.1758290869397567,Common
cg20795372,Zygosity,chr6,30419612.0,30419613.0,,,Island,3.92459679294504e-08,0.0005703675982774,0.1771619293502758,1.0,1.0,0.0,EWAS-specific
cg10122079,Zygosity,chr1,38232225.0,38232226.0,EPHA10;EPHA10,TSS1500;TSS1500,S_Shore,4.119197216963397e-08,0.0005810418441389,0.175034270633338,6.80384206719348e-09,0.0002069779785655,-0.1839335923452,Common
cg15322570,Zygosity,chrX,40506804.0,40506805.0,CXorf38;CXorf38,1stExon;5'UTR,Island,4.5910402990415423e-08,0.0006290958231938,0.1443103214271516,0.2154004283855425,0.8058005535828753,0.1509591222940232,EWAS-specific
cg02566259,Zygosity,chr4,3043199.0,3043200.0,,,Island,4.8499113706180655e-08,0.0006461078871889,-0.1732122763119435,9.05493948350508e-09,0.000264866034832,-0.1810544262147196,Common
cg01807241,Zygosity,chr4,3043527.0,3043528.0,,,Island,5.462242325781815e-08,0.0007080158502678,-0.1724426113603562,1.1656277685894452e-08,0.0002760463788806,-0.1799275633428549,Common
cg06421590,Zygosity,chr4,3043752.0,3043753.0,,,S_Shore,5.7953959546829384e-08,0.0007314308230237,-0.1714923424565091,1.5361346348799756e-08,0.0003074395603491,-0.1784202721610446,Common
cg21531040,Zygosity,chr14,106743603.0,106743604.0,,,Island,6.195091600940737e-08,0.0007618278875029,0.1682200530550602,1.0,1.0,0.0,EWAS-specific
cg06231140,Zygosity,chr4,6107320.0,6107321.0,JAKMIP1;JAKMIP1,Body;Body,Island,6.731892997421107e-08,0.0008071438725512,-0.1672750041206514,1.3066837477880992e-08,0.0002760463788806,-0.1738749543857288,Common
cg05026884,Zygosity,chrX,40032180.0,40032181.0,BCOR;BCOR,5'UTR;5'UTR,Island,7.584316510616964e-08,0.0008660458791887,0.0975899776844199,1.6169367341594328e-07,0.0018084153333578,0.1050087423416478,Common
cg01301326,Zygosity,chrX,40014433.0,40014434.0,BCOR;BCOR,5'UTR;5'UTR,Island,1.1160091845562589e-07,0.0011990543984289,0.1067610993161115,0.0111135324676211,0.3840590289566192,0.0442111292293096,EWAS-specific
cg15747825,Zygosity,chr6,28565626.0,28565627.0,,,,1.5156517303641285e-07,0.0015233372677188,-0.1663621714451432,1.1611544462420978e-08,0.0002760463788806,-0.1805118846532945,Common
cg16921702,Zygosity,chr15,45571636.0,45571637.0,,,,1.524626847927767e-07,0.0015233372677188,0.1703756815339166,1.736344935041212e-07,0.0018864792400959,0.1681756096090464,Common
cg09092052,Zygosity,chr15,45571596.0,45571597.0,,,,1.712718104566109e-07,0.001610606522826,0.1695962106633085,2.69058223891748e-10,1.63699059289098e-05,0.203450772715308,Common
cg15039826,Zygosity,chrX,39958196.0,39958197.0,BCOR;BCOR;BCOR;BCOR,TSS1500;5'UTR;TSS1500;5'UTR,Island,1.878269435517333e-07,0.0016996353804858,0.0895422068780531,0.0120888323635474,0.393539565196442,0.0382913428720257,EWAS-specific
cg16776114,Zygosity,chrX,40507041.0,40507042.0,CXorf38,TSS1500,S_Shore,2.0847931953845055e-07,0.0018515820513837,0.0898313722275168,1.2298578961561006e-06,0.0060724639522274,0.0822306705107054,Common
cg17041400,Zygosity,chrX,40506821.0,40506822.0,CXorf38,TSS200,Island,2.1913043034603485e-07,0.0018920347504017,0.1414411955475604,0.14032583047452,0.756882023049906,0.119320484549967,EWAS-specific
cg11108474,Zygosity,chr13,19919156.0,19919157.0,LOC100101938,TSS200,Island,2.2486932858396762e-07,0.0018920347504017,0.163249135031845,2.285019775059423e-07,0.0023484012830362,0.162870239749948,Common
cg24633027,Zygosity,chr5,140754314.0,140754315.0,PCDHGA4;PCDHGA1;PCDHGA6;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA6;PCDHGA2;PCDHGB2;PCDHGB3,Body;Body;1stExon;Body;Body;Body;1stExon;Body;Body;Body,N_Shore,2.5276297937866026e-07,0.0020900622126229,0.1611913588782572,1.33431831522781e-07,0.0023194836507409,-0.163848302511831,Common
cg02433927,Zygosity,chrX,39969103.0,39969104.0,BCOR;BCOR,5'UTR;5'UTR,Island,2.634339706869241e-07,0.0021413788430105,0.1014553637437358,4.404935178531333e-07,0.0032843801290075,0.0986726966618872,Common
cg26967842,Zygosity,chr7,157369158.0,157369159.0,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,Island,2.722267008436466e-07,0.0021728773225755,-0.1618912854742809,6.34853901212201e-08,0.0009285055732179,-0.1691826937715342,Common
cg27073142,Zygosity,chr15,45314933.0,45314934.0,SORD,TSS1500,N_Shore,2.809009161909592e-07,0.0021728773225755,-0.1655355547932193,5.2632322051433714e-08,0.0008005649872097,-0.172118775865233,Common
cg27119318,Zygosity,chr21,40759574.0,40759575.0,WRB;WRB,Body;TSS200,N_Shore,2.871790209214501e-07,0.002186179926346,-0.1636195277006549,3.2262863768646695e-07,0.0027859021793923,-0.1614980502038748,Common
cg05852276,Zygosity,chr5,140579470.0,140579471.0,PCDHB11,1stExon,N_Shore,4.008016068525978e-07,0.0028377826789033,0.162038807468781,2.8314847267780936e-08,0.0005127185126946,0.1771933042261397,Common
cg00758915,Zygosity,chr5,140773539.0,140773540.0,PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA8;PCDHGA7;PCDHGB2;PCDHGA8;PCDHGB3,Body;Body;Body;Body;Body;Body;Body;Body;1stExon;Body;Body;1stExon;Body,N_Shore,4.023595419572191e-07,0.0028377826789033,0.159524254860601,4.7745237146263165e-06,0.0133498140536393,0.1429069438986644,Common
cg18654956,Zygosity,chr9,68377657.0,68377658.0,,,Island,4.6886849056688587e-07,0.0032589349980425,0.1565088043658444,1.6088876552815694e-06,0.0071139586797713,0.1478834494412881,Common
cg01490258,Zygosity,chrX,40030456.0,40030457.0,BCOR;BCOR,5'UTR;5'UTR,N_Shore,5.017970169989453e-07,0.0034379834081513,0.1538466366628258,1.62538503653068e-06,0.0088558982417983,0.14648664480046,Common
cg04512892,Zygosity,chr19,4785298.0,4785299.0,,,Island,5.137217936848879e-07,0.0034701111256409,-0.1593961232361424,1.282772835880307e-07,0.0014986316188818,-0.1666044393136493,Common
cg04420349,Zygosity,chr14,70512963.0,70512964.0,SLC8A3;SLC8A3;SLC8A3;SLC8A3;SLC8A3;SLC8A3,Body;Body;Body;Body;Body;Body,Island,5.444887895197819e-07,0.0035781919598524,0.1614626778795693,2.81095949467678e-07,0.0032661610591816,-0.16449579864779,Common
cg23509665,Zygosity,chr7,158293697.0,158293698.0,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,,5.446440386435722e-07,0.0035781919598524,-0.1613525068184211,2.622617201558266e-07,0.002560323367213,-0.1646857570906991,Common
cg14803417,Zygosity,chrX,39873471.0,39873472.0,,,Island,5.558403729812133e-07,0.0036024014572912,0.0744820115319134,5.791039417289007e-07,0.0038633649507659,0.0721364265786801,Common
cg04853583,Zygosity,chr19,51685247.0,51685248.0,,,Island,5.734158702941021e-07,0.0036527840265301,0.1570804721817869,2.89908332340788e-07,0.0032661610591816,-0.159752034692847,Common
cg16568759,Zygosity,chr17,75249580.0,75249581.0,,,N_Shelf,5.788470790216064e-07,0.0036527840265301,-0.1263511859937683,1.0,1.0,0.0,EWAS-specific
cg27475169,Zygosity,chr11,119190850.0,119190851.0,,,N_Shore,5.941103321666538e-07,0.0037004123460407,0.1392969264637912,2.85280029154666e-07,0.0032661610591816,-0.139278147951699,Common
cg18644286,Zygosity,chr19,57742255.0,57742256.0,AURKC;AURKC;AURKC,TSS200;TSS200;TSS200,Island,6.127183732897744e-07,0.0037673853271735,0.1573012943865444,1.44650428543863e-07,0.0023380081257684,-0.163966958821155,Common
cg23933731,Zygosity,chr5,179779123.0,179779124.0,GFPT2,Body,Island,6.373910868254597e-07,0.0037911018426243,-0.1507914794326731,8.074374648931052e-07,0.0045940273175003,-0.1457393047217828,Common
cg12345982,Zygosity,chr6,160389645.0,160389646.0,IGF2R,TSS1500,N_Shore,6.421686314995097e-07,0.0037911018426243,0.1322960063284321,3.18907676879212e-07,0.0034240273099141,0.134868299655629,Common
cg27328673,Zygosity,chr5,140625750.0,140625751.0,PCDHB15,1stExon,N_Shore,6.481948295750122e-07,0.0037911018426243,0.1592696958642834,0.0198788480385372,0.473829525292386,-0.151307579805301,EWAS-specific
cg03329500,Zygosity,chr22,44205978.0,44205979.0,EFCAB6;EFCAB6,5'UTR;5'UTR,N_Shore,6.909803417205727e-07,0.0039218161259906,-0.1381807060269623,1.08842138454948e-06,0.0073579099631186,0.134148485784378,Common
cg25564433,Zygosity,chr5,140754451.0,140754452.0,PCDHGA4;PCDHGA1;PCDHGA6;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA6;PCDHGA2;PCDHGB2;PCDHGB3,Body;Body;1stExon;Body;Body;Body;1stExon;Body;Body;Body,N_Shore,6.933939734718976e-07,0.0039218161259906,0.1608439034058671,6.426745665827483e-07,0.0040171227111268,0.1604643889490981,Common
cg19761502,Zygosity,chr21,40759534.0,40759535.0,WRB;WRB,Body;TSS200,N_Shore,7.238171825298905e-07,0.0040364927655609,-0.1573211779233619,4.49334694521765e-07,0.0042058764333455,0.160064356420263,Common
cg07624705,Zygosity,chr19,19626525.0,19626526.0,NDUFA13;TSSK6,TSS1500;TSS200,Island,7.430129502804285e-07,0.0040598654009683,0.1431454706467398,1.72800146388071e-07,0.0026283550266174,-0.149488248734423,Common
cg15977137,Zygosity,chr21,40759694.0,40759695.0,WRB;WRB;WRB,Body;1stExon;5'UTR,N_Shore,7.458477976129542e-07,0.0040598654009683,-0.1579991598188974,6.125580432562963e-07,0.0040160889517718,-0.1576714352263468,Common
cg08681856,Zygosity,chr19,51411737.0,51411738.0,KLK4,Body,Island,8.240821474642665e-07,0.0043913872603441,0.1601635786341333,7.45844981874865e-07,0.0059189122780095,-0.159367602723513,Common
cg22023531,Zygosity,chr15,45314915.0,45314916.0,SORD,TSS1500,N_Shore,9.000088835202885e-07,0.0047104412325153,-0.1576119357448905,7.9882130219145e-08,0.0010639867241366,-0.1683919673859533,Common
cg09084477,Zygosity,chr13,41768978.0,41768979.0,KBTBD7,TSS1500,S_Shore,9.3580342134555e-07,0.0047104412325153,0.1571686446053603,2.845192130394587e-06,0.0094443845321098,0.1487595994504473,Common
cg15509177,Zygosity,chr13,19919208.0,19919209.0,LOC100101938,TSS200,Island,9.387588097153132e-07,0.0047104412325153,0.1592827833970041,1.4481435074009864e-06,0.0065556594589859,0.156116428241325,Common
cg08641118,Zygosity,chr15,90030046.0,90030047.0,RHCG,Body,Island,9.421800202080568e-07,0.0047104412325153,-0.1568817052797011,6.402554199970235e-07,0.0040171227111268,-0.1596302686085026,Common
cg19684207,Zygosity,chr21,40759686.0,40759687.0,WRB;WRB,Body;TSS200,N_Shore,9.475406892243328e-07,0.0047104412325153,-0.1566453993356608,8.094393361240159e-07,0.0045940273175003,-0.1561581152379793,Common
cg08890976,Zygosity,chr12,100538115.0,100538116.0,UHRF1BP1L;UHRF1BP1L,TSS1500;TSS1500,S_Shore,9.833095481523396e-07,0.0047635288831977,-0.1319650385128608,1.0,1.0,0.0,EWAS-specific
cg24533917,Zygosity,chr1,203200291.0,203200292.0,CHIT1,TSS1500,,9.95630814305146e-07,0.0047749856475586,0.1464603667927825,7.96329957703905e-07,0.0060562386402052,-0.145671867714861,Common
cg13523713,Zygosity,chr19,48614733.0,48614734.0,PLA2G4C;PLA2G4C;PLA2G4C,TSS1500;TSS1500;TSS1500,,1.0125953451760429e-06,0.0048082638809342,0.1569527108960909,9.5561925938037e-07,0.0067964516236657,-0.155314877081078,Common
cg08826497,Zygosity,chrX,40126361.0,40126362.0,,,Island,1.0510107710000603e-06,0.0049417496049706,0.0628202088562861,0.0576577335909244,0.620685372130726,-0.02755707459906,EWAS-specific
cg02034311,Zygosity,chr13,112547999.0,112548000.0,,,Island,1.075279294110966e-06,0.0050067718231053,-0.1555626388040705,1.2529178561871535e-06,0.0060724639522274,-0.1527165799800149,Common
cg19045293,Zygosity,chrX,39864984.0,39864985.0,,,Island,1.1718228084277854e-06,0.0054038383460107,0.0928748704876443,3.047886180959663e-07,0.0027595198638815,0.1128048302725041,Common
cg11976052,Zygosity,chr19,51411839.0,51411840.0,KLK4,Body,Island,1.2681693655791113e-06,0.0057924420830052,0.1565138460087967,5.01025845534617e-07,0.0044609508265016,-0.16015520956112,Common
cg06424894,Zygosity,chr15,45314789.0,45314790.0,SORD,TSS1500,N_Shore,1.2989671031204214e-06,0.0058771398948484,-0.1551743691473739,1.0210960145657737e-07,0.001294283445956,-0.1663778974814071,Common
cg07895657,Zygosity,chr22,50616420.0,50616421.0,PANX2;PANX2;PANX2,Body;Body;Body,Island,1.3248590866606612e-06,0.0058926108397197,-0.1549368055591272,3.006179085265999e-06,0.0096876159110212,-0.1485182729838891,Common
cg08663909,Zygosity,chr5,1850655.0,1850656.0,,,N_Shore,1.3381432120622834e-06,0.0058926108397197,-0.1542835019676843,2.6113371663864e-07,0.0032661610591816,0.163027407932222,Common
cg12775788,Zygosity,chrX,40031643.0,40031644.0,BCOR;BCOR,5'UTR;5'UTR,Island,1.3392464908432055e-06,0.0058926108397197,0.0553024066284335,2.8810286715371667e-06,0.0094443845321098,0.0515759166752328,Common
cg03473127,Zygosity,chr19,51411782.0,51411783.0,KLK4,Body,Island,1.4023620958491869e-06,0.0061142222454244,0.1563775836141503,1.13982469894964e-06,0.0074405014319192,-0.155913461666406,Common
cg17006282,Zygosity,chr19,5689943.0,5689944.0,RPL36;RPL36,TSS1500;TSS1500,N_Shore,1.494898253079352e-06,0.006401287792744,0.1551365653309541,8.86044309308397e-07,0.0064689917813744,-0.157820190234066,Common
cg05392777,Zygosity,chr12,86658385.0,86658386.0,MGAT4C,5'UTR,,1.5159411888680964e-06,0.0064339495445487,0.1563108023792369,4.2523974419225e-07,0.004085087983622,0.163940663465747,Common
cg25179334,Zygosity,chr12,34517887.0,34517888.0,,,,1.5974271423159038e-06,0.0067203199376478,0.1545505073745801,9.96004802962878e-07,0.0068601991946565,-0.156940605633759,Common
cg19249107,Zygosity,chr1,55505954.0,55505955.0,PCSK9,Body,Island,1.6560596965444872e-06,0.0069064025574309,-0.1529600708045762,3.3806497991948413e-07,0.0027859021793923,-0.1611279101918295,Common
cg10800226,Zygosity,chr5,1850261.0,1850262.0,,,N_Shore,1.725518838928246e-06,0.0070730639490337,-0.1541334121673818,1.17597168806774e-06,0.0075313559431129,0.155122713507765,Common
cg21093807,Zygosity,chr3,56717625.0,56717626.0,C3orf63,TSS1500,Island,1.746013185194389e-06,0.0070964190469501,0.1529891700306895,1.61733582286054e-06,0.0088558982417983,-0.152729534598006,Common
cg11356767,Zygosity,chr7,56605830.0,56605831.0,,,,1.856252714080117e-06,0.0074187305346378,0.1476580187113052,6.313898720917583e-06,0.0153547245272788,0.1400508772390106,Common
cg16976547,Zygosity,chr15,91433530.0,91433531.0,FES;FES;FES;FES,Body;Body;Body;Body,,1.9744614177272032e-06,0.0077950372042036,-0.1294955974231544,3.61159971297078e-06,0.0136908743594527,0.121619184767094,Common
