CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg18608055,Inflammatory_Bowel_Disease,chr19,1130866.0,1130867.0,SBNO2;SBNO2,Body;Body,,4.57643662201453e-17,9.9360530152849e-12,-0.2087296014723994,2.7977860688469297e-18,4.552627435879446e-13,-0.2201440300654079,Common
cg12170787,Inflammatory_Bowel_Disease,chr19,1130965.0,1130966.0,SBNO2;SBNO2,Body;Body,,4.702922752106223e-17,9.9360530152849e-12,-0.1727976486111524,1.6393012252117104e-18,4.552627435879446e-13,-0.1693853021977648,Common
cg08423142,Inflammatory_Bowel_Disease,chr15,59588622.0,59588623.0,MYO1E,Body,,1.7594911747894206e-15,2.478231589749734e-10,-0.1902751053738803,1.83333946489004e-18,2.83067613379022e-13,0.203400712559243,Common
cg18942579,Inflammatory_Bowel_Disease,chr17,57915773.0,57915774.0,TMEM49,Body,,9.234994819169964e-15,9.75557147712657e-10,-0.2053274888291871,3.201966061144769e-17,3.473546149230865e-12,-0.2205145371579771,Common
cg02650017,Inflammatory_Bowel_Disease,chr17,47301614.0,47301615.0,PHOSPHO1;PHOSPHO1,Body;Body,Island,2.6023137571588265e-14,2.1992049469198953e-09,-0.2385750048975576,4.4170222392629604e-17,4.54658822494801e-12,-0.256647301805104,Common
cg07573872,Inflammatory_Bowel_Disease,chr19,1126342.0,1126343.0,SBNO2;SBNO2,Body;Body,S_Shelf,7.77496339193795e-14,5.475492052227661e-09,-0.1893839468280204,1.0,1.0,0.0,EWAS-specific
cg04389058,Inflammatory_Bowel_Disease,chr3,57041402.0,57041403.0,ARHGEF3,Body,,1.3199987017166868e-13,7.968040163042608e-09,-0.1656911915518664,1.5835854038679e-10,3.05631982946504e-06,0.168669969159493,Common
cg17980786,Inflammatory_Bowel_Disease,chr3,32933637.0,32933638.0,TRIM71,3'UTR,,8.085150081677589e-13,4.270454995890877e-08,0.1691388690497641,6.940815065908587e-12,4.51770711824924e-07,0.1539017561572116,Common
cg17501210,Inflammatory_Bowel_Disease,chr6,166970252.0,166970253.0,RPS6KA2;RPS6KA2,Body;Body,,6.508786971018325e-12,3.055861018922057e-07,-0.2057574233854797,6.42181226721312e-14,3.30509271352569e-09,0.202147299641182,Common
cg01101459,Inflammatory_Bowel_Disease,chr1,234871477.0,234871478.0,,,,7.512689593139561e-12,3.174471962201936e-07,0.1437585970691673,4.114859614693278e-10,1.1159670727532117e-05,0.1156345908262427,Common
cg10136168,Inflammatory_Bowel_Disease,chr14,77783447.0,77783448.0,POMT2,Body,N_Shelf,1.0827271124607962e-11,4.159128871964405e-07,-0.1167450367268246,0.0024189699575094,0.217894190938514,0.119965348921314,EWAS-specific
cg06545761,Inflammatory_Bowel_Disease,chr16,87441441.0,87441442.0,ZCCHC14,3'UTR,Island,4.137362557815816e-11,1.4568618950666311e-06,-0.126852019360132,1.983905193413037e-07,0.0015372667277864,-0.0965244287707186,Common
cg20406979,Inflammatory_Bowel_Disease,chr6,167373233.0,167373234.0,,,S_Shelf,7.115718202569942e-11,2.227166156515409e-06,0.1493756640430781,3.71811301447493e-08,0.0001979574653223,-0.123274535646344,Common
cg22448090,Inflammatory_Bowel_Disease,chr1,200978598.0,200978599.0,KIF21B,Body,,7.3791205238732e-11,2.227166156515409e-06,0.1337978245185201,6.7639191506677e-10,1.03387505859356e-05,-0.124689285603361,Common
cg24678869,Inflammatory_Bowel_Disease,chr1,153919638.0,153919639.0,DENND4B,TSS1500,S_Shore,1.0803426657677802e-10,3.04331088489896e-06,0.1011640852064687,6.17926503312015e-05,0.054205145787164,0.0540830515095549,EWAS-specific
cg03411579,Inflammatory_Bowel_Disease,chr12,76552736.0,76552737.0,,,,1.26083133937028e-10,3.329761004926457e-06,0.144370536809194,4.822555539625983e-06,0.0119807373098746,0.0983914916204804,Common
cg02879453,Inflammatory_Bowel_Disease,chr16,50321818.0,50321819.0,ADCY7,TSS200,,2.6571642871856536e-10,6.604585030716021e-06,0.1123841760235736,0.160772788708523,0.801644364747735,-0.0884984266247077,EWAS-specific
cg06192883,Inflammatory_Bowel_Disease,chr15,52554171.0,52554172.0,MYO5C,Body,,4.2576553633985354e-10,9.814855583862436e-06,0.1116484786786743,4.03522030521642e-05,0.0267398289753397,0.127615200965257,Common
cg16411857,Inflammatory_Bowel_Disease,chr16,57023191.0,57023192.0,NLRC5,TSS1500,Island,4.4132798189409555e-10,9.814855583862436e-06,-0.1817165066334213,0.0069100038736992,0.3948422707090403,-0.1666213279634636,EWAS-specific
cg26955383,Inflammatory_Bowel_Disease,chr10,105218660.0,105218661.0,CALHM1,TSS200,S_Shore,5.038035294755942e-10,1.064405868864268e-05,0.1685515516844848,6.400064068825574e-10,1.4877634649135276e-05,0.1668782244221738,Common
cg25966016,Inflammatory_Bowel_Disease,chr10,134353618.0,134353619.0,INPP5A,Body,S_Shelf,6.203503566903642e-10,1.2431226410522766e-05,-0.1428511226069754,0.0010183408973202,0.148257771123657,-0.106904901594187,EWAS-specific
cg15706657,Inflammatory_Bowel_Disease,chr6,167571324.0,167571325.0,GPR31,TSS200,,6.472329321911373e-10,1.2431226410522766e-05,0.1711325372950511,6.674062181239328e-06,0.0140131623649898,0.1204942705620206,Common
cg24263283,Inflammatory_Bowel_Disease,chr15,59587546.0,59587547.0,MYO1E,Body,,9.50258526672419e-10,1.7401628749268512e-05,-0.1885868307563852,2.09938902509012e-14,1.62072832736957e-09,0.244099063273605,Common
cg15678744,Inflammatory_Bowel_Disease,chr5,171808200.0,171808201.0,SH3PXD2B,Body,,9.88382597911821e-10,1.7401628749268512e-05,-0.1579885199503665,0.0010618116701745,0.151030605135842,0.149152186317032,EWAS-specific
cg12535090,Inflammatory_Bowel_Disease,chr11,20071677.0,20071678.0,NAV2;NAV2;NAV2;NAV2,Body;Body;Body;Body,,1.0732554387915715e-09,1.7759077339972995e-05,0.1686875661272637,0.0208982012218154,0.542779197958152,0.1321328191079961,EWAS-specific
