CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg27594583,Alcohol_Use_in_Pregnancy,chr7,150716029.0,150716030.0,ATG9B,Body,Island,1.7997600651661723e-14,1.4265024259711644e-08,0.3292028865722594,1.0,1.0,0.0,EWAS-specific
cg18590995,Alcohol_Use_in_Pregnancy,chr1,226558496.0,226558497.0,PARP1,Body,,4.1138785575763624e-14,1.6303444709424636e-08,-0.3304067734205957,0.5610731880738453,0.9355769756116958,-0.0385235612666912,EWAS-specific
cg22791905,Alcohol_Use_in_Pregnancy,chr1,94050746.0,94050747.0,BCAR3;BCAR3;BCAR3;BCAR3;BCAR3,TSS200;Body;Body;Body;Body,,2.48348608344164e-13,6.561428180461426e-08,-0.268531944695073,0.0003065451238288,0.1053120401990505,-0.3586636022571045,EWAS-specific
cg10836755,Alcohol_Use_in_Pregnancy,chr1,226546944.0,226546945.0,,,,5.036528974495456e-12,9.9799703022198e-07,-0.3130642527138886,0.7071525144672224,0.9618335806643766,-0.0149826230689936,EWAS-specific
cg13348733,Alcohol_Use_in_Pregnancy,chr4,148649246.0,148649247.0,,,N_Shelf,1.870980113343413e-11,2.796724270131665e-06,-0.3048580215729949,0.4639775245725738,0.9136559706546284,-0.0261430637819389,EWAS-specific
cg09218957,Alcohol_Use_in_Pregnancy,chr20,62314215.0,62314216.0,RTEL1-TNFRSF6B;RTEL1;RTEL1;RTEL1;RTEL1,Body;Body;Body;Body;Body,N_Shelf,2.1171079262219475e-11,2.796724270131665e-06,0.2222654083308621,4.838227153042888e-12,1.0355563996710718e-06,0.2144554960181513,Common
cg18593331,Alcohol_Use_in_Pregnancy,chr8,143170499.0,143170500.0,,,,2.5215739077177767e-11,2.855167328963521e-06,-0.2647683068421012,1.2750456293696595e-09,0.0001169597534327,-0.2294708565472803,Common
cg24050579,Alcohol_Use_in_Pregnancy,chr13,34574802.0,34574803.0,,,,5.4784463993082355e-11,4.824727739129448e-06,-0.2266822542179471,6.8886479441344515e-09,0.000442326284276,-0.1922565261760198,Common
cg05523652,Alcohol_Use_in_Pregnancy,chr6,134861612.0,134861613.0,LOC101928304;LOC101928304,TSS1500;TSS1500,,6.841063029839292e-11,4.849428500368632e-06,-0.2732950883156787,0.3458741881949708,0.8774620519033681,-0.2168840047259372,EWAS-specific
cg10625365,Alcohol_Use_in_Pregnancy,chr1,168196658.0,168196659.0,SFT2D2,Body,S_Shore,7.558013500875066e-11,4.849428500368632e-06,0.2975494796543236,0.0003041150896674,0.1051035093521016,0.1672799917513868,EWAS-specific
cg24259147,Alcohol_Use_in_Pregnancy,chr14,23016326.0,23016327.0,,,,7.644924070424833e-11,4.849428500368632e-06,-0.1610677430166595,0.0023396547621667,0.183205505182884,0.064372115354429,EWAS-specific
cg05892806,Alcohol_Use_in_Pregnancy,chr13,114305746.0,114305747.0,ATP4B,Body,S_Shelf,7.953824594634189e-11,4.849428500368632e-06,0.2679610178509792,2.81096938200949e-09,0.0001840866368686,-0.23713910993577,Common
