CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg16975863,Diabetes,chr4,57548093.0,57548094.0,HOPX;HOPX;HOPX,TSS1500;TSS1500;TSS1500,,4.551960483141967e-10,9.270891119009132e-05,0.1489859570353014,2.81559497682988e-07,0.006216001337298,-0.134598233745292,Common
cg07098752,Diabetes,chr10,120354870.0,120354871.0,PRLHR,5'UTR,Island,5.794180201688796e-10,9.270891119009132e-05,-0.2671263010970484,1.659451492039609e-08,0.0007642675230915,-0.2463305597565485,Common
cg19225512,Diabetes,chr10,72648693.0,72648694.0,PCBD1,TSS200,S_Shore,1.8608656531841638e-09,0.0001984966783595,0.225582678407207,3.63212083540972e-10,8.89016056279061e-05,-0.239861482871608,Common
cg15830591,Diabetes,chr6,168398369.0,168398370.0,,,N_Shelf,3.052737725386618e-09,0.000227582942559,-0.2425647480429115,3.240803558679273e-09,0.0003848439827174,-0.2401019266289341,Common
cg27351978,Diabetes,chr8,1650172.0,1650173.0,DLGAP2,3'UTR,S_Shore,3.555905692048503e-09,0.000227582942559,0.2355047275665512,1.0,1.0,0.0,EWAS-specific
cg20933713,Diabetes,chr1,175713219.0,175713220.0,TNR,TSS1500,,5.4702573123451715e-09,0.0002917534386252,0.2440392747753157,4.29531654928731e-08,0.0021026863103726,-0.232045752340478,Common
cg09132607,Diabetes,chr2,43903582.0,43903583.0,PLEKHH2;LOC728819,Body;TSS200,,1.4002570688774033e-08,0.0005622911613518,-0.2184191854043282,3.77752871673562e-09,0.0003082022721172,-0.234865244711702,Common
cg27112993,Diabetes,chr17,35242805.0,35242806.0,,,,1.4056971537543765e-08,0.0005622911613518,-0.1815798851961515,1.0,1.0,0.0,EWAS-specific
cg26410635,Diabetes,chr12,96350720.0,96350721.0,AMDHD1,Body,Island,1.6492759461931115e-08,0.0005864220530149,-0.2314614676868588,7.20337296994816e-08,0.0022087989052897,0.220442922567456,Common
cg15184495,Diabetes,chr20,44880525.0,44880526.0,CDH22,TSS200,S_Shore,1.9040830366927453e-08,0.0006093199003229,0.2357831736968468,2.65602277183441e-09,0.0003082022721172,-0.255944922047407,Common
cg02486415,Diabetes,chr12,52263387.0,52263388.0,,,S_Shore,2.471069135668009e-08,0.0007188722008161,0.2102977902990218,6.548241264294928e-08,0.0020709877087538,0.2084163241681298,Common
cg22681255,Diabetes,chr12,52257417.0,52257418.0,,,N_Shore,5.1614993845874574e-08,0.0013245035168588,0.2387699306503168,4.84212454841001e-07,0.00669448571547,0.226430574956756,Common
cg04609245,Diabetes,chr4,41646293.0,41646294.0,LIMCH1;LIMCH1;LIMCH1;LIMCH1;LIMCH1,Body;Body;Body;Body;Body,Island,5.3806778349113624e-08,0.0013245035168588,0.1954137661467246,7.21932925145267e-08,0.0022087989052897,0.2009466452884,Common
cg13532547,Diabetes,chr17,185957.0,185958.0,RPH3AL,5'UTR,S_Shore,5.9097263198166175e-08,0.0013267680790237,0.2012133431632834,1.0,1.0,0.0,EWAS-specific
cg20697394,Diabetes,chr12,132918305.0,132918306.0,,,N_Shelf,6.219089327844797e-08,0.0013267680790237,0.2207934698737965,3.263096179016608e-07,0.005897183953868,0.2100643481113723,Common
cg24796998,Diabetes,chr17,70383845.0,70383846.0,,,,7.608947863884601e-08,0.0015218228619238,-0.2191998013842008,3.002217693563107e-08,0.0010851430075735,-0.2287763893411289,Common
cg22763586,Diabetes,chr8,1649868.0,1649869.0,DLGAP2,3'UTR,S_Shore,1.19484336716764e-07,0.0022491661258659,0.20966025543178,1.0,1.0,0.0,EWAS-specific
cg20256375,Diabetes,chr13,112730681.0,112730682.0,,,S_Shelf,1.8195412173176858e-07,0.0029017913289291,-0.2207392371748764,1.4212053699399414e-06,0.0093220206982863,-0.2024599217175326,Common
cg14404842,Diabetes,chr14,97092096.0,97092097.0,,,,1.8429874449876442e-07,0.0029017913289291,-0.1937011627870861,8.687852018486736e-07,0.0069451442136463,-0.1865850016385852,Common
cg24361198,Diabetes,chr1,242002464.0,242002465.0,,,,1.9355769517212146e-07,0.0029017913289291,-0.231477439047168,2.606979662753845e-06,0.0119470093863167,-0.2146935916828954,Common
cg00667343,Diabetes,chr1,244624249.0,244624250.0,C1orf101;C1orf101,TSS1500;TSS1500,N_Shore,1.996122357324329e-07,0.0029017913289291,-0.2163927605755512,8.444957930067545e-07,0.0069451442136463,-0.2076760595241394,Common
cg19309499,Diabetes,chr8,1150488.0,1150489.0,,,N_Shore,2.031590171987936e-07,0.0029017913289291,0.1288141139966607,1.0,1.0,0.0,EWAS-specific
cg22652561,Diabetes,chr17,11924127.0,11924128.0,MAP2K4,TSS200,Island,2.1319322318815562e-07,0.0029017913289291,0.1648804176335181,1.0,1.0,0.0,EWAS-specific
cg13707760,Diabetes,chr9,95986383.0,95986384.0,WNK2,Body,,2.176295890224269e-07,0.0029017913289291,0.1522778202157282,1.7146061970002933e-06,0.0101853541919672,0.1419315532707708,Common
cg08046044,Diabetes,chr14,54419614.0,54419615.0,BMP4;BMP4;BMP4,5'UTR;5'UTR;5'UTR,N_Shore,2.4149011638823975e-07,0.0030489555101643,0.1275791860940092,6.77142249230011e-06,0.0237910046142388,0.121369061968375,Common
