CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg09929408,Chronic_Stress,chr2,74035110.0,74035111.0,C2orf78,Body,,1.078780483110034e-10,8.55048962376395e-05,-0.3102217361803147,0.0257734882420265,0.339255475419835,0.254970529273254,EWAS-specific
cg07439609,Chronic_Stress,chr20,9818601.0,9818602.0,PAK7;PAK7,5'UTR;5'UTR,N_Shore,4.344267936174996e-09,0.0010559670414017,-0.2689100550222684,3.762173184731613e-09,0.0002684139179416,-0.2761151329584057,Common
cg03182576,Chronic_Stress,chr2,121293354.0,121293355.0,,,,4.869383766517863e-09,0.0010559670414017,-0.2956422865165623,0.4867223393788521,0.901732594171782,-0.0292566795806985,EWAS-specific
cg05859572,Chronic_Stress,chr3,100240476.0,100240477.0,TMEM45A,5'UTR,,5.329082591507437e-09,0.0010559670414017,-0.1550435448650658,2.0164028115486686e-10,5.756220684167908e-05,-0.1661236671409851,Common
cg00983520,Chronic_Stress,chr22,51017067.0,51017068.0,CPT1B;CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B;CPT1B,1stExon;TSS1500;1stExon;5'UTR;Body;1stExon;5'UTR;TSS200;TSS200;1stExon;5'UTR;5'UTR,S_Shore,6.899227030101541e-09,0.0010936751277295,0.2523827029383114,8.16090672339207e-08,0.0018373719114653,0.2264201063973583,Common
cg23346269,Chronic_Stress,chr21,31992208.0,31992209.0,KRTAP20-4,TSS1500,,9.25732578457324e-09,0.0011862351229286,-0.2452070061077281,0.001460311190141,0.1731571554641076,-0.2747290191690311,EWAS-specific
cg15903449,Chronic_Stress,chr1,87277279.0,87277280.0,,,,1.1338721877033936e-08,0.0011862351229286,-0.2874858383630056,0.0811144961843685,0.511170150351493,0.0797112509872384,EWAS-specific
cg04653789,Chronic_Stress,chr4,38192712.0,38192713.0,,,,1.1972996684900749e-08,0.0011862351229286,0.1631541883687778,2.0366770823327687e-08,0.0007678551227365,0.1532642855006816,Common
cg07474672,Chronic_Stress,chr6,90142171.0,90142172.0,ANKRD6,TSS1500,N_Shore,1.4583949954853302e-08,0.0012843712024296,0.2741292974408198,0.0151334110318612,0.3767406896768582,0.1013131928203577,EWAS-specific
cg15256480,Chronic_Stress,chr9,128193968.0,128193969.0,,,,1.6528452824753882e-08,0.0013100567408069,-0.2319087790975637,3.426681318705308e-07,0.0037936257152974,-0.2090666465907857,Common
cg15800513,Chronic_Stress,chr5,124287528.0,124287529.0,,,,1.824719159714289e-08,0.0013148047082033,0.1631940507436294,6.70770655449038e-08,0.0014642625288161,-0.170277005170459,Common
cg08471713,Chronic_Stress,chr17,41738893.0,41738894.0,MEOX1;MEOX1;MEOX1,1stExon;1stExon;5'UTR,,2.0526338200083307e-08,0.0013557766118127,0.2895534011914811,9.228032681530586e-09,0.0005285448176432,0.2945272045186428,Common
cg07396904,Chronic_Stress,chr14,22103504.0,22103505.0,OR10G2,TSS1500,,2.510437368067228e-08,0.0014243566357058,-0.1749787512064756,4.333346190141269e-08,0.0011593669120022,-0.2144388986911181,Common
cg00947478,Chronic_Stress,chr14,106410628.0,106410629.0,,,,2.8080145862770075e-08,0.0014243566357058,-0.2792248812347829,1.0,1.0,0.0,EWAS-specific
cg21163617,Chronic_Stress,chr7,157384658.0,157384659.0,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,N_Shelf,2.8093642619426253e-08,0.0014243566357058,0.2046677050311341,1.908407485830364e-07,0.0028143896603753,0.1553295850362441,Common
cg05526565,Chronic_Stress,chr20,39916065.0,39916066.0,ZHX3,5'UTR,,2.8800445433805743e-08,0.0014243566357058,0.2765415397233743,3.5885967380856004e-06,0.0141149081519781,0.2346572451213662,Common
cg15761233,Chronic_Stress,chr2,200819070.0,200819071.0,C2orf60;C2orf60;C2orf47,Body;Body;TSS1500,N_Shore,3.2144240023335695e-08,0.0014243566357058,-0.2688738124065777,2.328678807138773e-09,0.0002622806162965,-0.2444871383307319,Common
cg16643742,Chronic_Stress,chr12,130944499.0,130944500.0,RIMBP2,Body,,3.2346950560246625e-08,0.0014243566357058,0.2551038763625275,1.43665489038184e-07,0.0022157070724559,-0.228257110083906,Common
cg12427603,Chronic_Stress,chr8,31883717.0,31883718.0,NRG1-IT1;NRG1-IT1;NRG1-IT1;NRG1,TSS200;TSS200;Body;Body,,3.559243357765608e-08,0.0014629347695217,0.2371653929769285,7.66268168615525e-06,0.0117920868419231,-0.208299964071631,Common
cg25731655,Chronic_Stress,chr10,14602451.0,14602452.0,FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B;FAM107B,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;Body;5'UTR,,3.853277894049188e-08,0.0014629347695217,-0.0942632170894116,0.0318055893718809,0.4627210256024353,-0.0484001249963814,EWAS-specific
cg07833083,Chronic_Stress,chr1,75547360.0,75547361.0,,,,4.000768613932816e-08,0.0014629347695217,-0.2659803182152278,0.1865732018460431,0.7412458789618049,-0.1825868834666442,EWAS-specific
cg19541247,Chronic_Stress,chr7,151491573.0,151491574.0,PRKAG2;PRKAG2,5'UTR;Body,,4.06059559522926e-08,0.0014629347695217,0.2185940889200822,1.1553306632054404e-05,0.0240859810655903,-0.2073276383413779,Common
cg13540256,Chronic_Stress,chr3,44597153.0,44597154.0,ZNF167;ZNF167,5'UTR;5'UTR,S_Shore,4.4615509858295216e-08,0.0015047832917435,-0.198594025451983,1.699429572935555e-07,0.0027585703642981,-0.2042349283277251,Common
cg00731608,Chronic_Stress,chr14,103593907.0,103593908.0,TNFAIP2,Body,Island,4.556457235659756e-08,0.0015047832917435,0.1572549694279103,0.0003979846573192,0.0653402119929319,-0.151573296544184,EWAS-specific
cg21655538,Chronic_Stress,chr4,74486245.0,74486246.0,RASSF6;RASSF6;RASSF6;RASSF6;RASSF6;RASSF6;RASSF6;RASSF6,1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR,Island,5.0206036593209934e-08,0.0015473707917152,0.194679726387951,0.0017415416996005,0.120138248438807,0.156991054859484,EWAS-specific
cg16385448,Chronic_Stress,chr14,105612130.0,105612131.0,JAG2;JAG2,Body;Body,N_Shelf,5.075862386352565e-08,0.0015473707917152,-0.2692561259477817,1.0,1.0,0.0,EWAS-specific
cg05225883,Chronic_Stress,chr10,134043755.0,134043756.0,STK32C,Body,S_Shore,6.375100705053491e-08,0.0018196816329434,-0.2560278540851731,1.494870619389437e-08,0.0005999186740909,-0.2502294038119246,Common
cg16360247,Chronic_Stress,chr14,24422928.0,24422929.0,DHRS4;C14orf167;C14orf167;C14orf167;C14orf167,TSS200;Body;Body;Body;Body,Island,6.619044242086878e-08,0.0018196816329434,-0.259121760896515,1.0,1.0,0.0,EWAS-specific
cg15994332,Chronic_Stress,chr1,6928587.0,6928588.0,CAMTA1;CAMTA1;CAMTA1;CAMTA1,Body;Body;Body;Body,,6.884129590013336e-08,0.0018196816329434,-0.2255620098719906,1.1523942892882062e-08,0.0005285448176432,-0.2319348870351754,Common
cg10526478,Chronic_Stress,chr16,85936211.0,85936212.0,IRF8,5'UTR,S_Shelf,7.163472419176357e-08,0.0018196816329434,-0.2017257504312841,4.773518195322029e-08,0.001226047597952,-0.201558448439914,Common
cg19050854,Chronic_Stress,chr15,68124983.0,68124984.0,SKOR1,Body,N_Shore,7.173588011263454e-08,0.0018196816329434,-0.2159106787275497,2.689366143832857e-10,5.756220684167908e-05,-0.2341183022851853,Common
cg03995300,Chronic_Stress,chr17,5019989.0,5019990.0,ZNF232,5'UTR,S_Shore,7.346618469706846e-08,0.0018196816329434,-0.2429152622415205,1.0787222548830799e-10,5.756220684167908e-05,-0.28785104687927,Common
cg21159260,Chronic_Stress,chr5,475889.0,475890.0,SLC9A3,Body,N_Shore,8.757517410933162e-08,0.0020975679253456,-0.2663763924096123,2.354579796782075e-08,0.0007957351993326,-0.2744001954037474,Common
cg00929254,Chronic_Stress,chr10,134043449.0,134043450.0,STK32C,Body,S_Shore,8.997814738168263e-08,0.0020975679253456,-0.2732946096109125,3.704379082555511e-08,0.0010652233954967,-0.2646279980683062,Common
cg19153300,Chronic_Stress,chr11,134794980.0,134794981.0,,,,9.442743647614073e-08,0.0021383956326584,0.2680451932917325,1.0,1.0,0.0,EWAS-specific
cg21887023,Chronic_Stress,chr15,33534982.0,33534983.0,,,,9.825213193517548e-08,0.0021632035426873,-0.1769893828510609,0.0074720754408122,0.3014200395914533,-0.2141743256487727,EWAS-specific
cg02625426,Chronic_Stress,chr12,32301274.0,32301275.0,BICD1;BICD1,Body;Body,,1.1376228485631957e-07,0.0024017932713441,0.2725619624454276,0.1925956595285939,0.7469056411413424,0.0602401713067657,EWAS-specific
cg04540199,Chronic_Stress,chr2,20813684.0,20813685.0,,,,1.163965481964885e-07,0.0024017932713441,0.2544363558308016,3.513129325719129e-05,0.0387593895547399,0.2060772687062995,Common
cg23607438,Chronic_Stress,chr3,145416263.0,145416264.0,,,,1.2120979357205548e-07,0.0024017932713441,-0.2006890170182359,9.268442852485932e-08,0.0018797901955129,-0.2009400789859781,Common
