CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg05575921,Schizophrenia,chr5,373378.0,373379.0,AHRR,Body,N_Shore,1.971959965974478e-13,9.56858078209728e-08,-0.2708016958893001,0.4109976533422467,0.9636202297708064,-0.0916401540208001,EWAS-specific
cg03050965,Schizophrenia,chr1,101705237.0,101705238.0,S1PR1,Body,S_Shelf,2.290269162714284e-11,2.778279715905444e-06,-0.1626335008174811,1.32506127104366e-06,0.0005691377104607,0.0622699707516208,Common
cg25648203,Schizophrenia,chr5,395444.0,395445.0,AHRR,Body,,8.125224426115867e-11,5.670032410282073e-06,-0.2476826743911136,3.867373460538516e-06,0.0835806574993003,-0.1880528814652793,EWAS-specific
cg01820213,Schizophrenia,chr14,104645063.0,104645064.0,KIF26A,Body,Island,8.179639197739331e-11,5.670032410282073e-06,0.2295224160335369,0.0635518963353328,0.8185394143227841,0.0707768017763842,EWAS-specific
cg02567500,Schizophrenia,chr16,28509238.0,28509239.0,APOB48R,Body,Island,2.0376805302140686e-10,1.0986086655964811e-05,-0.2382654594842272,1.427824626577314e-07,0.0183934175478008,-0.2179669039073851,Common
cg07324245,Schizophrenia,chr17,75445905.0,75445906.0,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,Body;Body;Body;Body;TSS1500;Body,N_Shore,3.7788989104829804e-10,1.8336426761314776e-05,-0.119368201474518,0.0004189486361495,0.362168306992906,-0.0733390824515841,EWAS-specific
cg09022230,Schizophrenia,chr7,5457225.0,5457226.0,TNRC18,Body,N_Shore,1.2639101316952802e-09,5.110747008523036e-05,-0.1848928007527097,8.268139207262321e-09,0.0033950881257036,-0.1906712350493202,Common
cg21948803,Schizophrenia,chr22,24024719.0,24024720.0,LOC91316,Body,,2.712399215162288e-09,0.0001012417612285,-0.2473768968488081,0.03223855992718,0.416969795248505,0.134962308340257,EWAS-specific
cg01940273,Schizophrenia,chr2,233284934.0,233284935.0,,,Island,3.5790550670803142e-09,0.0001240480034506,-0.2315366499128464,1.843755273955995e-07,0.0183934175478008,-0.2216566346900184,Common
cg03636183,Schizophrenia,chr19,17000585.0,17000586.0,F2RL3,Body,N_Shore,9.121444096364571e-09,0.0002950677707844,-0.2238931677470242,4.134103166495951e-07,0.0242508263505152,-0.2197718944422192,Common
cg00090197,Schizophrenia,chr1,43738732.0,43738733.0,TMEM125,Body,Island,1.2725824093394792e-08,0.0003859360672803,0.171092121660365,0.0163823848911655,0.6808019476833788,0.0883162682204259,EWAS-specific
cg05284742,Schizophrenia,chr14,93552128.0,93552129.0,ITPK1;ITPK1;ITPK1,Body;Body;Body,,1.5274890445557622e-08,0.0004359920965105,-0.1609573505770179,1.0,1.0,0.0,EWAS-specific
cg06830441,Schizophrenia,chr7,2959121.0,2959122.0,CARD11,Body,,1.7151703110153086e-08,0.0004623641779747,0.2174670227910694,0.0389986610982031,0.446879386235952,-0.126537388456483,EWAS-specific
cg20772590,Schizophrenia,chr17,75446431.0,75446432.0,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,TSS200;Body;Body;Body;Body;Body,N_Shore,2.1290964144814537e-08,0.0005437398481008,-0.0972343710134658,0.0063161362034736,0.5815609059528375,-0.0514868973041723,EWAS-specific
cg04371126,Schizophrenia,chr16,58079176.0,58079177.0,MMP15,Body,Island,2.280148035416763e-08,0.0005532003957606,0.1770004443104983,0.0047546068897138,0.55543412371976,0.0999254999086699,EWAS-specific
cg12019990,Schizophrenia,chr3,9032274.0,9032275.0,SRGAP3;SRGAP3,Body;Body,Island,6.302529751513115e-08,0.0014562805316124,0.2094109001049268,0.0280241170663679,0.394404797145952,-0.122023490373528,EWAS-specific
cg00820535,Schizophrenia,chr22,39852281.0,39852282.0,MGAT3,TSS1500,Island,1.0274319350442553e-07,0.0021592709684275,-0.1700175055131008,0.0013907255929506,0.4617298387441932,-0.1091204105642907,EWAS-specific
cg10750182,Schizophrenia,chr10,73497514.0,73497515.0,C10orf105;C10orf105;CDH23,5'UTR;1stExon;Body,,1.226754341779212e-07,0.0022046683806304,-0.1344894535712094,1.7934698449262567e-06,0.0634559211383124,-0.1336267578700705,EWAS-specific
cg01073765,Schizophrenia,chr1,20568217.0,20568218.0,,,N_Shore,1.3342541885537532e-07,0.0023122243872154,0.1908551552107651,0.7129735241540384,0.9908945854653934,0.013818992325331,EWAS-specific
cg21566642,Schizophrenia,chr2,233284661.0,233284662.0,,,Island,2.013363312798709e-07,0.0033687872655032,-0.204381399653546,8.656941149324537e-06,0.1269549694842532,-0.1912327885190601,EWAS-specific
cg23576855,Schizophrenia,chr5,373299.0,373300.0,AHRR,Body,N_Shore,2.341038227663825e-07,0.0037864888709525,-0.2560304190838382,3.2186090597111103e-06,0.0818840470048748,-0.2470501529744433,EWAS-specific
cg13537346,Schizophrenia,chr2,238265124.0,238265125.0,COL6A3;COL6A3;COL6A3,Body;Body;Body,,2.518097943757707e-07,0.0039414893595014,-0.22580087706825,6.229002254992454e-05,0.2430609411633769,-0.1858555981362589,EWAS-specific
cg02650017,Schizophrenia,chr17,47301614.0,47301615.0,PHOSPHO1;PHOSPHO1,Body;Body,Island,2.646292305156303e-07,0.0040127053369237,-0.1941820708499974,6.309188402394179e-05,0.2430609411633769,-0.1672780697097537,EWAS-specific
cg24298409,Schizophrenia,chr3,50379246.0,50379247.0,RASSF1;ZMYND10;RASSF1,TSS1500;Body;TSS1500,S_Shore,4.422627985694767e-07,0.0062756461357979,-0.1761809550699144,0.596180518593522,0.924232971978149,0.0436037895592184,EWAS-specific
cg13337669,Schizophrenia,chr11,803528.0,803529.0,LRDD;LRDD;LRDD,Body;5'UTR;Body,N_Shore,4.526651472964044e-07,0.0062756461357979,-0.1945849589927083,3.8410013372789096e-05,0.1971504365146847,-0.1716312221268236,EWAS-specific
cg03595220,Schizophrenia,chr16,58824960.0,58824961.0,,,,6.949207688059513e-07,0.0089211981244315,0.1700732495459082,0.0675653786838173,0.541086131658652,-0.0336255789509311,EWAS-specific
cg24090911,Schizophrenia,chr5,400732.0,400733.0,AHRR,Body,,7.111745052216141e-07,0.0089211981244315,-0.1880753975778817,3.267692681813101e-05,0.1801915344192662,-0.1683092070898262,EWAS-specific
cg14817490,Schizophrenia,chr5,392920.0,392921.0,AHRR,Body,,7.133022002114049e-07,0.0089211981244315,-0.2005215463360505,0.0006083192151167,0.3884756781786602,-0.1492073719832389,EWAS-specific
cg14498460,Schizophrenia,chr14,104129107.0,104129108.0,KLC1;KLC1;KLC1,Body;Body;Body,,7.17031702057633e-07,0.0089211981244315,0.1693434912239081,0.176731632106766,0.713673074759074,-0.0243721586093861,EWAS-specific
cg04381043,Schizophrenia,chr16,89341467.0,89341468.0,ANKRD11,Body,N_Shelf,7.694925637047849e-07,0.00933456039179,0.1755291863283311,0.0002857873479044,0.3374253382905054,0.1371980657141263,EWAS-specific
cg01223221,Schizophrenia,chr17,18144934.0,18144935.0,LLGL1,Body,,8.185670895005574e-07,0.0096876816090862,0.1682736031308315,0.0541165198952336,0.8045784290385746,-0.1367083513524312,EWAS-specific
cg08322747,Schizophrenia,chr16,2347298.0,2347299.0,ABCA3,Body,Island,9.869414176419087e-07,0.0111371059991911,0.1779500469351016,0.0929113046059628,0.598311205083752,-0.102115116438458,EWAS-specific
cg07020453,Schizophrenia,chr2,3313364.0,3313365.0,TSSC1,Body,,1.055838995406429e-06,0.0116437924413421,0.1844901207086534,0.13607793106676,0.666357471754692,-0.0932881882259189,EWAS-specific
cg14885762,Schizophrenia,chr17,75446450.0,75446451.0,SEPT9;SEPT9;SEPT9;SEPT9;SEPT9;SEPT9,TSS200;Body;Body;Body;Body;Body,N_Shore,1.1093518308962205e-06,0.0117351498048546,-0.0807115241947478,0.046617343048965,0.477421117246402,0.0237331490817605,EWAS-specific
cg07361759,Schizophrenia,chr1,32688314.0,32688315.0,C1orf91;EIF3I,TSS1500;Body,S_Shore,1.1182369092220976e-06,0.0117351498048546,0.1736511006373176,0.1189073986840688,0.874070224578655,-0.1144371550726623,EWAS-specific
cg24741609,Schizophrenia,chr1,54122060.0,54122061.0,GLIS1,5'UTR,,1.2570139549128777e-06,0.0125852987093549,-0.1823007310345978,3.3697562072767906e-05,0.1801915344192662,-0.168405450300165,EWAS-specific
