CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg00530564,Preeclampsia,chr12,125036429.0,125036430.0,,,N_Shelf,0.0001690514053432,0.167469754435189,-0.251478784244161,4.72768624676298e-06,0.0347200272071582,-0.147840510689741,haEWAS-specific
cg00775115,Preeclampsia,chrX,47343198.0,47343199.0,ZNF41;ZNF41,TSS1500;TSS1500,S_Shore,1.10777859085999e-05,0.0783687653425682,0.295302689452678,6.38863486618288e-06,0.0499692015097722,0.301504958239138,haEWAS-specific
cg00870242,Preeclampsia,chr8,10530148.0,10530149.0,C8orf74;C8orf74,1stExon;5'UTR,,1.24925636982487e-06,0.0414966108568208,0.225332327039911,1.01582168430252e-06,0.0226503694156775,0.212886375381212,Common
cg00949446,Preeclampsia,chr3,194072066.0,194072067.0,CPN2,TSS200,,0.0018797321250253,0.32330840072074,-0.0927143358522908,8.43517824332597e-06,0.0485257528119016,0.100858184283125,haEWAS-specific
cg01034396,Preeclampsia,chr13,37494802.0,37494803.0,SMAD9;SMAD9,TSS1500;TSS1500,S_Shore,4.54855930418924e-05,0.106435402635464,-0.16201292622375,4.49623298275472e-06,0.0337380706512717,0.0909204473647971,haEWAS-specific
cg01305539,Preeclampsia,chr9,124328327.0,124328328.0,DAB2IP,TSS1500,,2.82085862641973e-05,0.097459136386024,-0.159604504214499,4.09533264702176e-06,0.0337380706512717,0.13876000711613,haEWAS-specific
cg01413054,Preeclampsia,chr2,231658979.0,231658980.0,CAB39;CAB39;CAB39,Body;Body;Body,,4.88447381561303e-06,0.0644016577770964,0.337732109572495,4.40955427044751e-06,0.0399428415145171,0.368278650296958,haEWAS-specific
cg01517968,Preeclampsia,chr12,52348879.0,52348880.0,ACVR1B;ACVR1B;ACVR1B,Body;Body;Body,S_Shelf,1.06028481856645e-05,0.0779971216411872,0.283645324467494,7.53444146409463e-07,0.0226503694156775,0.491884586706186,haEWAS-specific
cg01728482,Preeclampsia,chr2,85389840.0,85389841.0,TCF7L1,Body,,1.12852324198545e-05,0.0783687653425682,-0.441394434469807,2.3965763676759e-06,0.0361147446729596,-0.51870996158885,haEWAS-specific
cg01735357,Preeclampsia,chr20,61732467.0,61732468.0,HAR1B;HAR1A,Body;TSS200,N_Shore,6.33290678453476e-05,0.118714372153399,0.233527921688004,7.55717227672642e-06,0.0449739048834626,-0.0307531370124206,haEWAS-specific
cg01751245,Preeclampsia,chr2,65593761.0,65593762.0,SPRED2;SPRED2;SPRED2,5'UTR;1stExon;Body,,6.49969770279153e-06,0.0644016577770964,0.378412631829674,4.18277837143769e-06,0.0390740140357863,0.471020529576311,haEWAS-specific
cg01855070,Preeclampsia,chr3,42201314.0,42201315.0,TRAK1;TRAK1,TSS1500;Body,,5.542646727196e-05,0.113545210878244,-0.22524587118878,2.63820444948946e-06,0.0252950309782481,-0.0466978250722424,haEWAS-specific
cg02171545,Preeclampsia,chr15,25093366.0,25093367.0,SNRPN;SNRPN;SNRPN,5'UTR;5'UTR;5'UTR,Island,1.45852253659171e-05,0.0833388575399042,-0.363899222213752,1.30157093742389e-06,0.0257287022701549,-0.242208013522542,haEWAS-specific
cg02796939,Preeclampsia,chr17,80545125.0,80545126.0,FOXK2,Body,N_Shore,0.0002057700270452,0.179202390047069,0.219092733270271,8.6495050952157e-06,0.0488732604468197,-0.190026286375165,haEWAS-specific
cg03108347,Preeclampsia,chr11,70961784.0,70961785.0,,,N_Shore,0.0330530214804082,0.623270863971885,-0.0834497457168391,3.41313311537127e-07,0.008321558890359,0.0551494337633519,haEWAS-specific
cg03463778,Preeclampsia,chr10,48185200.0,48185201.0,LOC642826,TSS1500,N_Shore,5.70993461577027e-07,0.0231020147930988,0.2781788761531,1.0,1.0,0.0,EWAS-specific
cg03567151,Preeclampsia,chr19,43891281.0,43891282.0,TEX101,TSS1500,,0.0003930722527353,0.220306843433256,0.176646817999635,8.77877128376358e-06,0.0488732604468197,-0.084058416727008,haEWAS-specific
cg04202511,Preeclampsia,chr16,68117991.0,68117992.0,NFATC3;NFATC3;NFATC3;NFATC3,TSS1500;TSS1500;TSS1500;TSS1500,N_Shore,0.0054060724456029,0.421930144210555,-0.184543022403449,5.35958067239101e-08,0.0033569263625711,-0.136122602372871,haEWAS-specific
cg04748098,Preeclampsia,chr19,53018151.0,53018152.0,ZNF578,3'UTR,,9.32831203711159e-07,0.0348385187212471,-0.566832391581519,2.25769020115383e-07,0.0137088454140862,-0.24894180685275,Common
cg05103064,Preeclampsia,chr10,7311500.0,7311501.0,SFMBT2,Body,,0.0007363957054033,0.259781014757874,0.219845937377638,2.22052555719638e-06,0.0225427101470825,-0.139902794500673,haEWAS-specific
cg05182217,Preeclampsia,chr7,138803256.0,138803257.0,,,,9.91401339525579e-05,0.145397956490934,0.484804311490485,9.27285808405663e-08,0.0045724065804279,-0.395240096575525,haEWAS-specific
cg05438220,Preeclampsia,chr7,90272360.0,90272361.0,,,,2.59579532094491e-07,0.0157536222232826,-0.530886162292298,1.14789444289469e-07,0.0049526910146329,0.57847490110872,Common
cg05675570,Preeclampsia,chr7,2040555.0,2040556.0,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body,,4.83950122932151e-08,0.0078321197361678,-0.778840278615192,6.6281091201551e-06,0.0439380539462488,0.421224624513016,Common
cg05866980,Preeclampsia,chr15,91575738.0,91575739.0,,,,1.26742523322615e-07,0.0087907165690584,-0.289035944776225,5.83530817703513e-08,0.0033569263625711,0.268537018953803,Common
cg06330587,Preeclampsia,chr7,149488213.0,149488214.0,SSPO,Body,S_Shore,0.000172960622075,0.167948915089847,-0.115248308556705,2.09217767376322e-06,0.022362729841347,0.114966381635318,haEWAS-specific
cg07229212,Preeclampsia,chr8,11056726.0,11056727.0,XKR6,Body,N_Shore,0.847742792693807,0.986343605845007,0.0102157062748386,6.17463255334268e-07,0.0116628692158354,-0.0832451454048209,haEWAS-specific
cg07349464,Preeclampsia,chr11,34945827.0,34945828.0,PDHX;PDHX;PDHX,Body;Body;Body,,9.62570237204802e-08,0.0087907165690584,-0.412275559550772,3.93863907553813e-07,0.0182144054611919,-0.286865872651502,Common
cg07664000,Preeclampsia,chr17,28659293.0,28659294.0,TMIGD1,5'UTR,,0.007946938364204,0.460910288063802,0.136924652317854,6.16230104152665e-06,0.0434086319102169,-0.19262129206416,haEWAS-specific
cg08182270,Preeclampsia,chr15,65677663.0,65677664.0,IGDCC4,Body,,4.67780556867278e-05,0.107267626530023,-0.183877067931224,9.33871895860169e-07,0.014651898212653,0.103368458284059,haEWAS-specific
cg08599229,Preeclampsia,chr7,45809732.0,45809733.0,SEPT13,TSS1500,S_Shore,5.05444574202738e-07,0.0231020147930988,-0.175370864131959,0.0002054553706321,0.152596824670055,0.0975519354505155,EWAS-specific
cg08794763,Preeclampsia,chr19,2977843.0,2977844.0,TLE6;TLE6,5'UTR;5'UTR,S_Shore,2.11591428578278e-05,0.0914628206038513,-0.220305977330581,3.61631857493288e-07,0.008321558890359,0.147961683983777,haEWAS-specific
cg09265876,Preeclampsia,chr12,25537944.0,25537945.0,,,N_Shore,4.17127565571489e-07,0.022502270957305,-0.275888909371406,1.34178737369194e-06,0.0257287022701549,-0.327459506782173,Common
cg09401801,Preeclampsia,chr17,80455818.0,80455819.0,,,S_Shore,1.33346053962402e-06,0.0414966108568208,-0.254310058295616,1.64149085113024e-06,0.0284697495984186,-0.202357842170132,Common
cg09548403,Preeclampsia,chr1,232840764.0,232840765.0,,,,3.10878289268943e-06,0.0561347478986172,0.288841496756811,6.63644527510932e-07,0.0219801480764448,0.273783187346305,haEWAS-specific
cg10093308,Preeclampsia,chr7,32802694.0,32802695.0,,,S_Shore,0.0498634641230364,0.671178206963343,-0.0886277238407129,7.18836292660996e-06,0.0440438821391143,-0.032338276765595,haEWAS-specific
cg10207553,Preeclampsia,chr15,65277977.0,65277978.0,SPG21;SPG21;SPG21,5'UTR;5'UTR;5'UTR,N_Shelf,0.0001325681930687,0.158922095193063,-0.159413581715218,4.33941465841801e-06,0.0337380706512717,-0.104800187260523,haEWAS-specific
cg10643982,Preeclampsia,chr5,166051739.0,166051740.0,,,,0.0006151126736626,0.246203284761159,-0.177565725800354,9.00810262828072e-06,0.04935396444279,-0.060624180596413,haEWAS-specific
cg10692363,Preeclampsia,chr10,80327890.0,80327891.0,,,,0.0004917812177028,0.230024742359691,0.180332923119992,6.87393323549886e-06,0.0439380539462488,-0.0822449177512139,haEWAS-specific
cg10776061,Preeclampsia,chr19,12768390.0,12768391.0,MAN2B1,Body,S_Shore,5.57056267899794e-06,0.0644016577770964,1.65343593664451,1.78772415362316e-07,0.0137088454140862,0.766340042000572,haEWAS-specific
cg10933959,Preeclampsia,chr15,100890907.0,100890908.0,FLJ42289;FLJ42289,TSS1500;Body,S_Shore,0.000282462920225,0.200561694768864,0.167079507008159,5.10286487053835e-07,0.0103608268162889,-0.10157405061283,haEWAS-specific
cg11461670,Preeclampsia,chr8,22454935.0,22454936.0,PDLIM2,3'UTR,N_Shore,3.31494884860082e-05,0.0993486077396223,-0.274471033471854,3.03613332728853e-06,0.0270109803027166,-0.22309308842898,haEWAS-specific
cg11654904,Preeclampsia,chr1,40945066.0,40945067.0,ZNF642,Body,S_Shore,3.22250244120453e-05,0.0987987282044416,-0.11291008505381,2.95518169825418e-06,0.0270109803027166,0.105485823074878,haEWAS-specific
cg11688410,Preeclampsia,chr10,33260748.0,33260749.0,,,,0.0181087974023662,0.553290769889453,-0.13690376104682,7.18977103025959e-06,0.0440438821391143,-0.110712689245657,haEWAS-specific
cg11884933,Preeclampsia,chr7,2774414.0,2774415.0,GNA12,Body,N_Shore,3.6770435768734796e-09,0.001785248781095,-0.246664944050712,9.94407887404668e-09,0.0027384997903854,-0.261541572012993,Common
cg12041266,Preeclampsia,chr11,75050147.0,75050148.0,ARRB1;ARRB1,Body;Body,,5.72712657092754e-06,0.0644016577770964,-0.209174563341583,2.64106143403744e-06,0.0361147446729596,-0.218196709558894,haEWAS-specific
cg12070646,Preeclampsia,chr2,71149811.0,71149812.0,VAX2,Body,,0.0008021722579401,0.266182125253907,-0.108515101585048,6.36177686371814e-06,0.04391750869438,0.1156321513901,haEWAS-specific
cg12972064,Preeclampsia,chr3,171887393.0,171887394.0,FNDC3B;FNDC3B,Body;Body,,4.06230693901166e-06,0.0616343364554196,0.255820567293775,1.02650112376726e-06,0.0226503694156775,0.295775138590045,haEWAS-specific
cg13290180,Preeclampsia,chr7,2082529.0,2082530.0,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body,,1.36751671165519e-06,0.0414966108568208,-0.752622992448482,0.0085222748002402,0.414339623327591,0.357289288883408,EWAS-specific
cg13461821,Preeclampsia,chr8,97280827.0,97280828.0,PTDSS1,Body,,1.14195587656735e-07,0.0087907165690584,-0.22935290380545,1.50333208374162e-08,0.0027384997903854,-0.24767959787183,Common
cg13478757,Preeclampsia,chr9,140515874.0,140515875.0,EHMT1;EHMT1,Body;Body,S_Shelf,4.08203405743812e-05,0.104064581634054,-0.433663418296139,2.04801915061568e-06,0.032440979522996,-0.31997991581153,haEWAS-specific
cg13650740,Preeclampsia,chr10,80516517.0,80516518.0,,,,0.0005106786847033,0.233757762035519,0.160652555488889,1.37559302476978e-06,0.0183943495760137,-0.0941425939473291,haEWAS-specific
cg14057303,Preeclampsia,chr9,109683834.0,109683835.0,MIR548Q;ZNF462,Body;5'UTR,,6.47279019378922e-05,0.119499716699025,-0.167223031907065,5.31895077682931e-06,0.038248464224705,-0.0655613500594269,haEWAS-specific
cg14170787,Preeclampsia,chr9,112889386.0,112889387.0,AKAP2;PALM2-AKAP2;PALM2-AKAP2;AKAP2,Body;Body;Body;5'UTR,,2.61437999763476e-05,0.097459136386024,-0.170569288883644,5.06996687868732e-06,0.0429560607700204,-0.167685156413698,haEWAS-specific
cg14202325,Preeclampsia,chr3,13115107.0,13115108.0,IQSEC1,TSS1500,Island,0.0001280450284421,0.15716869230517,0.156115869857893,1.25811522065566e-06,0.0180941606820022,0.0928925167288487,haEWAS-specific
cg14236758,Preeclampsia,chr9,137252129.0,137252130.0,RXRA,Body,Island,3.29728435096892e-05,0.0993486077396223,0.174291399683937,4.12969685202433e-08,0.0033569263625711,-0.139758475776609,haEWAS-specific
cg14316944,Preeclampsia,chr17,79485529.0,79485530.0,,,N_Shore,1.83956001136119e-05,0.0914628206038513,-0.267684924267824,1.05690616063316e-06,0.0226503694156775,-0.388456093645798,haEWAS-specific
cg14433983,Preeclampsia,chr11,636460.0,636461.0,DRD4,TSS1500,Island,7.70591161050366e-05,0.130965824998052,-0.277298270105534,1.94784064935664e-06,0.022362729841347,0.31681572068758,haEWAS-specific
cg14576824,Preeclampsia,chr1,213224402.0,213224403.0,RPS6KC1;RPS6KC1,TSS200;TSS200,N_Shore,1.84365121455945e-05,0.0914628206038513,0.19689604967651,3.62667321346661e-06,0.0389160342144722,0.188850871304099,haEWAS-specific
cg15384589,Preeclampsia,chr5,54873393.0,54873394.0,,,,2.85414679530563e-05,0.097459136386024,-0.172007169615748,4.93162302608064e-06,0.0427787768417572,-0.19884803974169,haEWAS-specific
cg15659420,Preeclampsia,chr11,20034979.0,20034980.0,NAV2;NAV2;NAV2,Body;Body;Body,,4.46181203610087e-05,0.106435402635464,-0.217147341615476,6.26043259479116e-06,0.0499692015097722,-0.241410526288896,haEWAS-specific
cg15978565,Preeclampsia,chr2,11894464.0,11894465.0,LPIN1,5'UTR,,3.38397925857757e-06,0.0561347478986172,0.287443641332157,2.55266399073284e-07,0.008009957924448,0.186394513544512,haEWAS-specific
cg16206344,Preeclampsia,chr6,166270367.0,166270368.0,,,S_Shore,8.9654497173854e-06,0.0750488521239176,0.206947326999415,6.5856692049892e-07,0.0116628692158354,-0.100114210576279,haEWAS-specific
cg16233797,Preeclampsia,chr2,20001490.0,20001491.0,,,,8.8751668867792e-06,0.0750488521239176,0.351859070963239,3.31380471531109e-06,0.0377280809094062,0.493639979441671,haEWAS-specific
cg16303353,Preeclampsia,chr12,2393684.0,2393685.0,CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C;CACNA1C,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,,0.0198040374442383,0.560647103651721,0.0728381633625798,2.02313204387297e-06,0.022362729841347,-0.0989116689545532,haEWAS-specific
