CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg23479922,HIV,chr5,16179633.0,16179634.0,MARCH11,1stExon,Island,4.920979046416117e-11,2.3886629130465688e-05,0.2027333048073457,1.6756338218984003e-08,0.0022410261860833,0.1681367515732421,Common
cg08641278,HIV,chr10,73848764.0,73848765.0,SPOCK2;SPOCK2;SPOCK2;SPOCK2,1stExon;5'UTR;1stExon;5'UTR,S_Shore,8.109720447942293e-09,0.0013603725501084,0.1544042760657067,2.97870017050983e-07,0.0050869852985857,0.129669000965251,Common
cg26690592,HIV,chr11,19261879.0,19261880.0,E2F8,5'UTR,N_Shore,8.407672063529027e-09,0.0013603725501084,-0.2133155929998705,4.94896057195296e-11,6.47969057339324e-06,-0.224427344712073,Common
cg24142603,HIV,chr8,72753888.0,72753889.0,MSC,3'UTR,Island,2.7869153644959882e-08,0.0033819496639695,-0.1675371898420221,0.0031890989301653,0.354356253996771,0.113941832469768,EWAS-specific
cg06710694,HIV,chr22,29729314.0,29729315.0,AP1B1;AP1B1;SNORD125;AP1B1,Body;Body;TSS200;Body,,3.677916469146192e-08,0.0035705507315788,0.1353366491601851,0.0001851668331496,0.141880763403272,-0.0912960468973856,EWAS-specific
cg00349895,HIV,chr4,154073501.0,154073502.0,TRIM2,TSS1500,N_Shore,4.4464742978335546e-08,0.0035972273501093,-0.1786146062459656,0.0002795439406741,0.2199221512566795,-0.1185679828812698,EWAS-specific
cg02388054,HIV,chr16,85524230.0,85524231.0,,,,1.5755826454271888e-07,0.007398974577356,0.2896119491579335,1.4011140177467e-06,0.0137586244036186,-0.254249618021014,Common
cg23795217,HIV,chr12,54812000.0,54812001.0,ITGA5,Body,Island,1.597337809883485e-07,0.007398974577356,0.2511096557372604,0.0026351441748474,0.3985255773453958,0.1352527939134617,EWAS-specific
cg07437360,HIV,chr11,130413263.0,130413264.0,,,N_Shelf,1.639282600415839e-07,0.007398974577356,0.1428436035528341,0.3012416439871314,0.917063147206316,-0.0510433093361125,EWAS-specific
cg16205389,HIV,chr2,239079215.0,239079216.0,ILKAP,Body,,1.6552430541580486e-07,0.007398974577356,0.2268034643606636,1.936298848864908e-05,0.1070803085392356,0.1466129563146009,EWAS-specific
cg11556592,HIV,chr17,79283300.0,79283301.0,C17orf55,TSS1500,N_Shore,1.6767212538610448e-07,0.007398974577356,-0.2541251996006886,0.0018956331550268,0.304855067004046,-0.0932659919911,EWAS-specific
cg20141359,HIV,chr6,29325117.0,29325118.0,OR5V1,TSS1500,,1.8610279432508765e-07,0.0075279200647145,0.2634016997998979,1.0,1.0,0.0,EWAS-specific
cg26790059,HIV,chr5,156772562.0,156772563.0,CYFIP2;C5orf40;CYFIP2;CYFIP2;C5orf40,Body;1stExon;Body;Body;5'UTR,,3.93037534253509e-07,0.0135376437345841,-0.1165689514161477,0.0309460715697825,0.6662812072120156,-0.1104191539764735,EWAS-specific
cg08053523,HIV,chr2,220026863.0,220026864.0,NHEJ1;SLC23A3;SLC23A3;SLC23A3,TSS1500;Body;Body;Body,S_Shore,4.183415382212804e-07,0.0135376437345841,0.2027133670985737,3.009132477401292e-06,0.0482936874951124,0.1613150080178838,Common
cg20384132,HIV,chr5,36302349.0,36302350.0,RANBP3L;RANBP3L,TSS1500;TSS1500,,4.557311441305365e-07,0.0138258575178461,-0.2649519748649094,5.228172968438212e-05,0.1284114131100026,-0.2161759167730623,EWAS-specific
cg16508522,HIV,chr3,141319423.0,141319424.0,RASA2,Body,,4.942727016255419e-07,0.0141130556741085,0.1303807190306178,0.208275101559898,0.83918547562158,0.131847680366502,EWAS-specific
cg16339238,HIV,chr20,23029298.0,23029299.0,THBD,1stExon,Island,6.371745993607346e-07,0.0171826166237832,0.1828881578540907,0.0007566780199938,0.22827674051566,0.123668825725314,EWAS-specific
cg12459932,HIV,chr1,25292018.0,25292019.0,RUNX3,TSS1500,,7.021858532071163e-07,0.017939148520534,-0.12360764386768,8.75093278033787e-07,0.009289966588437,0.117026884158545,Common
cg15618071,HIV,chr3,126426394.0,126426395.0,CHCHD6,Body,S_Shelf,8.91698004464978e-07,0.0209891943231863,0.1770351218560588,0.0253984759905264,0.6420039644537883,0.0840035786462393,EWAS-specific
cg17368760,HIV,chr20,23029287.0,23029288.0,THBD,1stExon,Island,9.080540761652408e-07,0.0209891943231863,0.186055171393382,0.0005981335868931,0.2749057793501832,0.1368115503874637,EWAS-specific
cg08289323,HIV,chr8,62588462.0,62588463.0,ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH;ASPH,Body;Body;Body;Body;Body;Body;Body;Body;3'UTR;Body;Body;Body,,1.0635799474083275e-06,0.0217243290439695,-0.1970662631496474,2.01409430213025e-05,0.0534240471209926,0.125756548705743,EWAS-specific
cg08344493,HIV,chr11,133735550.0,133735551.0,,,S_Shore,1.068862930139082e-06,0.0217243290439695,0.1239062150114031,0.0395630164233599,0.641088976235477,0.0848056264857533,EWAS-specific
cg09983546,HIV,chr15,62884068.0,62884069.0,,,,1.250592720674134e-06,0.0217243290439695,0.1710934968139114,0.0295183280618611,0.601677157567709,-0.123519417180574,EWAS-specific
cg06008803,HIV,chr6,20920015.0,20920016.0,CDKAL1,Body,,1.251314850238311e-06,0.0217243290439695,-0.1180693741078173,1.5113993376331008e-05,0.1044199927232241,-0.1074974850203549,EWAS-specific
cg07143083,HIV,chr7,70597921.0,70597922.0,WBSCR17,1stExon,Island,1.266160133627892e-06,0.0217243290439695,0.1412673193073364,6.89553005423263e-05,0.1390284392733438,0.1175903838722546,EWAS-specific
cg00219921,HIV,chr2,87012810.0,87012811.0,CD8A;CD8A;CD8A;CD8A,3'UTR;3'UTR;3'UTR;Body,N_Shelf,1.2699820518776402e-06,0.0217243290439695,-0.1324015384154012,2.07049434489752e-07,0.0038727216391744,0.139937601235053,Common
cg09654116,HIV,chr7,158816213.0,158816214.0,LOC154822,Body,Island,1.3290167126134928e-06,0.0217243290439695,-0.1933876018733823,0.0002137603768619,0.2037687743294283,-0.1253069460293988,EWAS-specific
