CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg07573872,Gestational_Age(Weeks),chr19,1126342.0,1126343.0,SBNO2;SBNO2,Body;Body,S_Shelf,7.601673360693112e-19,6.78787621906411e-13,-0.1615310964233134,1.0,1.0,0.0,EWAS-specific
cg27648858,Gestational_Age(Weeks),chr19,18266834.0,18266835.0,PIK3R2,Body,Island,6.184384434566783e-16,2.7611575794621177e-10,-0.1539678416705833,2.08967015274105e-08,0.0001051263014411,0.198009668680758,Common
cg21155834,Gestational_Age(Weeks),chr2,149282209.0,149282210.0,,,,1.706029011931489e-15,5.077966920197211e-10,-0.2301048705036796,5.774341374288914e-15,5.907396635405967e-10,-0.229291736836978,Common
cg01883759,Gestational_Age(Weeks),chr7,28220576.0,28220577.0,JAZF1,TSS200,S_Shore,7.461459625423826e-14,1.6656682663060196e-08,-0.1909657661593932,4.261760615115705e-12,1.1992463302470234e-07,-0.1776955142009247,Common
cg16767506,Gestational_Age(Weeks),chr7,142494244.0,142494245.0,,,N_Shore,1.3118293315868314e-13,2.342782884987605e-08,-0.1633475041167486,2.545391085370513e-14,2.3147051195157006e-09,-0.163586909107042,Common
cg15668490,Gestational_Age(Weeks),chr19,16254489.0,16254490.0,HSH2D,5'UTR,,1.167174541328867e-12,1.539117987029177e-07,-0.1432163569268273,1.88054244488164e-12,7.81705972980006e-08,-0.144382983379956,Common
cg01094145,Gestational_Age(Weeks),chr6,3506594.0,3506595.0,,,,1.2065497773327848e-12,1.539117987029177e-07,0.1422596299661446,9.88093752430732e-11,1.6847698378685284e-06,0.1130021599086959,Common
cg02979520,Gestational_Age(Weeks),chr3,48471575.0,48471576.0,PLXNB1;PLXNB1,TSS1500;TSS200,S_Shore,1.4838938108411862e-12,1.656294448651979e-07,-0.1555732282490642,3.8788759452362906e-06,0.0034885757751247,-0.1677513471951629,Common
cg17230773,Gestational_Age(Weeks),chr7,142494148.0,142494149.0,,,N_Shore,1.7216931264464714e-12,1.7081969653274937e-07,-0.1506689981340359,1.0,1.0,0.0,EWAS-specific
cg25206113,Gestational_Age(Weeks),chr1,151788262.0,151788263.0,RORC;RORC,Body;Body,,3.5055558939813938e-12,3.130268607751216e-07,-0.1965475948159199,1.668823847807277e-12,6.50391512883953e-08,-0.2067905160855254,Common
cg25563198,Gestational_Age(Weeks),chr6,35696726.0,35696727.0,FKBP5;LOC285847,TSS1500;Body,S_Shore,4.246364285169141e-12,3.447063415109417e-07,-0.1698565942695123,8.234094784671396e-11,1.4650137241299454e-06,-0.1566395847085305,Common
cg17898925,Gestational_Age(Weeks),chr4,83196047.0,83196048.0,,,,4.819820852645112e-12,3.586529109387658e-07,-0.1305226197855801,4.615287607390412e-13,2.6980773554764036e-08,-0.1355811304879728,Common
cg13125822,Gestational_Age(Weeks),chr10,121061302.0,121061303.0,GRK5,Body,,5.537619190786978e-12,3.731498112735472e-07,-0.1349144019041087,8.511645824843628e-14,6.332927580918244e-09,-0.1543644477004888,Common
cg21461811,Gestational_Age(Weeks),chr10,30821806.0,30821807.0,,,,6.069496457159986e-12,3.731498112735472e-07,-0.113456848328622,4.272699135801989e-05,0.0160324443466128,-0.0919022591223067,Common
cg26189283,Gestational_Age(Weeks),chr1,155109378.0,155109379.0,RAG1AP1;RAG1AP1;RAG1AP1,Body;Body;Body,S_Shore,6.268300028672772e-12,3.731498112735472e-07,-0.1113581546274056,8.06263562177279e-05,0.0239741173676533,-0.1168127044781748,Common
cg05344884,Gestational_Age(Weeks),chr7,92666414.0,92666415.0,,,,1.565156303613469e-11,8.734990597063307e-07,0.1675305172769846,3.6556529414806956e-10,4.53319796895123e-06,0.157262526300883,Common
cg11591310,Gestational_Age(Weeks),chr12,12874295.0,12874296.0,CDKN1B,3'UTR,N_Shelf,2.253492701594792e-11,1.1836735531915068e-06,-0.1343255029723849,2.646100693508006e-12,9.023578229127216e-08,-0.1412318398014877,Common
cg04213565,Gestational_Age(Weeks),chr5,35900039.0,35900040.0,,,,4.225647940085238e-11,2.0962617776996737e-06,-0.1555356078022852,1.2018380658971635e-10,1.8215280289342205e-06,-0.1526014577616231,Common
cg02449461,Gestational_Age(Weeks),chr11,75061838.0,75061839.0,ARRB1;ARRB1,Body;Body,N_Shore,4.519874990495313e-11,2.1242104070462303e-06,-0.1003789676647829,2.35920876686684e-11,5.34915557211428e-07,-0.111345733346485,Common
cg22102703,Gestational_Age(Weeks),chr21,43346284.0,43346285.0,C2CD2;C2CD2,Body;5'UTR,,5.5128222907634586e-11,2.4613235502128887e-06,-0.1104848493200237,9.766206342186564e-11,1.6847698378685284e-06,-0.1110014049870032,Common
cg15326645,Gestational_Age(Weeks),chr2,220264835.0,220264836.0,,,,6.112049253966007e-11,2.4877089145458635e-06,0.1147773262709089,4.2902213424666866e-10,5.2406910659707164e-06,0.1092662418158618,Common
cg16036316,Gestational_Age(Weeks),chr11,118213527.0,118213528.0,CD3D;CD3D,TSS200;TSS200,,6.12911166085358e-11,2.4877089145458635e-06,0.0915517097234408,1.7629681957108948e-10,2.487712262566294e-06,0.0880396070192161,Common
