CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg07977614,Allergy,chr1,242310145.0,242310146.0,PLD5,Body,,1.0835844142676559e-10,4.356724511069394e-05,-0.2858433754353043,5.655138836723301e-07,0.0145340152724972,-0.213674376278791,Common
cg00012317,Allergy,chr1,149370974.0,149370975.0,FCGR1C,Body,,1.2441225114942371e-09,0.0002501096808532,-0.2601773477625362,0.0055145505656945,0.4272595901038712,-0.0870256437727252,EWAS-specific
cg20962500,Allergy,chr1,149174971.0,149174972.0,,,,2.6698597376497406e-09,0.0003565958078246,-0.2755022174400077,0.0001181446744895,0.1314307589665656,-0.1831798951442111,EWAS-specific
cg09028383,Allergy,chr1,150980411.0,150980412.0,FAM63A;PRUNE;FAM63A;FAM63A;FAM63A;FAM63A,5'UTR;TSS1500;5'UTR;TSS1500;TSS1500;TSS1500,N_Shore,3.547634545817539e-09,0.0003565958078246,0.1181574195990209,0.0005385896366632,0.2156692943661783,0.065449076598199,EWAS-specific
cg25036710,Allergy,chr1,149228170.0,149228171.0,,,N_Shelf,4.866205065857026e-09,0.0003815960533903,-0.2743181679978114,0.0011694572708591,0.37003122418961,0.16512713077398,EWAS-specific
cg09346775,Allergy,chr4,1028067.0,1028068.0,,,N_Shore,5.694528560838837e-09,0.0003815960533903,-0.2272640508761476,3.58258793709772e-06,0.0646002703249628,0.191636677281986,EWAS-specific
cg21030607,Allergy,chr4,174462423.0,174462424.0,NBLA00301,Body,S_Shelf,3.742144496508728e-08,0.001959355288568,-0.2561688251711698,1.2814955826834425e-07,0.0051755212885443,-0.2496108354670246,Common
cg19827650,Allergy,chr3,42744301.0,42744302.0,HHATL;HHATL;HHATL,5'UTR;1stExon;TSS1500,,3.898574440152798e-08,0.001959355288568,-0.193956621713293,0.0003666965425183,0.1905649131418849,-0.1213152583775096,EWAS-specific
cg00964333,Allergy,chr10,15038045.0,15038046.0,,,,5.1752877576374723e-08,0.0023113990320841,-0.2744592764522364,1.960071994039244e-05,0.0740056473982394,-0.2213212857070801,EWAS-specific
cg23034922,Allergy,chr1,149155775.0,149155776.0,,,N_Shore,5.7488050023731714e-08,0.0023113990320841,0.2458227342568287,2.34128427693793e-06,0.0633261206089064,-0.226956314688285,EWAS-specific
cg04858960,Allergy,chr1,54483806.0,54483807.0,LDLRAD1,TSS200,,7.574287176101204e-08,0.0027685121343148,-0.2118923849850069,8.47227330875458e-05,0.1157083332379117,-0.1405115551432277,EWAS-specific
cg08331138,Allergy,chr17,5001281.0,5001282.0,,,S_Shore,1.6887124086323293e-07,0.005173244017258,0.2098903161128147,3.0729818751593986e-08,0.002171876034997,0.2198569438577524,Common
cg08906246,Allergy,chr4,5167599.0,5167600.0,STK32B,Body,,1.8716045175670605e-07,0.005173244017258,0.2465531658355107,0.0020989116363767,0.3318651639113729,0.1514504587287872,EWAS-specific
cg23997132,Allergy,chr10,15038349.0,15038350.0,,,,1.9503922219031426e-07,0.005173244017258,-0.2501839402327329,1.033224261442306e-06,0.0183593478436918,-0.2434250095059359,Common
