CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg13495489,War_Trauma,chr12,31391982.0,31391983.0,,,,6.483654569662803e-13,5.138989997496726e-07,0.3140340898514636,1.0,1.0,0.0,EWAS-specific
cg13113642,War_Trauma,chr17,997200.0,997201.0,ABR;ABR;ABR,Body;Body;Body,,5.385765055835027e-10,0.0001554395741312,0.1981296115022438,1.0,1.0,0.0,EWAS-specific
cg04072767,War_Trauma,chr19,6372374.0,6372375.0,ALKBH7,TSS200,N_Shore,7.141017594522504e-10,0.0001554395741312,0.265458929606605,5.163432839996254e-10,0.0001105162232485,0.2669722859226285,Common
cg11649016,War_Trauma,chr12,56096884.0,56096885.0,ITGA7;ITGA7;ITGA7,Body;Body;Body,,1.0703471388771282e-09,0.0001554395741312,-0.2618145908498568,5.07771119566252e-09,0.0029927928233011,0.25788071508343,Common
cg11231670,War_Trauma,chr16,2947301.0,2947302.0,FLYWCH2;FLYWCH2;FLYWCH2,Body;Body;Body,S_Shelf,1.1095602712901398e-09,0.0001554395741312,-0.2452529645202978,1.1225045564497295e-09,0.0001545131574795,-0.2409971537686684,Common
cg10240906,War_Trauma,chr20,55803687.0,55803688.0,BMP7,Body,,1.176670714222239e-09,0.0001554395741312,-0.2646669896612691,1.2031692242248115e-09,0.0001545131574795,-0.2635469026838404,Common
cg06319861,War_Trauma,chr2,137964351.0,137964352.0,THSD7B,Body,,3.746908990197847e-09,0.0004242608991419,-0.2634495553995114,0.0019894856633626,0.3235044874085904,-0.1393819436961965,EWAS-specific
cg14042509,War_Trauma,chr9,36745026.0,36745027.0,,,,5.6558171310454135e-09,0.0004889057579475,-0.2523697712852784,0.5940216194500503,0.961151413959785,-0.0203930536035353,EWAS-specific
cg16907049,War_Trauma,chr13,42029946.0,42029947.0,,,N_Shore,5.8130106544622405e-09,0.0004889057579475,-0.2139329349773966,1.0,1.0,0.0,EWAS-specific
cg20351137,War_Trauma,chr2,177133606.0,177133607.0,MTX2;MTX2,TSS1500;TSS1500,N_Shore,6.168325007823517e-09,0.0004889057579475,0.2594256604391183,1.5976173873822362e-08,0.0010258445029946,0.2532699614362642,Common
cg03124146,War_Trauma,chr7,63361127.0,63361128.0,,,Island,1.1603900721887041e-08,0.0007213826733042,0.2503856548900331,1.38633231893011e-08,0.0040855074805638,0.251212945505396,Common
cg19397885,War_Trauma,chr7,12444115.0,12444116.0,VWDE,TSS1500,S_Shore,1.1831809147477752e-08,0.0007213826733042,0.2528158550311832,1.5260879645423892e-09,0.0001633191361373,0.2666429279178639,Common
cg16335098,War_Trauma,chr6,169334849.0,169334850.0,,,S_Shelf,1.7507920561787698e-08,0.0009912071709083,0.2238780996441136,1.0,1.0,0.0,EWAS-specific
cg02186769,War_Trauma,chr6,30881645.0,30881646.0,VARS2;VARS2;VARS2;GTF2H4,TSS1500;TSS1500;TSS1500;Body,Island,3.0115131685400784e-08,0.0013829339715646,0.2309029312838757,1.0,1.0,0.0,EWAS-specific
cg01496381,War_Trauma,chr3,30519105.0,30519106.0,,,,3.0219503078955864e-08,0.0013829339715646,-0.2164429878505849,4.368612514031159e-08,0.0018700836085146,-0.2147192181507331,Common
cg25299482,War_Trauma,chr19,45457833.0,45457834.0,CLPTM1;CLPTM1;CLPTM1,TSS1500;TSS1500;TSS200,N_Shore,3.049869345505949e-08,0.0013829339715646,0.1982261250461141,2.852307652400569e-07,0.0055748985864666,0.1912233627315337,Common
