CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg20808206,Intellectual_Disability,chr15,81130947.0,81130948.0,KIAA1199,5'UTR,,1.6048992694112158e-08,0.0034362248663363,0.1787599171724828,2.94960464122716e-08,0.001732371629901,-0.185947594806883,Common
cg16919028,Intellectual_Disability,chr6,30153576.0,30153577.0,TRIM26,3'UTR,,2.2008694870330453e-08,0.0034362248663363,0.2116888359797175,1.0,1.0,0.0,EWAS-specific
cg08254315,Intellectual_Disability,chr8,25593585.0,25593586.0,,,,5.6691340693067944e-08,0.0053107427517133,-0.0848106665666759,2.32578732934576e-06,0.0182316725908076,0.0793367328127413,Common
cg15001636,Intellectual_Disability,chr19,11144178.0,11144179.0,SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4,Body;Body;Body;Body;Body;Body;Body,Island,1.2694600754942837e-07,0.0074325459277605,-0.1160917104888015,1.29610606446555e-07,0.0034595799139637,0.117048359365439,Common
cg13407231,Intellectual_Disability,chr12,128249183.0,128249184.0,,,S_Shelf,2.1781877491726905e-07,0.0084373060157413,-0.0846885418316075,9.55788066773178e-05,0.1280488105733487,-0.0803254177528195,EWAS-specific
cg05525648,Intellectual_Disability,chr10,127705143.0,127705144.0,ADAM12,3'UTR,,2.7533477244025656e-07,0.0084373060157413,-0.0718571339156122,9.50104708796774e-07,0.0133924479500692,0.0762266866816069,Common
cg10002668,Intellectual_Disability,chr7,107665708.0,107665709.0,LAMB4,Body,,2.882141122520749e-07,0.0084373060157413,0.1714261072268504,3.51372284569577e-08,0.0017688783549801,-0.182149021006566,Common
cg17840051,Intellectual_Disability,chr19,12150028.0,12150029.0,,,S_Shelf,3.358593235645599e-07,0.0086297153314881,0.1056036015512798,1.0,1.0,0.0,EWAS-specific
cg24646027,Intellectual_Disability,chr10,76966702.0,76966703.0,,,N_Shelf,6.008939069396815e-07,0.0139757353941416,0.1453403043507647,2.9745985215693448e-08,0.0109497946177489,0.1543035397278545,Common
cg22240424,Intellectual_Disability,chr15,69707465.0,69707466.0,KIF23;KIF23,Body;Body,S_Shore,6.564305861366157e-07,0.0139757353941416,-0.1665960512160262,0.0122672900508243,0.470207187302246,-0.101668281231706,EWAS-specific
cg16584688,Intellectual_Disability,chr10,81206376.0,81206377.0,ZCCHC24,TSS1500,S_Shore,7.482309454998011e-07,0.0148734078893934,-0.1583471958841324,9.5095935510803e-05,0.1280488105733487,-0.1284417090245434,EWAS-specific
cg08632810,Intellectual_Disability,chr8,141609470.0,141609471.0,EIF2C2;EIF2C2,Body;Body,,8.082677970653576e-07,0.0150280327024745,0.089931421023946,0.1171847763864705,0.7618838658118805,0.0358560541393465,EWAS-specific
cg10572450,Intellectual_Disability,chr15,99250854.0,99250855.0,IGF1R,Body,Island,8.463676199574438e-07,0.0150280327024745,0.1905922003972673,2.56012269990996e-06,0.0182316725908076,-0.181907505472571,Common
cg02037503,Intellectual_Disability,chr14,23540729.0,23540730.0,ACIN1;ACIN1;ACIN1;ACIN1;ACIN1;ACIN1,1stExon;1stExon;Body;Body;Body;5'UTR,,8.933020791442082e-07,0.0150280327024745,0.0760609923888716,1.0,1.0,0.0,EWAS-specific
cg22506343,Intellectual_Disability,chr3,127173672.0,127173673.0,,,N_Shore,9.129269143659486e-07,0.0150280327024745,-0.0515693152019798,1.0,1.0,0.0,EWAS-specific
cg02956320,Intellectual_Disability,chr2,169643050.0,169643051.0,NOSTRIN;NOSTRIN,5'UTR;1stExon,,9.304468881164684e-07,0.0150280327024745,-0.0895221045160956,1.0,1.0,0.0,EWAS-specific
cg07321467,Intellectual_Disability,chr4,81960704.0,81960705.0,BMP3,Body,,1.057303363553881e-06,0.0159752057986569,-0.1530603662600091,5.265593376476128e-05,0.1029903007066722,-0.1314103855180617,EWAS-specific
cg14650559,Intellectual_Disability,chr14,77843620.0,77843621.0,C14orf174;TMED8,TSS200;TSS1500,Island,1.117294124224944e-06,0.0163540785043701,0.1660954126432592,1.0,1.0,0.0,EWAS-specific
