CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg00033551,Sporadic_Creutzfeldt-Jakob_Disease,chr16,4738568.0,4738569.0,MGRN1;MGRN1;MGRN1;MGRN1,3'UTR;Body;3'UTR;Body,,1.65146970380988e-07,0.0033597135151895,0.396709129823372,7.12192026561853e-07,0.0138577968432392,-0.364256714578329,Common
cg00053916,Sporadic_Creutzfeldt-Jakob_Disease,chr8,37457329.0,37457330.0,,,,5.01818052639895e-06,0.021160009098433,0.192734708249127,2.34007410604736e-05,0.0728197177129736,-0.165439632346642,EWAS-specific
cg00108056,Sporadic_Creutzfeldt-Jakob_Disease,chrX,153627317.0,153627318.0,RPL10;RPL10;SNORA70,Body;Body;TSS1500,Island,3.37443348646734e-06,0.0178440637741818,-0.249537781686554,0.051908011792569,0.81012490546426,-0.119223999432866,EWAS-specific
cg00176675,Sporadic_Creutzfeldt-Jakob_Disease,chr8,141572142.0,141572143.0,EIF2C2;EIF2C2,Body;Body,,2.16335181408722e-07,0.0041808236888877,-0.335500236225604,1.02344167256265e-07,0.0028499384111358,-0.346727861066075,Common
cg00347584,Sporadic_Creutzfeldt-Jakob_Disease,chr11,47283025.0,47283026.0,NR1H3;NR1H3;NR1H3,Body;Body;Body,,1.36651272012086e-05,0.0339319566080182,0.263872088496823,1.54357288660331e-05,0.0572202469063848,0.164509350929073,EWAS-specific
cg00480356,Sporadic_Creutzfeldt-Jakob_Disease,chr15,44092806.0,44092807.0,SERINC4;C15orf63,TSS1500;1stExon,Island,1.48515829291972e-05,0.0348174771025887,0.248640688095912,1.0,1.0,0.0,EWAS-specific
cg00502254,Sporadic_Creutzfeldt-Jakob_Disease,chr1,12201600.0,12201601.0,TNFRSF8;TNFRSF8,Body;Body,,7.42828562902352e-06,0.0277084767874554,0.20318557259522,4.25400846152441e-06,0.0316680219887038,0.3982386731151,Common
cg00519063,Sporadic_Creutzfeldt-Jakob_Disease,chr1,94373434.0,94373435.0,GCLM,Body,N_Shore,1.95728126290886e-06,0.0143805902752421,-0.194591845362406,4.71989002889365e-06,0.0405591775576011,1.26783992093713,Common
cg00543443,Sporadic_Creutzfeldt-Jakob_Disease,chr20,34638744.0,34638745.0,LOC647979,Body,Island,1.19979253044552e-05,0.032143635054478,0.122580165184013,1.0,1.0,0.0,EWAS-specific
cg00754604,Sporadic_Creutzfeldt-Jakob_Disease,chr2,161230046.0,161230047.0,RBMS1;RBMS1,Body;Body,,4.67476238793178e-07,0.0066672698613785,-0.228653445611636,3.94206911037676e-06,0.0316680219887038,-0.210147874726268,Common
cg00777895,Sporadic_Creutzfeldt-Jakob_Disease,chr1,225965676.0,225965677.0,SRP9;SRP9,1stExon;1stExon,Island,1.66282321231365e-07,0.0033597135151895,0.120759306396209,1.0,1.0,0.0,EWAS-specific
cg00907274,Sporadic_Creutzfeldt-Jakob_Disease,chr3,27498161.0,27498162.0,SLC4A7,1stExon,,5.87221007631265e-06,0.023259570769249,-0.21051592303789,1.94515089234702e-05,0.0715731801952746,0.157958336089537,EWAS-specific
cg01028657,Sporadic_Creutzfeldt-Jakob_Disease,chr15,74315710.0,74315711.0,PML;PML;PML;PML;PML;PML;PML;PML;PML,Body;Body;Body;Body;Body;Body;Body;Body;Body,Island,1.12360514964398e-05,0.0307827818276784,-0.194768588454523,5.89868907882188e-07,0.01002211852363,-0.134164719985034,Common
cg01070250,Sporadic_Creutzfeldt-Jakob_Disease,chr1,569687.0,569688.0,,,,2.7526486933940796e-11,1.33480614645458e-05,0.640892791945558,1.0,1.0,0.0,EWAS-specific
cg01240047,Sporadic_Creutzfeldt-Jakob_Disease,chr14,91224692.0,91224693.0,TTC7B,Body,N_Shore,2.01514539076627e-05,0.0415820535086896,0.16552588894799,1.0,1.0,0.0,EWAS-specific
cg01403532,Sporadic_Creutzfeldt-Jakob_Disease,chr16,2657766.0,2657767.0,LOC652276,Body,N_Shelf,2.44454510554011e-05,0.0457683968703935,0.119712528010505,0.0002032749914336,0.199763364624614,-0.0666336196600491,EWAS-specific
cg01418188,Sporadic_Creutzfeldt-Jakob_Disease,chr11,3145609.0,3145610.0,OSBPL5;OSBPL5;OSBPL5,Body;Body;Body,S_Shelf,1.31189055824573e-05,0.0335134352519127,-0.14992586853936,6.86389910072369e-05,0.122772164550992,-0.114253580634673,EWAS-specific
cg01436664,Sporadic_Creutzfeldt-Jakob_Disease,chr3,128997925.0,128997926.0,C3orf37;C3orf37;C3orf37,1stExon;5'UTR;5'UTR,N_Shore,2.15697571415652e-05,0.0435004692600029,0.188395738117872,1.0,1.0,0.0,EWAS-specific
cg01556246,Sporadic_Creutzfeldt-Jakob_Disease,chr8,8204802.0,8204803.0,PRAGMIN,Body,,2.77854854929926e-05,0.0479489475758203,0.173724045869264,0.0001035965502814,0.146601926948962,0.0394924869722468,EWAS-specific
cg01579884,Sporadic_Creutzfeldt-Jakob_Disease,chr7,37004390.0,37004391.0,ELMO1;ELMO1;ELMO1,5'UTR;Body;5'UTR,,6.50717124680774e-07,0.0083037841039165,-0.173679087834865,6.33528667154294e-08,0.0028499384111358,-0.200369786983535,Common
cg01704198,Sporadic_Creutzfeldt-Jakob_Disease,chr3,33757893.0,33757894.0,CLASP2,Body,N_Shore,5.56739428710194e-08,0.0021895701733597,-0.224936764813404,1.04836246332584e-07,0.0028499384111358,-0.230412043386146,Common
cg01741041,Sporadic_Creutzfeldt-Jakob_Disease,chr7,5567862.0,5567863.0,ACTB,Body,N_Shore,3.35101405994874e-06,0.0178440637741818,0.157012759886925,9.98142481400316e-06,0.0487890018970787,0.171679362421448,Common
cg01799015,Sporadic_Creutzfeldt-Jakob_Disease,chr19,707791.0,707792.0,PALM;PALM,TSS1500;TSS1500,N_Shore,4.14162316214291e-06,0.0196623981137895,-0.213636016988201,1.27841585070442e-05,0.0521299631441741,-0.166070038811506,EWAS-specific
cg01817069,Sporadic_Creutzfeldt-Jakob_Disease,chrX,129086975.0,129086976.0,,,Island,1.33993978447665e-05,0.0335134352519127,-0.257352230473634,0.0526439507157151,0.81142429555857,-0.153341625575045,EWAS-specific
cg01899937,Sporadic_Creutzfeldt-Jakob_Disease,chr4,185723505.0,185723506.0,ACSL1,Body,N_Shore,1.46499991352414e-06,0.0127867543506112,-0.237621703211335,1.09726850830463e-05,0.0520746238321125,0.108797067033302,EWAS-specific
cg02050917,Sporadic_Creutzfeldt-Jakob_Disease,chr1,2173571.0,2173572.0,SKI,Body,,5.5658910279871e-07,0.0074972088322733,0.19683321034734,4.59241691710494e-07,0.0127655741074546,-0.145964294211745,Common
cg02086174,Sporadic_Creutzfeldt-Jakob_Disease,chr14,90358168.0,90358169.0,C14orf143,Body,Island,8.39132415984401e-07,0.0095179411232264,0.156338086186797,1.0,1.0,0.0,EWAS-specific
cg02210115,Sporadic_Creutzfeldt-Jakob_Disease,chr13,49990767.0,49990768.0,CAB39L,5'UTR,,1.77656441603146e-05,0.0389812799515262,-0.183114671474846,4.20403652258659e-05,0.0991538575208044,0.0954808263440545,EWAS-specific
cg02243276,Sporadic_Creutzfeldt-Jakob_Disease,chr8,103872978.0,103872979.0,AZIN1;AZIN1,5'UTR;5'UTR,N_Shelf,8.8966904338283e-05,0.0835331372948584,-0.331606560893581,1.34887988634773e-06,0.0201202354787864,0.201139594930042,haEWAS-specific
cg02329670,Sporadic_Creutzfeldt-Jakob_Disease,chr17,6921400.0,6921401.0,MIR497;MIR195,TSS200;TSS1500,N_Shelf,2.63129153247935e-06,0.0172426756223688,-0.150481910469371,1.19891268389694e-05,0.056212971223211,0.0534664040909145,EWAS-specific
