CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg23299102,COVID19,chr7,36495922.0,36495923.0,,,,3.042549038377073e-26,1.6617429231923292e-20,-0.3263876120031417,1.4476893514528406e-24,6.930436370849096e-19,-0.3350911403342904,Common
cg06146977,COVID19,chr13,43469464.0,43469465.0,EPSTI1;EPSTI1,Body;Body,,1.3216650630206438e-19,3.6092558206992956e-14,0.2996188176730419,6.65745768417844e-20,1.1704598033440035e-14,0.3063281308335466,Common
cg02770216,COVID19,chr7,91687079.0,91687080.0,AKAP9;AKAP9,Body;Body,,6.516258671541437e-19,1.0968381565281277e-13,0.2739687349711404,1.4216879183181314e-19,1.7014903175223232e-14,0.2899453492645222,Common
cg12877361,COVID19,chr12,113356935.0,113356936.0,OAS1;OAS1,Body;Body,,8.032972686265971e-19,1.0968381565281277e-13,0.2723986216119628,1.93145012476966e-21,4.10398385411308e-16,-0.307583758531577,Common
cg04708790,COVID19,chr12,113355675.0,113355676.0,OAS1;OAS1;OAS1,3'UTR;Body;Body,,3.2600637162377416e-17,3.561084959540271e-12,0.3010835931364555,7.79473418105432e-20,1.10416047217252e-14,-0.319978100534847,Common
cg17984982,COVID19,chr13,43543192.0,43543193.0,EPSTI1;EPSTI1,Body;Body,,3.86423417810092e-16,3.517535087641706e-11,0.2696540060440203,2.5875343916144934e-15,2.0645246901520944e-10,0.2683251168816145,Common
cg01195526,COVID19,chr2,231085667.0,231085668.0,SP110;SP110;SP110,TSS1500;TSS1500;TSS1500,,5.924131251083097e-16,4.622244167345076e-11,-0.221164141304678,1.0,1.0,0.0,EWAS-specific
cg26955963,COVID19,chr2,8466005.0,8466006.0,LINC00299,Body,,3.0098629318766128e-15,2.0548635222214824e-10,0.2746982854598918,0.4487725363219736,0.9213348209460768,0.0815532050732232,EWAS-specific
cg20389772,COVID19,chr2,7034132.0,7034133.0,RSAD2,Body,,1.0175577149211246e-14,6.17508291158934e-10,0.2321997875742904,9.577264448898777e-13,3.5268202661804755e-08,0.2184137837496026,Common
cg07124045,COVID19,chr10,103595509.0,103595510.0,KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2,Body;Body;Body;Body;Body;Body;Body,,1.0466186912116218e-13,5.468504642667617e-09,0.2080966041801935,1.057478308420395e-09,1.177302897023826e-05,0.1757912977410577,Common
