CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg01130991,Gestational_Diabetes_Mellitus,chr17,46510392.0,46510393.0,,,S_Shelf,1.5833527592014676e-08,0.0035191918800764,-0.1656326684880296,1.2114324199933252e-08,0.0040598492404752,-0.1668803942920384,Common
cg15700989,Gestational_Diabetes_Mellitus,chr17,79442098.0,79442099.0,,,,1.7792239292466926e-08,0.0035191918800764,-0.1844695800708657,5.385861495123581e-09,0.0004293541460643,0.185453968743587,Common
cg24296397,Gestational_Diabetes_Mellitus,chr3,49692537.0,49692538.0,BSN,Body,S_Shelf,2.9851151089516644e-08,0.0035191918800764,0.1766572460474169,3.5241449302198186e-08,0.0059051982108735,0.1759274273398615,Common
cg21404980,Gestational_Diabetes_Mellitus,chr8,144599027.0,144599028.0,ZC3H3,Body,N_Shelf,3.300137034095752e-08,0.0035191918800764,0.1348420570627188,1.0,1.0,0.0,EWAS-specific
cg18623216,Gestational_Diabetes_Mellitus,chr3,155421970.0,155421971.0,PLCH1;PLCH1,5'UTR;1stExon,,5.6842754034968864e-08,0.0048492667152739,0.1457632117887468,1.1035094047188517e-07,0.0123272299928206,0.1402076491663549,Common
cg26077811,Gestational_Diabetes_Mellitus,chr11,119232263.0,119232264.0,USP2;USP2,Body;Body,N_Shelf,1.0215816649743221e-07,0.0072626113462743,-0.107956560669882,7.205032377045242e-07,0.0402434681742403,-0.0956025418952893,Common
cg15016701,Gestational_Diabetes_Mellitus,chr12,63211683.0,63211684.0,PPM1H,Body,,1.4134128603452734e-07,0.0086127524141876,0.1301255016670236,5.073851719421597e-07,0.0366022556826288,0.1203530199883048,Common
cg09007354,Gestational_Diabetes_Mellitus,chr1,54100163.0,54100164.0,GLIS1,5'UTR,,1.9441976038709945e-07,0.0103662429016097,-0.1476840013243022,0.000142994308429,0.174035534734042,0.110011255525767,EWAS-specific
cg03750061,Gestational_Diabetes_Mellitus,chr10,119131167.0,119131168.0,PDZD8,Body,N_Shelf,3.935986408457877e-07,0.0182299378404499,0.1268589985576811,2.71564008143721e-09,0.0004293541460643,-0.146309604853217,Common
cg23541926,Gestational_Diabetes_Mellitus,chr3,155422092.0,155422093.0,PLCH1,TSS200,,4.273800281900628e-07,0.0182299378404499,0.1456883928498401,2.919720749287816e-06,0.0611550109542079,0.1460798163952142,EWAS-specific
