CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg25233271,Behavior_Score_Index,chr17,69068109.0,69068110.0,,,,5.97572780997781e-05,0.369248660426741,-0.336926905538141,8.3782486243228e-07,0.023581083448074,-0.127630075212507,haEWAS-specific
cg03804609,Behavior_Score_Index,chr4,140163119.0,140163120.0,,,,4.9321233686707e-06,0.295419053983978,0.233400915106073,2.02306958181874e-06,0.0418368766450533,0.24234956168142,haEWAS-specific
cg13558608,Behavior_Score_Index,chr8,33342575.0,33342576.0,MAK16,TSS200,Island,0.429274287381848,0.999994246845309,0.029052197449942,1.99481832277105e-07,0.011229071717077,-0.0012373945489667,haEWAS-specific
cg07813608,Behavior_Score_Index,chr19,53400933.0,53400934.0,,,Island,0.253853703978423,0.981160538418137,0.0467226429650226,2.63774226209971e-08,0.0024746946204051,0.0200646729953952,haEWAS-specific
cg12204732,Behavior_Score_Index,chr10,128994605.0,128994606.0,DOCK1;FAM196A,Body;TSS200,Island,3.04088060073135e-05,0.347504871847625,0.189720628454844,2.83242745057504e-09,0.0003986018502645,0.0683858543149,haEWAS-specific
cg03256963,Behavior_Score_Index,chr15,72105880.0,72105881.0,NR2E3;NR2E3,Body;Body,S_Shore,0.114825887575346,0.928111324351132,0.117865684023899,1.8046417605089e-06,0.0386067011825669,-0.407236502303685,haEWAS-specific
cg06224737,Behavior_Score_Index,chr3,38307668.0,38307669.0,SLC22A13,1stExon,,0.0037780777732292,0.596043710132259,0.194251405485909,9.38090419139491e-07,0.027585129860641,0.974868454856869,haEWAS-specific
cg03874222,Behavior_Score_Index,chr3,32281491.0,32281492.0,CMTM8,Body,S_Shore,0.0097871737332408,0.687393431811107,0.235373649062811,3.78053662329717e-09,0.0004256218863386,-0.801943860134285,haEWAS-specific
cg07184807,Behavior_Score_Index,chr3,157537400.0,157537401.0,,,,3.28063758897117e-05,0.347504871847625,0.416585780903539,1.5497941813798e-06,0.0396544428285849,-0.128771776806047,haEWAS-specific
cg11957777,Behavior_Score_Index,chr2,128015142.0,128015143.0,ERCC3,3'UTR,,0.0076095256667787,0.66500366410025,0.299401194067705,2.46633217185729e-06,0.0450030906006984,0.512404674831147,haEWAS-specific
cg01178494,Behavior_Score_Index,chr15,93152328.0,93152329.0,,,,0.0013814581313782,0.532908602801474,0.228239239284321,8.85837604986813e-07,0.027585129860641,0.913048123886129,haEWAS-specific
cg15878604,Behavior_Score_Index,chr22,39852790.0,39852791.0,MGAT3,TSS1500,Island,1.57715093825612e-05,0.308689760997702,0.445893789276447,1.46068823179195e-10,8.22238933934472e-05,-0.0995307147337051,haEWAS-specific
cg03609062,Behavior_Score_Index,chr19,38876094.0,38876095.0,GGN,Body,Island,0.19386849278449,0.966394985792599,0.11600107979233,6.01670479729886e-07,0.0253609603796997,0.592128628690063,haEWAS-specific
cg16915982,Behavior_Score_Index,chr12,23966285.0,23966286.0,SOX5;SOX5;SOX5;SOX5,Body;Body;Body;Body,,3.08512845535421e-05,0.347504871847625,0.261512294596344,9.14343696530781e-08,0.0057188337655726,-1.19797494093166,haEWAS-specific
cg23289545,Behavior_Score_Index,chr5,75784957.0,75784958.0,IQGAP2,Body,,0.0117859754500537,0.70428980861322,0.200051879473425,8.26561097592393e-07,0.027585129860641,0.919773820919132,haEWAS-specific
cg14619152,Behavior_Score_Index,chr6,128932953.0,128932954.0,,,,0.0030711884279511,0.579515991045304,0.257388599296163,5.81727059316048e-07,0.0225416279742927,-1.35416466538617,haEWAS-specific
cg20320057,Behavior_Score_Index,chr2,152513966.0,152513967.0,NEB;NEB;NEB;NEB,Body;Body;Body;Body,,0.0001040761912826,0.384762537027259,0.265928409305205,1.58042761137411e-07,0.0137508903747842,1.08338872922909,haEWAS-specific
cg14338830,Behavior_Score_Index,chr6,169568946.0,169568947.0,,,S_Shore,0.0015231651565559,0.539231067179219,0.205529428013949,7.46766031797689e-08,0.0052545445061412,-1.04052983526464,haEWAS-specific
cg08766149,Behavior_Score_Index,chr14,25103301.0,25103302.0,GZMB,Body,,0.0011457400248491,0.520501074326167,0.186230669512765,1.01960159181964e-06,0.027585129860641,1.11313002861178,haEWAS-specific
cg16648019,Behavior_Score_Index,chr18,53253316.0,53253317.0,TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4;TCF4,5'UTR;5'UTR;1stExon;Body;Body;Body;Body;Body,N_Shelf,0.0015176913069847,0.539231067179219,0.303457808979338,7.43164735555204e-08,0.007684286207404,1.65851810915468,haEWAS-specific
cg20271698,Behavior_Score_Index,chr6,36068109.0,36068110.0,MAPK14;MAPK14;MAPK14;MAPK14,Body;Body;Body;Body,,0.0493109020005643,0.850597655354681,0.127791983439582,1.16465120085486e-06,0.0312188636559815,-1.75969996610918,haEWAS-specific
