CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg24054938,Ulcerative_Colitis,chr1,153651301.0,153651302.0,NPR1;NPR1,1stExon;5'UTR,Island,0.869032216505239,0.990421492376658,0.0075784477475621,2.07192896423191e-05,0.0129841060100497,-0.0441920452701805,haEWAS-specific
cg01489441,Ulcerative_Colitis,chr16,1764111.0,1764112.0,MAPK8IP3;MAPK8IP3,Body;Body,,0.0328133249922634,0.697942174313878,0.0782158795341111,9.59851078352469e-05,0.0309805623595516,-0.0662140943393721,haEWAS-specific
cg11903177,Ulcerative_Colitis,chr17,17379358.0,17379359.0,MED9,TSS1500,N_Shore,0.0001275354833562,0.227051936008081,0.196890859493267,0.0001948957223607,0.0471198094277333,-0.181236422609,haEWAS-specific
cg11199827,Ulcerative_Colitis,chr10,49881056.0,49881057.0,,,,0.510871833231524,0.950816850522728,0.0328717591859957,0.0001820718880827,0.0451102366679278,-0.0539159101222367,haEWAS-specific
cg12297440,Ulcerative_Colitis,chr7,157523408.0,157523409.0,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,N_Shore,5.74527967830895e-07,0.0113319291608684,0.294688397811246,1.0,1.0,0.0,EWAS-specific
cg00636079,Ulcerative_Colitis,chr18,74230773.0,74230774.0,,,,0.640240674509189,0.96885105975839,-0.0226104542186,0.0001793655297507,0.0447281602209241,-0.0388387477089412,haEWAS-specific
cg11306217,Ulcerative_Colitis,chr3,114026249.0,114026250.0,TIGIT,Body,,0.588026224742013,0.962112657919953,0.0127428053196148,8.40362517646424e-06,0.0078554537124964,-0.012474319553503,haEWAS-specific
cg12283393,Ulcerative_Colitis,chr11,1874445.0,1874446.0,LSP1,Body,,0.623438512312946,0.96640903932544,-0.0115021648032529,7.76653541470068e-06,0.007532564623899,-0.0213376948648474,haEWAS-specific
cg05743713,Ulcerative_Colitis,chr11,66885240.0,66885241.0,KDM2A;KDM2A,TSS1500;TSS1500,N_Shore,0.112194937382073,0.81784267308124,-0.152285744574613,2.7678856813637e-05,0.0151910957233944,-0.156744146786576,haEWAS-specific
cg08065963,Ulcerative_Colitis,chr16,8985593.0,8985594.0,,,,0.0114906151160155,0.60624288526773,0.0643717061189752,5.50943124480229e-05,0.0226727195825405,-0.0300044291048148,haEWAS-specific
cg05849431,Ulcerative_Colitis,chr11,67415187.0,67415188.0,ACY3,5'UTR,,0.0018653488614227,0.455868120696891,0.141167736660984,1.11185483992168e-05,0.0091548625240385,-0.101797879276196,haEWAS-specific
cg03343063,Ulcerative_Colitis,chr1,16023706.0,16023707.0,PLEKHM2,Body,,0.989662882494023,0.999594126003895,-0.0004140901966632,4.3797063499202e-06,0.0055054789673984,-0.050067881404769,haEWAS-specific
cg20136100,Ulcerative_Colitis,chr11,63974860.0,63974861.0,FERMT3;FERMT3,Body;Body,Island,0.294799281804455,0.905945850361507,0.029355396135445,3.23874519457004e-06,0.0045769567615603,-0.0394120671391131,haEWAS-specific
cg16723805,Ulcerative_Colitis,chr16,88516225.0,88516226.0,,,N_Shelf,0.0005027428823682,0.351829890082192,-0.158245352449134,0.0001461806216249,0.156685220495771,-0.404761001382196,haEWAS-specific
