CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg02474195,Breast_Cancer,chr3,43391449.0,43391450.0,SNRK;SNRK,3'UTR;3'UTR,,5.602656125835963e-16,2.717422684777461e-10,-0.2360367324734314,7.99802139114677e-07,0.0006815265157736,0.174387990584149,Common
cg12476754,Breast_Cancer,chr7,47344750.0,47344751.0,TNS3,Body,,1.690015798510779e-12,4.020579698811561e-07,-0.1739792318346982,9.96319480338763e-08,0.0001388162042458,0.157090522473659,Common
cg26069562,Breast_Cancer,chr6,29691981.0,29691982.0,HLA-F;HLA-F;HLA-F,Body;Body;Body,Island,2.486833454928969e-12,4.020579698811561e-07,0.2026773675397851,1.0,1.0,0.0,EWAS-specific
cg20138458,Breast_Cancer,chr18,74110979.0,74110980.0,ZNF516,Body,N_Shelf,4.081944567465269e-12,4.3277996741816643e-07,0.1820528982609495,2.9107684329059085e-06,0.0069695207819101,0.1427691463567061,Common
cg02573873,Breast_Cancer,chr16,81520244.0,81520245.0,CMIP,Body,,4.461428376927394e-12,4.3277996741816643e-07,-0.1854491706366778,0.0111044236425349,0.255665760384435,0.0680899107466114,EWAS-specific
cg01312167,Breast_Cancer,chr2,54292798.0,54292799.0,,,,1.0236311243827299e-11,8.274761041210152e-07,-0.1828612647958837,0.000150998793425,0.0751059847315867,-0.1070452750256661,EWAS-specific
cg11423684,Breast_Cancer,chr6,29691993.0,29691994.0,HLA-F;HLA-F;HLA-F,Body;Body;Body,Island,1.897092504316743e-11,1.314479135448177e-06,0.18600078263725,1.0,1.0,0.0,EWAS-specific
cg13402865,Breast_Cancer,chr1,206671408.0,206671409.0,,,,2.3133731803481032e-11,1.402551891781448e-06,0.1675800179901224,1.7225074791067303e-05,0.0227550797583951,0.1408888912223215,Common
cg23391288,Breast_Cancer,chr13,49366203.0,49366204.0,,,,3.839751441163477e-11,1.936668776185456e-06,-0.1646044430872504,4.59465390625067e-05,0.0121639522161339,0.14983188373649,Common
cg14789818,Breast_Cancer,chr1,227748712.0,227748713.0,,,Island,4.1075585480780636e-11,1.936668776185456e-06,0.1033008159325063,0.0118321167823952,0.4274385869583499,0.2034912689229106,EWAS-specific
cg14338062,Breast_Cancer,chr12,57883279.0,57883280.0,MARS,Body,S_Shore,4.392227299688265e-11,1.936668776185456e-06,-0.1819493423902743,0.0002037611233154,0.0310279546487433,0.125349016501149,Common
cg24973591,Breast_Cancer,chr4,10079421.0,10079422.0,WDR1;WDR1,Body;Body,Island,8.687049632559851e-11,3.1857919877623304e-06,-0.2394456542493497,0.0079519835754172,0.3792613590723597,0.130386077862563,EWAS-specific
cg07586285,Breast_Cancer,chr1,200994978.0,200994979.0,,,S_Shelf,9.404958026739714e-11,3.1857919877623304e-06,-0.1608774394307005,2.96764586557784e-07,0.0003263174610569,0.169307038594852,Common
cg00502597,Breast_Cancer,chr1,60197222.0,60197223.0,FGGY;FGGY,Body;Body,,9.852477365333459e-11,3.1857919877623304e-06,-0.1295079010083909,0.0005448115231596,0.1402508603599824,-0.0774388548758259,EWAS-specific
cg19589427,Breast_Cancer,chr1,173019720.0,173019721.0,TNFSF18,Body,,1.2213401188856756e-10,3.6831432990527536e-06,-0.1075107475285857,0.0092119628042875,0.3964502533949361,-0.047265278369033,EWAS-specific
cg10588135,Breast_Cancer,chr17,59329903.0,59329904.0,BCAS3;BCAS3,Body;Body,,1.2934155977454359e-10,3.6831432990527536e-06,0.0913325952724844,0.0001026751161629,0.0620783769405505,0.0594346185266074,EWAS-specific
cg01156844,Breast_Cancer,chr15,85520317.0,85520318.0,,,N_Shelf,1.3668721420579098e-10,3.6831432990527536e-06,0.1527363016288578,5.326145351429704e-07,0.0024192988263034,0.1337028892727133,Common
cg11958128,Breast_Cancer,chr12,3226445.0,3226446.0,TSPAN9;TSPAN9,5'UTR;5'UTR,,1.5395318820764596e-10,3.930052166169752e-06,-0.1564914868800005,5.879297132140704e-05,0.0454580424592008,-0.1084501420421336,Common
cg24328095,Breast_Cancer,chr17,80205093.0,80205094.0,CSNK1D;CSNK1D,Body;Body,N_Shore,2.1777157297987326e-10,5.281221970649503e-06,0.1257966352862399,7.086059135789137e-07,0.0027908013444769,0.1061822427036304,Common
cg01315201,Breast_Cancer,chr13,45333293.0,45333294.0,,,,4.2631799772665757e-10,9.846402882351162e-06,-0.1060601307870545,4.169987822449302e-05,0.037468807637992,-0.0784193535533406,Common
cg08314208,Breast_Cancer,chr16,67682810.0,67682811.0,RLTPR,Body,Island,7.270601047000872e-10,1.602916364645705e-05,-0.1297707347430153,0.0165547357414175,0.4698681404672166,-0.0533272328313548,EWAS-specific
cg23695131,Breast_Cancer,chr11,94642928.0,94642929.0,,,,8.324893654089905e-10,1.6909294696871527e-05,-0.1318095174389526,5.803506602154772e-07,0.0025475761747227,-0.1259007890557675,Common
cg14370595,Breast_Cancer,chr11,66114071.0,66114072.0,BRMS1;BRMS1;B3GNT1,TSS1500;TSS1500;1stExon,Island,8.367071994889256e-10,1.6909294696871527e-05,-0.1216523513364754,6.291063883195262e-05,0.0474453718850554,-0.0892547069697137,Common
cg08824221,Breast_Cancer,chr11,27417374.0,27417375.0,LGR4,Body,,1.0325578425578374e-09,2.003261340115089e-05,-0.0859235986168938,0.0025560164151393,0.258803110416416,-0.049307178326478,EWAS-specific
cg14837148,Breast_Cancer,chr15,68810195.0,68810196.0,,,,1.667908143818141e-09,3.073953306608252e-05,-0.1497895810027184,0.366776899184992,0.81676185478406,0.0792875198818425,EWAS-specific
cg18479798,Breast_Cancer,chr11,64533623.0,64533624.0,SF1;SF1;SF1,Body;Body;Body,Island,1.7111882974537921e-09,3.073953306608252e-05,-0.1846393803473049,0.148075083248783,0.643136143883864,0.115919168647163,EWAS-specific
cg14343652,Breast_Cancer,chr7,130789013.0,130789014.0,FLJ43663;FLJ43663,Body;Body,N_Shore,2.100498766580423e-09,3.513076944006563e-05,0.1227046022973865,6.772631161307003e-06,0.0128170879855583,0.1027722606124054,Common
cg02389084,Breast_Cancer,chr7,26403254.0,26403255.0,SNX10,Body,,2.2020692600469636e-09,3.560188135950062e-05,-0.0774591903705538,7.97370693303219e-07,0.0006815265157736,0.104499451775921,Common
cg20817661,Breast_Cancer,chr6,6321364.0,6321365.0,F13A1,TSS1500,,2.444217241992136e-09,3.8242065276774e-05,-0.163711183805059,4.60249651638422e-12,4.50537261428725e-08,-0.222125280973041,Common
cg17041511,Breast_Cancer,chr17,61509620.0,61509621.0,,,N_Shelf,2.858164912478133e-09,4.200844177302407e-05,-0.0811567132511986,0.0031092856803085,0.143459101649124,0.268591889612143,EWAS-specific
cg24753988,Breast_Cancer,chr14,61575689.0,61575690.0,,,,3.450009150843551e-09,4.780963538224979e-05,-0.1497006874527588,1.22764561458323e-12,1.36864753367153e-08,0.217729567742349,Common
cg25325322,Breast_Cancer,chr2,85073715.0,85073716.0,C2orf89,Body,,3.855041553760212e-09,5.193854651586092e-05,-0.1090931919465377,0.0001408885513212,0.0732405928051492,-0.0749388656969769,EWAS-specific
