CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg23977631,Colorectal_Cancer,chr2,100938799.0,100938800.0,LONRF2;LONRF2,5'UTR;1stExon,Island,5.322106436798454e-15,2.584287155154846e-09,0.3155057861770187,0.511967501068547,0.91437929741238,-0.153306393098208,EWAS-specific
cg25223771,Colorectal_Cancer,chr8,145105503.0,145105504.0,,,Island,1.5500001911890486e-13,3.7632144641840674e-08,0.2651537504016923,1.6470913626802867e-09,0.0002166468682074,0.2275004474517032,Common
cg15103195,Colorectal_Cancer,chr7,100797603.0,100797604.0,AP1S1,TSS200,Island,1.3791144417785254e-10,1.674162185452623e-05,-0.2423570802499493,1.3212748061036865e-08,0.0008414446423002,-0.2258798200566036,Common
cg01638311,Colorectal_Cancer,chr11,65887103.0,65887104.0,PACS1,Body,,6.005853155093951e-10,5.477297184351918e-05,-0.3044561914412467,0.0154826195836905,0.4089752294698324,-0.2353849348734014,EWAS-specific
cg07208853,Colorectal_Cancer,chr1,200005219.0,200005220.0,NR5A2;NR5A2,Body;Body,S_Shore,7.099615838156234e-10,5.477297184351918e-05,0.2150422299735317,0.0008995626610769,0.15498697046822,0.1258821018750838,EWAS-specific
cg20636714,Colorectal_Cancer,chr10,5476521.0,5476522.0,NET1,Body,,8.246985422384084e-10,5.477297184351918e-05,-0.4014633755564287,2.048140653827087e-05,0.0338156591573018,-0.2953672466221654,Common
cg04453180,Colorectal_Cancer,chr5,140856330.0,140856331.0,PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGC3;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5;PCDHGC3;PCDHGC3,Body;Body;Body;Body;Body;Body;Body;Body;1stExon;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;1stExon;Body,Island,9.023999842417115e-10,5.477297184351918e-05,0.214226902252211,0.1982729619618518,0.7914611849633775,0.1394988517457575,EWAS-specific
cg16573178,Colorectal_Cancer,chr1,49242519.0,49242520.0,BEND5;AGBL4;BEND5,1stExon;Body;5'UTR,Island,1.2164745857148366e-09,6.563231815922973e-05,0.2674422036473017,1.0,1.0,0.0,EWAS-specific
cg06100166,Colorectal_Cancer,chr3,49377028.0,49377029.0,USP4;USP4,Body;Body,N_Shore,1.3641869286450418e-09,6.624164320637448e-05,-0.420359118216309,6.795457234178249e-08,0.0012825821532934,-0.3818957614373151,Common
cg11666087,Colorectal_Cancer,chr1,49242513.0,49242514.0,BEND5;AGBL4;BEND5,1stExon;Body;5'UTR,Island,1.8538121551199222e-09,8.183333554859196e-05,0.2570204795423414,0.7263199680821693,0.9694089139985672,-0.0415567260954997,EWAS-specific
cg07219542,Colorectal_Cancer,chr1,110210770.0,110210771.0,GSTM2;GSTM2,1stExon;1stExon,Island,2.109693676498064e-09,8.536805138826865e-05,0.2942508964245707,0.019263859874565,0.381639190017061,0.230398797598641,EWAS-specific
cg14420953,Colorectal_Cancer,chr6,36558154.0,36558155.0,,,N_Shelf,2.891132168278201e-09,0.0001079895687495,-0.1914488428621868,0.010964528503945,0.368489105002196,-0.076450858362408,EWAS-specific
cg12516875,Colorectal_Cancer,chr22,46463543.0,46463544.0,,,N_Shelf,4.223103269912318e-09,0.0001464741138136,0.2427603430390326,7.374931473957299e-07,0.0053891492309112,0.2238443863299059,Common
cg19713947,Colorectal_Cancer,chr1,200005635.0,200005636.0,NR5A2;NR5A2,Body;Body,S_Shore,7.262644642219096e-09,0.0002351043956526,0.257561709265413,6.464234849745551e-06,0.0184839174454691,0.2164971789355149,Common
cg03577655,Colorectal_Cancer,chr7,49815365.0,49815366.0,VWC2,Body,Island,8.632356588173218e-09,0.0002619790739161,0.2086436858748049,0.0487882716830223,0.518178291964252,-0.186339747943097,EWAS-specific
cg09319815,Colorectal_Cancer,chr2,242794941.0,242794942.0,PDCD1,Body,Island,1.0651855873008773e-08,0.0003042520921995,-0.2107902745875394,1.0,1.0,0.0,EWAS-specific
cg09464990,Colorectal_Cancer,chr17,70724035.0,70724036.0,SLC39A11;SLC39A11,Body;Body,,1.3523066517337938e-08,0.0003648042526234,-0.2444956739439815,4.192974375351638e-07,0.0048663043986452,-0.219650778155315,Common
cg01442601,Colorectal_Cancer,chr14,102030727.0,102030728.0,,,Island,1.4604961511668504e-08,0.0003732536205784,-0.20530364109739,0.0203680491379098,0.4441905131035683,-0.1660802801121692,EWAS-specific
cg09296001,Colorectal_Cancer,chr7,127672564.0,127672565.0,SND1,Body,Island,1.5838743098825287e-08,0.0003845456759477,0.2074492357267116,1.48571421573674e-14,5.5710271661745105e-09,0.578215190962588,Common
cg10926113,Colorectal_Cancer,chr6,3227949.0,3227950.0,TUBB2B;TUBB2B,1stExon;5'UTR,Island,2.1578083534301802e-08,0.0004989428328691,0.1382043480141019,0.0911959690656857,0.6673931416422577,-0.1383240538670454,EWAS-specific
cg01268752,Colorectal_Cancer,chr20,43926551.0,43926552.0,MATN4;MATN4;MATN4,Body;Body;Body,N_Shore,2.6340897722538504e-08,0.0005813867160236,-0.2112479173794705,0.0015937035462818,0.143068182872863,0.187173265840192,EWAS-specific
cg04992638,Colorectal_Cancer,chr17,43339328.0,43339329.0,C17orf46;LOC100133991;LOC100133991,Body;Body;TSS1500,Island,3.177969259855726e-08,0.0006709328701407,0.2533288646073514,0.0006607834014929,0.1392732421210478,0.3513138187011193,EWAS-specific
cg14723977,Colorectal_Cancer,chr19,15532806.0,15532807.0,WIZ,3'UTR,N_Shelf,5.44720447178271e-08,0.0010781998189235,0.265127299217635,0.0008177040638538,0.1496549109858474,0.1617288210452648,EWAS-specific
cg15587041,Colorectal_Cancer,chr6,45593659.0,45593660.0,,,,5.551138333255703e-08,0.0010781998189235,0.2892751005060436,3.67867191499892e-06,0.0054827712493231,-0.221904746606854,Common
cg10077502,Colorectal_Cancer,chr7,39569916.0,39569917.0,,,,7.293318126497328e-08,0.0013621000933046,-0.2199238935481142,6.445241930791e-09,7.62472702208706e-05,0.334364560293779,Common
cg13641185,Colorectal_Cancer,chr6,29521143.0,29521144.0,,,Island,9.227860600708453e-08,0.0016595657922405,0.2123629461418212,1.0,1.0,0.0,EWAS-specific
cg25848339,Colorectal_Cancer,chr7,50801401.0,50801402.0,GRB10;GRB10;GRB10,5'UTR;TSS1500;TSS1500,,9.690900403103228e-08,0.0016805959479061,-0.2313418555026742,0.0023298359535593,0.2171353182424566,-0.1235940253015692,EWAS-specific
cg07212747,Colorectal_Cancer,chr16,4539233.0,4539234.0,HMOX2;HMOX2;HMOX2,5'UTR;5'UTR;5'UTR,,1.0953071779674221e-07,0.0018339823387886,-0.2725955027011982,1.0,1.0,0.0,EWAS-specific
cg22289434,Colorectal_Cancer,chr20,34188940.0,34188941.0,FER1L4,Body,Island,1.1536233605814341e-07,0.0018610713321936,0.206258016250531,0.0006655157371312,0.0946550517062222,0.373740338674938,EWAS-specific
cg02558026,Colorectal_Cancer,chr16,30904573.0,30904574.0,MIR762;BCL7C,TSS1500;Body,N_Shore,1.1881396794323365e-07,0.0018610713321936,0.2523255394194503,0.0016955559995815,0.1943000149582454,0.1652299218412894,EWAS-specific
cg07149609,Colorectal_Cancer,chr1,170630734.0,170630735.0,,,Island,1.3390510608146664e-07,0.0019830698778512,-0.219982100494128,1.931980025700939e-05,0.0327547935687126,-0.2379650020537488,Common
cg10683341,Colorectal_Cancer,chr4,39639289.0,39639290.0,C4orf34,5'UTR,N_Shore,1.3477047047030773e-07,0.0019830698778512,0.3178257279306252,7.85654510566714e-07,0.0021347770202227,0.297123122821149,Common
cg13645732,Colorectal_Cancer,chr19,45901649.0,45901650.0,PPP1R13L;PPP1R13L,5'UTR;5'UTR,Island,1.4089861939806897e-07,0.0020084059074108,0.3146920357814267,2.6240586773952e-05,0.0171217256352651,0.30992041605415,Common
cg27582563,Colorectal_Cancer,chr2,20384285.0,20384286.0,,,,1.4476458218565038e-07,0.0020084059074108,-0.2414842965228256,1.78174205718417e-05,0.01428562348888,0.204642773800441,Common
cg01122241,Colorectal_Cancer,chr4,41882748.0,41882749.0,,,Island,1.5163686216587226e-07,0.0020453116939737,-0.2351639791664561,0.005008207780151,0.283062248392048,-0.2554887841374997,EWAS-specific
cg10972873,Colorectal_Cancer,chr1,200007592.0,200007593.0,NR5A2;NR5A2,Body;Body,N_Shore,1.899177293537648e-07,0.0024924186850995,0.2073028231350171,0.12597622779861,0.673592912421531,0.232706688535179,EWAS-specific
cg17094249,Colorectal_Cancer,chr1,24867657.0,24867658.0,,,,2.1529233731675122e-07,0.0027414138235727,-0.3062846149607731,9.212969266266973e-08,0.0016524674815907,-0.3391057910630491,Common
cg08247376,Colorectal_Cancer,chr17,43339358.0,43339359.0,C17orf46;LOC100133991;LOC100133991,Body;Body;TSS200,Island,2.201820912057795e-07,0.0027414138235727,0.2216403678758242,1.39857036629625e-06,0.0029876674919932,0.408767318206338,Common
cg20959866,Colorectal_Cancer,chr1,4714008.0,4714009.0,AJAP1;AJAP1,TSS1500;TSS1500,Island,2.2742524838544175e-07,0.0027608060602502,-0.1761190867163691,0.0080569284371378,0.3313044277847546,-0.1855798248113336,EWAS-specific
cg18842363,Colorectal_Cancer,chr6,31629088.0,31629089.0,C6orf47,TSS1500,S_Shore,2.615777621689142e-07,0.0030979483766568,0.3202618733204472,1.0,1.0,0.0,EWAS-specific
cg06688989,Colorectal_Cancer,chr6,41606869.0,41606870.0,MDFI,Body,N_Shore,2.690241011934254e-07,0.0031102773085975,0.2025659259619864,0.0001034364624943,0.0662686309999203,0.1665239341252614,EWAS-specific
cg24542751,Colorectal_Cancer,chr17,43339589.0,43339590.0,LOC100133991;LOC100133991;C17orf46,Body;Body;TSS200,Island,2.9953300156100005e-07,0.0033824659713019,0.2381327093484623,0.688948319176273,0.956419915752478,-0.03927640393552,EWAS-specific
cg01922485,Colorectal_Cancer,chr1,942696.0,942697.0,,,,3.168860113373823e-07,0.0034970964054809,-0.2065888937751343,0.0572884854393976,0.5927637116641743,-0.1109120933534499,EWAS-specific
cg10526431,Colorectal_Cancer,chr2,242794928.0,242794929.0,PDCD1,Body,Island,3.8860674196837494e-07,0.0041103169172456,-0.1828947804561668,1.0,1.0,0.0,EWAS-specific
cg17474524,Colorectal_Cancer,chr20,62168831.0,62168832.0,PTK6,TSS200,S_Shore,3.929485054902528e-07,0.0041103169172456,-0.1598378101438872,5.255320473348405e-07,0.005184360508657,-0.1400050506519043,Common
cg26708220,Colorectal_Cancer,chr15,37387577.0,37387578.0,MEIS2;MEIS2;MEIS2;MEIS2;MEIS2;MEIS2;MEIS2,Body;Body;Body;Body;Body;Body;Body,Island,4.081344087873265e-07,0.0041103169172456,-0.2785933652306018,8.808725693687338e-06,0.0216366264859523,-0.2770723698506713,Common
cg05345286,Colorectal_Cancer,chr6,41606641.0,41606642.0,MDFI,Body,Island,4.15049079064193e-07,0.0041103169172456,0.1537943647587229,0.0133135835316141,0.334182201098116,0.39276600694725,EWAS-specific
cg21851672,Colorectal_Cancer,chr1,200007863.0,200007864.0,NR5A2;NR5A2,Body;Body,N_Shore,4.151203654797964e-07,0.0041103169172456,0.1714678707452542,0.1094942006973506,0.6963240799346819,0.106437154391695,EWAS-specific
