CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg18808777,HCV_Status,chr6,31431503.0,31431504.0,HCP5,3'UTR,,4.80837833768609e-11,1.964222550944768e-05,-0.2287748041423665,1.0,1.0,0.0,EWAS-specific
cg07839457,HCV_Status,chr16,57023022.0,57023023.0,NLRC5,TSS1500,N_Shore,2.4000290774478717e-10,3.93334583097304e-05,-0.2090801932807434,2.588637724936631e-12,8.491456556355132e-07,-0.2294039746419444,Common
cg11187245,HCV_Status,chr6,31323397.0,31323398.0,HLA-B,Body,N_Shore,2.8886260692580457e-10,3.93334583097304e-05,-0.1573286120238483,1.6129110976959634e-10,2.645400007775057e-05,-0.1605635480361374,Common
cg05349042,HCV_Status,chr1,147013020.0,147013021.0,BCL9,TSS200,,1.2780219562018763e-09,0.0001305179922771,0.1810710502015486,1.1035197047903901e-07,0.0022624085107686,0.1634937793903133,Common
cg14055655,HCV_Status,chr19,50117794.0,50117795.0,PRR12,Body,N_Shore,3.2353821835520983e-09,0.0002643307243962,0.1329035718561215,2.65198738254396e-10,3.59220009758522e-05,-0.144689894523056,Common
cg21488876,HCV_Status,chr19,5250376.0,5250377.0,PTPRS;PTPRS;PTPRS;PTPRS,Body;Body;Body;Body,N_Shore,3.920969677146397e-09,0.000266952685519,0.2078487984862812,8.15595851066525e-06,0.030141831939186,-0.162207301072593,Common
cg10919522,HCV_Status,chr14,74227441.0,74227442.0,C14orf43;C14orf43,5'UTR;TSS1500,S_Shore,5.715314897026859e-09,0.0003335294479193,-0.1836183722989711,1.782476837728316e-09,0.0001105632556573,-0.191170416785092,Common
cg07945582,HCV_Status,chr7,26206579.0,26206580.0,NFE2L3,Body,,7.606466116065768e-09,0.0003884051760516,-0.1344824668530783,2.3593802651028368e-09,0.0001105632556573,-0.1351915507526006,Common
cg04338890,HCV_Status,chr16,57019755.0,57019756.0,,,N_Shelf,1.4574699940788706e-08,0.0006615294362013,-0.1507498272371155,1.2805260768733955e-09,0.0001050121019861,-0.1653469038322385,Common
cg15194251,HCV_Status,chr11,2239813.0,2239814.0,,,,1.786695207787535e-08,0.0007298649923812,-0.1479470825382299,4.856857489449602e-09,0.0001991481560686,-0.1537622920270787,Common
cg15472170,HCV_Status,chr1,12012720.0,12012721.0,PLOD1,Body,,2.170539125137084e-08,0.0007930755322874,0.1398306618288378,6.75576114734464e-09,0.000368334513925,-0.145512044712293,Common
cg00004089,HCV_Status,chr17,74678836.0,74678837.0,MXRA7;MXRA7;MXRA7,Body;3'UTR;Body,,2.351988275821989e-08,0.0007930755322874,0.1341704018965384,1.74294417907318e-08,0.0005475162838047,-0.136195364804605,Common
cg01127300,HCV_Status,chr22,38614796.0,38614797.0,,,S_Shelf,2.5816712270438823e-08,0.0007930755322874,-0.1873663038508825,2.1566145123841902e-09,0.0001105632556573,-0.2022342034784978,Common
cg16363586,HCV_Status,chr19,17516329.0,17516330.0,BST2,1stExon,,4.6616280242831225e-08,0.0012695166986131,-0.1631045751654045,1.8326175309098592e-08,0.000578882272671,-0.1662823417487546,Common
cg19115490,HCV_Status,chr6,37483925.0,37483926.0,,,,5.166467461795816e-08,0.0012924875463445,0.1949441520297042,1.54498059296238e-08,0.0005475162838047,0.200999148500102,Common
cg16411857,HCV_Status,chr16,57023191.0,57023192.0,NLRC5,TSS1500,Island,5.37877314268253e-08,0.0012924875463445,-0.1860435678824221,5.4744459814203735e-09,0.0001995301740437,-0.1985674518263021,Common
cg24119607,HCV_Status,chr5,139047739.0,139047740.0,CXXC5,5'UTR,N_Shore,6.202629736756847e-08,0.0014076523597028,-0.1523504441619608,3.715078089146332e-08,0.0009374227964819,-0.153926232079264,Common
cg21954370,HCV_Status,chr15,45018720.0,45018721.0,,,,1.0741753685886753e-07,0.0021940031903423,-0.1771645795496136,2.30942290008545e-08,0.000631296145891,-0.1849408522943756,Common
cg03946955,HCV_Status,chr1,156096301.0,156096302.0,LMNA;LMNA;LMNA,Body;Body;Body,,1.2945427931731974e-07,0.0024304437437113,0.1671660161799527,1.989023889907676e-07,0.0028367631676462,0.1641075112148824,Common
cg01079060,HCV_Status,chr7,139437439.0,139437440.0,HIPK2;HIPK2,Body;Body,,1.3089293111786754e-07,0.0024304437437113,0.1737495633466904,3.486833929511737e-07,0.0034841435333473,0.1674078392072141,Common
cg08818207,HCV_Status,chr6,32820355.0,32820356.0,TAP1,Body,N_Shore,2.032978084278551e-07,0.0036107458583816,-0.156367278737041,1.0,1.0,0.0,EWAS-specific
cg13566088,HCV_Status,chr9,90435638.0,90435639.0,,,N_Shelf,2.530217075975331e-07,0.004306640314733,-0.1549456137993642,1.5839565495143105e-07,0.0023617368137458,-0.1570416221729319,Common
cg02787737,HCV_Status,chr11,133928346.0,133928347.0,,,,2.7847295988856855e-07,0.0045502481645792,0.1644173294611447,1.233236235923266e-07,0.0023617368137458,0.1680896165538311,Common
cg22038059,HCV_Status,chr19,18699342.0,18699343.0,C19orf60;C19orf60,TSS200;TSS200,N_Shore,3.0175388850874094e-07,0.0047173410144788,-0.1906299760372687,3.58572557474734e-08,0.0007847792624578,-0.205924669726845,Common
cg19956914,HCV_Status,chr7,56147257.0,56147258.0,SUMF2;SUMF2;SUMF2;SUMF2;SUMF2,Body;Body;Body;Body;Body,,3.117948773339751e-07,0.0047173410144788,0.1864140450885515,8.599779746222227e-08,0.0018806457003958,0.1933390995548936,Common
cg16365445,HCV_Status,chr10,33230686.0,33230687.0,ITGB1;ITGB1,5'UTR;5'UTR,,3.614540293535182e-07,0.0052733561068182,0.1602744181631561,2.60664716177545e-07,0.0032439381836137,0.1628901386365726,Common
cg13810707,HCV_Status,chr7,122018993.0,122018994.0,CADPS2;CADPS2;CADPS2,Body;Body;Body,,3.828034953120216e-07,0.0053096485345277,-0.1120948637153947,6.62978274120156e-06,0.0281436965113766,0.100765941811981,Common
cg11201256,HCV_Status,chr1,184403226.0,184403227.0,C1orf21,5'UTR,,3.89937468875964e-07,0.0053096485345277,-0.1508688280322448,1.49608956062425e-07,0.0023617368137458,-0.1557932613293385,Common
cg07267067,HCV_Status,chr12,53497074.0,53497075.0,SOAT2,TSS200,,4.670047751758522e-07,0.0061539177632043,-0.137415051308891,7.44312985067609e-07,0.0057163814688664,-0.1344065470331058,Common
cg19268652,HCV_Status,chr6,12119552.0,12119553.0,HIVEP1,Body,,5.126824202064819e-07,0.0065447115204483,-0.127367688571915,2.514633806502019e-07,0.0032439381836137,-0.1290153119640673,Common
cg22917487,HCV_Status,chr3,39322103.0,39322104.0,CX3CR1;CX3CR1;CX3CR1;CX3CR1,Body;TSS200;5'UTR;TSS1500,,5.582875600228412e-07,0.0069109232808888,0.1133588710136522,7.145889001227145e-07,0.0057163814688664,0.1119687980801025,Common
