CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg00386408,Psoriasis,chr5,135364970.0,135364971.0,TGFBI,Body,Island,0.0001005749128306,0.134633383034675,-0.172809312168103,3.04274681165728e-06,0.0365757437491012,-0.0791607881384788,haEWAS-specific
cg00452016,Psoriasis,chr5,43603138.0,43603139.0,NNT;NNT,TSS200;5'UTR,Island,3.44087280381921e-08,0.0055693623115337,-0.239896503915243,1.0,1.0,0.0,EWAS-specific
cg00710617,Psoriasis,chr20,50808543.0,50808544.0,ZFP64;ZFP64;ZFP64;ZFP64,TSS200;TSS200;TSS200;TSS200,Island,0.110667174995955,0.716952340450144,0.0999896681732166,9.88763652923863e-08,0.011885565325125,0.0231161029344242,haEWAS-specific
cg01068136,Psoriasis,chr10,115614374.0,115614375.0,DCLRE1A;NHLRC2,TSS1500;TSS200,Island,4.28129995051356e-07,0.0176152376345313,-0.231292249774944,1.0,1.0,0.0,EWAS-specific
cg01090161,Psoriasis,chr6,34032747.0,34032748.0,GRM4,Body,,0.0298385981005785,0.56308599065781,0.0441806335518131,3.2296250055974e-06,0.0375698109643074,-0.0394027729121075,haEWAS-specific
cg01139906,Psoriasis,chr3,10290027.0,10290028.0,TATDN2,TSS200,Island,2.25895641525188e-06,0.037078974026478,-0.176931471299623,1.0,1.0,0.0,EWAS-specific
cg01409793,Psoriasis,chr4,106394821.0,106394822.0,PPA2;PPA2;PPA2;PPA2;PPA2,Body;Body;Body;Body;Body,Island,0.737147459852365,0.965718338656702,-0.0170235941786439,1.18467465081936e-06,0.0251303639943428,-0.0058330479206098,haEWAS-specific
cg01738984,Psoriasis,chr11,3240365.0,3240366.0,MRGPRG;C11orf36,TSS1500;Body,S_Shore,2.281093002955e-05,0.091906075284142,0.0902396403833134,2.17594984068314e-06,0.0338437821459889,-0.0706765846564068,haEWAS-specific
cg02294991,Psoriasis,chr11,47927148.0,47927149.0,,,,0.0122605547750149,0.471838469136487,0.0614707890897435,3.97700840532652e-06,0.0377316496521838,-0.0702991655749331,haEWAS-specific
cg02409351,Psoriasis,chr12,85674022.0,85674023.0,ALX1,TSS200,Island,0.000469995384527,0.211124168496295,-0.108299405386324,6.87419887083062e-06,0.0459067911592605,-0.0464860155185027,haEWAS-specific
cg02423185,Psoriasis,chr13,37337525.0,37337526.0,,,,1.62115431881445e-05,0.0800937150763595,-0.179753520407428,1.60059346130507e-06,0.0323491139487696,-0.189601530272293,haEWAS-specific
cg02679662,Psoriasis,chr5,131016702.0,131016703.0,FNIP1;FNIP1,Body;Body,,1.33580646049233e-05,0.0749250286781653,-0.209563147765573,5.6957800084081e-07,0.017116720757101,0.119409212958889,haEWAS-specific
cg02704570,Psoriasis,chr7,157647109.0,157647110.0,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,N_Shore,0.0183113132860557,0.510713781582139,0.0485013613387238,6.53095825036015e-06,0.044437502514842,-0.0423307406581447,haEWAS-specific
cg02721176,Psoriasis,chr10,118084587.0,118084588.0,C10orf96,Body,,2.37258195910634e-06,0.0371635880631284,0.493853554482299,3.84141521656507e-05,0.0841927191909891,0.190679086506341,EWAS-specific
cg02796390,Psoriasis,chr20,3726190.0,3726191.0,HSPA12B,Body,,2.98009544915062e-06,0.03910988670033,-0.151370889021101,2.63620974250364e-07,0.0142794443318019,-0.23478594699318,Common
cg02872693,Psoriasis,chr20,18295599.0,18295600.0,ZNF133;ZNF133,Body;Body,,1.17133173991763e-05,0.07204667371822,-0.173621650565947,1.02467298682272e-05,0.0499346686263542,0.0853484464321654,haEWAS-specific
cg02909866,Psoriasis,chr10,101152469.0,101152470.0,CNNM1,3'UTR,,2.01654334841194e-06,0.0357422143026165,-0.175733525498981,1.0,1.0,0.0,EWAS-specific
cg03040740,Psoriasis,chr13,99084682.0,99084683.0,FARP1,Body,,7.81857538097158e-06,0.0641908712560108,1.7192954817594,8.07417602727502e-07,0.0218675216254126,0.653927824738696,haEWAS-specific
cg03089651,Psoriasis,chr1,161039695.0,161039696.0,ARHGAP30;ARHGAP30;ARHGAP30;ARHGAP30,1stExon;5'UTR;5'UTR;1stExon,,0.0062875157646035,0.40480947261057,0.0599852815533757,5.49460033907641e-06,0.0422987232495238,-0.0469100426279195,haEWAS-specific
cg03302281,Psoriasis,chr18,76549840.0,76549841.0,,,N_Shelf,1.53984157847497e-05,0.0787385090205377,-0.217476797892379,2.42435838415512e-06,0.0367693708434625,-0.362385013125924,haEWAS-specific
cg03313364,Psoriasis,chr17,40440904.0,40440905.0,STAT5A,5'UTR,Island,0.0014702460676897,0.287345948215423,0.0622542615363551,8.2144936541372e-06,0.0474463018522422,-0.0293478702625185,haEWAS-specific
cg03331715,Psoriasis,chr12,104689087.0,104689088.0,TXNRD1;TXNRD1;TXNRD1;TXNRD1;TXNRD1,5'UTR;5'UTR;Body;Body;5'UTR,,0.0003752535406034,0.197629597055987,-0.12888472876356,1.00620853826315e-05,0.0497065639534135,0.135980166624355,haEWAS-specific
cg03438904,Psoriasis,chr3,197518158.0,197518159.0,LRCH3,1stExon,Island,0.675950571182511,0.955555060013969,0.0255987381741325,5.44215970827045e-06,0.0422987232495238,-0.0749325981735454,haEWAS-specific
cg03670393,Psoriasis,chr4,81128690.0,81128691.0,,,Island,2.45416232233121e-05,0.0946208553947713,0.155597142743252,3.47343833046218e-06,0.0392469132684958,0.279335200525607,haEWAS-specific
cg04010872,Psoriasis,chr17,16757305.0,16757306.0,,,,2.58964064285761e-05,0.0959900713310589,0.0965489096625251,4.08024786990234e-06,0.0407129279957734,0.164693232349251,haEWAS-specific
cg04379155,Psoriasis,chr17,7143007.0,7143008.0,PHF23,TSS200,Island,0.0203942670070242,0.521006099254926,0.123585452771162,2.55944344550949e-06,0.0338437821459889,-0.0397391299795565,haEWAS-specific
cg04584761,Psoriasis,chr2,27874308.0,27874309.0,SUPT7L,3'UTR,,1.16345440843093e-06,0.0270389012423141,0.955445920831344,0.0128720598563829,0.407637805688239,0.177547523363036,EWAS-specific
cg04635983,Psoriasis,chr5,3602558.0,3602559.0,,,Island,0.0165985509105034,0.502054903391727,0.0443943633981018,2.51284549657947e-06,0.0338437821459889,-0.052244706074675,haEWAS-specific
