CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg04166393,Idiopathic_Pulmonary_Fibrosis,chr7,2884313.0,2884314.0,GNA12,TSS1500,Island,0.002208371976161,0.352081786738401,0.472236344693321,5.89995024887325e-05,0.0312989452300228,-0.0576101293031189,haEWAS-specific
cg17608529,Idiopathic_Pulmonary_Fibrosis,chr10,436626.0,436627.0,DIP2C,Body,,0.0028130438678828,0.372303258724741,-0.234655735212671,1.63906607315068e-07,0.0010397231658227,0.320240391697252,haEWAS-specific
cg08146111,Idiopathic_Pulmonary_Fibrosis,chr13,51544280.0,51544281.0,RNASEH2B,3'UTR,,0.0141943484979634,0.539749945704161,-0.0924111808377971,4.61148551173982e-05,0.0278884152261494,0.135125074354382,haEWAS-specific
cg08118034,Idiopathic_Pulmonary_Fibrosis,chr22,29706595.0,29706596.0,GAS2L1;GAS2L1;GAS2L1,Body;Body;Body,Island,0.0640399672807245,0.715377057239887,-0.0578349305605229,9.26731357391146e-06,0.0109525551670137,0.125360062454103,haEWAS-specific
cg15911567,Idiopathic_Pulmonary_Fibrosis,chr11,17230092.0,17230093.0,,,S_Shore,0.0756154074439112,0.734495000832628,0.402783756071964,0.0001205953404954,0.0465728764809328,0.115699313389097,haEWAS-specific
cg22269486,Idiopathic_Pulmonary_Fibrosis,chr8,27630099.0,27630100.0,CCDC25;CCDC25,5'UTR;1stExon,Island,0.0013869178707533,0.315806979039008,0.493643151534929,3.61879930940494e-05,0.0243994992222365,0.0164244640150442,haEWAS-specific
cg22949575,Idiopathic_Pulmonary_Fibrosis,chr17,79948825.0,79948826.0,ASPSCR1,Body,N_Shelf,0.0774373617913038,0.737514626116125,0.133936463685699,1.99943307277911e-07,0.0011299559714175,-0.457078224971061,haEWAS-specific
cg13773247,Idiopathic_Pulmonary_Fibrosis,chr2,42276988.0,42276989.0,PKDCC,Body,,0.493293721424559,0.940522597047778,0.0230582821684628,0.0001259836428417,0.0472894659465581,-0.0352242211812202,haEWAS-specific
cg02712922,Idiopathic_Pulmonary_Fibrosis,chr1,3032302.0,3032303.0,PRDM16;PRDM16,Body;Body,S_Shelf,0.0088958991972648,0.490052239216271,0.120333319230577,6.99764823264313e-05,0.0343881582539057,-0.178558341412271,haEWAS-specific
cg11222173,Idiopathic_Pulmonary_Fibrosis,chr17,78748019.0,78748020.0,RPTOR;RPTOR,Body;Body,,0.400936426066677,0.920892937664145,-0.0451249893412304,9.73500651128086e-06,0.0288084053865095,-0.216609343210906,haEWAS-specific
cg10012595,Idiopathic_Pulmonary_Fibrosis,chr1,25174504.0,25174505.0,,,N_Shore,0.096874682818082,0.76374391603155,0.0642943309751743,0.0001088239755012,0.0440433867306614,0.009899135444475,haEWAS-specific
