CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg25953130,Birth_Weight(Kg),chr10,63753550.0,63753551.0,ARID5B,Body,,4.4539484791019964e-14,3.9783558605034846e-08,-0.150069818366565,3.41213849855258e-06,0.0158529124518809,-0.1529751641178535,Common
cg15722952,Birth_Weight(Kg),chr3,194924602.0,194924603.0,C3orf21,Body,,5.0658397344293116e-11,2.2624546837934752e-05,0.0855814432659556,7.768965445751715e-11,1.5461314522429107e-05,0.0850390572996021,Common
cg12779301,Birth_Weight(Kg),chr17,79031394.0,79031395.0,BAIAP2;BAIAP2;BAIAP2;BAIAP2,Body;Body;Body;Body,,1.0111860874260116e-10,3.010705456702207e-05,0.0998898748323066,2.2628561695437056e-11,9.199143928922636e-06,0.1033521290397991,Common
cg11466832,Birth_Weight(Kg),chr2,11885560.0,11885561.0,LPIN1,TSS1500,N_Shore,1.7689485563942438e-10,3.597525751653938e-05,-0.1177805195747749,5.983814347080239e-10,4.4228874161633376e-05,-0.1363991323516924,Common
cg13754251,Birth_Weight(Kg),chr22,43583855.0,43583856.0,TTLL12,TSS1500,S_Shore,2.013796014226024e-10,3.597525751653938e-05,0.1892193273596449,0.0229184731933655,0.47324037485825,0.138864621555369,EWAS-specific
cg24019564,Birth_Weight(Kg),chr1,25257566.0,25257567.0,RUNX3;RUNX3,TSS1500;Body,Island,1.113013215943298e-09,0.0001456979190595,0.1231476504308331,2.1144830971557526e-10,2.5847760584229992e-05,0.1253669300789705,Common
cg22047282,Birth_Weight(Kg),chr2,27301649.0,27301650.0,EMILIN1;EMILIN1,1stExon;5'UTR,N_Shelf,1.1418076547956072e-09,0.0001456979190595,0.1504179306425155,9.508148591504832e-11,1.5461314522429107e-05,0.1585373609286613,Common
cg00602416,Birth_Weight(Kg),chr10,21797819.0,21797820.0,,,Island,1.5954091505185044e-09,0.0001781314201782,0.1894188129183753,3.10127220157972e-13,1.97722299360378e-07,-0.224550446415041,Common
cg03618302,Birth_Weight(Kg),chr12,20576950.0,20576951.0,PDE3A,Body,,1.8076307997837803e-09,0.0001794013314425,-0.1163674855125009,1.14173077302534e-10,1.65004244872328e-05,0.136702154947928,Common
cg12050271,Birth_Weight(Kg),chr1,2980399.0,2980400.0,FLJ42875,Body,Island,2.0776595650176753e-09,0.0001855807076665,0.1125936144997871,4.895390432279404e-11,1.3267421877691212e-05,0.1438425805034594,Common
cg01912119,Birth_Weight(Kg),chr5,90471712.0,90471713.0,,,,4.0352766395079236e-09,0.0003095095920197,0.1383931869628525,1.8990771324934064e-09,0.0001102897183597,0.1380126869030453,Common
cg07031070,Birth_Weight(Kg),chr6,28543670.0,28543671.0,SCAND3,Body,,4.158119057160805e-09,0.0003095095920197,0.1223468132203351,1.0,1.0,0.0,EWAS-specific
cg01368219,Birth_Weight(Kg),chr3,54999791.0,54999792.0,CACNA2D3,Body,,4.94126774198811e-09,0.0003395107055768,0.1015887974061315,6.584174609878817e-05,0.0665006543057097,0.1161133443678598,EWAS-specific
