CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg06550894,SLEDAI_Score,chr8,22245976.0,22245977.0,SLC39A14;SLC39A14;SLC39A14;SLC39A14,5'UTR;5'UTR;5'UTR;5'UTR,,3.2899475645697717e-10,0.0002635514484973,-0.2497151038351282,6.6312525705411555e-09,0.0007882603086865,-0.2502944925894195,Common
cg06069753,SLEDAI_Score,chr15,42118802.0,42118803.0,MAPKBP1;MAPKBP1;MAPKBP1;JMJD7;JMJD7-PLA2G4B;JMJD7-PLA2G4B;MAPKBP1;MAPKBP1,3'UTR;3'UTR;3'UTR;TSS1500;TSS1500;TSS1500;Body;Body,N_Shore,1.730859850875368e-09,0.0006067255898985,-0.2215831184900927,0.0916394632408854,0.615476855345326,0.0818624426610975,EWAS-specific
cg26104306,SLEDAI_Score,chr5,53812845.0,53812846.0,SNX18;SNX18;SNX18,TSS1500;TSS1500;TSS1500,N_Shore,2.272150718461065e-09,0.0006067255898985,-0.3397340093906694,8.275264103178827e-12,4.011026953224737e-06,-0.4079372300150008,Common
cg24113610,SLEDAI_Score,chr15,70558813.0,70558814.0,,,,1.1742137751563755e-08,0.0018530361798671,0.2617643387271362,1.052390367241755e-07,0.0062549084574605,0.2115892565912199,Common
cg14383174,SLEDAI_Score,chr17,77896174.0,77896175.0,,,,1.2252715340950768e-08,0.0018530361798671,0.1996517563084739,0.0433951651288474,0.493769931878507,-0.091321976292725,EWAS-specific
cg19599472,SLEDAI_Score,chrX,74739430.0,74739431.0,ZDHHC15;ZDHHC15;ZDHHC15,Body;Body;Body,N_Shelf,1.387901732684049e-08,0.0018530361798671,0.2439306953404578,1.956495754975511e-07,0.0087213610740681,0.2418935391362796,Common
cg12610070,SLEDAI_Score,chr10,71211762.0,71211763.0,TSPAN15,Body,Island,1.7462930252879026e-08,0.0019984602328437,-0.2544571329735532,1.1544452029068896e-06,0.0216678123934963,-0.2367722595031781,Common
cg13039203,SLEDAI_Score,chr3,134129265.0,134129266.0,,,S_Shelf,2.321178564317476e-08,0.0023243150568525,-0.272772437112473,1.1247609662685407e-11,4.011026953224737e-06,-0.31740152459602,Common
cg17038326,SLEDAI_Score,chr3,27656201.0,27656202.0,,,,3.967345933688916e-08,0.0035312949421171,-0.208649163484174,2.3455985713372143e-10,4.1823371246121046e-05,-0.2517979819345182,Common
cg27480104,SLEDAI_Score,chr11,42151385.0,42151386.0,,,,6.353515947676439e-08,0.0050896809088805,-0.2436188897404094,0.225746422962216,0.778934874171711,0.207474358548761,EWAS-specific
cg25714323,SLEDAI_Score,chr5,5891728.0,5891729.0,,,,1.29793292940851e-07,0.009452267354759,0.3274921228418649,0.368328403590204,0.864451031455429,-0.149258679376505,EWAS-specific
cg06719448,SLEDAI_Score,chr7,128355262.0,128355263.0,FAM71F1,TSS200,,1.624152035471999e-07,0.0108423111393995,0.2632916693756034,0.395518770323865,0.922614100383016,0.1151043238452412,EWAS-specific
cg23088810,SLEDAI_Score,chr12,106100228.0,106100229.0,,,,2.22262637256526e-07,0.0136961827473919,-0.3129694284295033,7.356919070681303e-07,0.01730027033327,-0.2930158017732744,Common
cg12560447,SLEDAI_Score,chr7,128354965.0,128354966.0,FAM71F1,TSS1500,,2.685657254850583e-07,0.0153673499955211,0.2474104529428269,0.439413414564245,0.893104632289696,-0.0778565851578467,EWAS-specific
cg11463444,SLEDAI_Score,chr1,21009519.0,21009520.0,KIF17;KIF17;KIF17,Body;Body;Body,,3.630558969864896e-07,0.0186102592152868,0.1881073351343837,2.539033754723675e-05,0.0775168791103152,0.1837380416975617,EWAS-specific
cg01374735,SLEDAI_Score,chr3,9623992.0,9623993.0,,,,3.735053155213143e-07,0.0186102592152868,-0.2308000184862098,8.235533516335868e-06,0.0506359648372553,-0.2061622959908025,EWAS-specific
cg13261753,SLEDAI_Score,chr11,76021111.0,76021112.0,,,,3.949343532799762e-07,0.0186102592152868,0.2576215452592661,1.007757992834227e-06,0.0205358908263773,0.2474301213770393,Common
cg07999547,SLEDAI_Score,chr7,17720837.0,17720838.0,,,,4.464615929096675e-07,0.0190443455406619,0.2689601270385077,0.0032243378756314,0.197372134664458,-0.157459151969971,EWAS-specific
cg08065590,SLEDAI_Score,chr14,54674442.0,54674443.0,,,,4.5708137416118854e-07,0.0190443455406619,-0.2677570027454791,5.5420796268001085e-11,1.3175795525550848e-05,-0.3470289045012942,Common
cg05895306,SLEDAI_Score,chr13,24391472.0,24391473.0,MIPEP,Body,,4.754661648612793e-07,0.0190443455406619,-0.2475690473371929,6.559970209272706e-08,0.0049492849330361,-0.2809857402874834,Common
cg25185454,SLEDAI_Score,chr5,135262082.0,135262083.0,,,N_Shelf,5.057376876458396e-07,0.0192922310741436,-0.2073656515962696,0.0007271437783218,0.2193521970666346,-0.1390359350378291,EWAS-specific
cg07813615,SLEDAI_Score,chr1,24166509.0,24166510.0,,,,6.073394237023237e-07,0.0214242866104623,-0.3087703093003917,0.0314424114826106,0.6159381560944411,-0.1579695452887528,EWAS-specific
cg16181848,SLEDAI_Score,chr18,2913135.0,2913136.0,EMILIN2,Body,Island,6.355258572160383e-07,0.0214242866104623,-0.2941687295555922,0.0001003902135359,0.0428352700215984,0.223041086395812,Common
cg25795075,SLEDAI_Score,chr1,55505880.0,55505881.0,PCSK9;PCSK9,TSS200;Body,Island,6.418612832548727e-07,0.0214242866104623,0.2131407612084027,1.357973536840247e-06,0.0236228770698978,0.2064963437234865,Common
cg14563792,SLEDAI_Score,chr1,44479707.0,44479708.0,SLC6A9;SLC6A9;SLC6A9;SLC6A9;SLC6A9;SLC6A9,Body;Body;Body;Body;Body;Body,,7.410881670221392e-07,0.0237468659970504,-0.3135569685241953,3.397904891042824e-06,0.0369130978082681,-0.2907060911658052,Common
cg02491794,SLEDAI_Score,chr2,47204734.0,47204735.0,TTC7A;TTC7A;TTC7A;TTC7A,Body;5'UTR;Body;Body,,8.340383584574718e-07,0.0244978163525606,-0.2724494088455657,7.620721223827777e-08,0.0049492849330361,-0.2821530223422345,Common
cg16649728,SLEDAI_Score,chr11,65685316.0,65685317.0,DRAP1;C11orf68;C11orf68,TSS1500;Body;Body,Island,8.600917247325632e-07,0.0244978163525606,-0.1950484918691352,2.8869999926994938e-08,0.0025738434947413,-0.2851488539527157,Common
cg10921023,SLEDAI_Score,chr15,26640149.0,26640150.0,,,,8.713225986386825e-07,0.0244978163525606,0.2277013222170282,0.683968498233018,0.954489438905988,0.140231009907177,EWAS-specific
cg20657903,SLEDAI_Score,chr10,50387348.0,50387349.0,C10orf128,Body,,9.146491403215024e-07,0.0244978163525606,-0.1748181792783653,1.138369104148297e-06,0.0216678123934963,-0.2016872480002924,Common
cg05328885,SLEDAI_Score,chr11,30943623.0,30943624.0,DCDC5,Body,,9.174284380441174e-07,0.0244978163525606,0.2619301765485239,0.02923742052516,0.436319686651289,0.131629044824505,EWAS-specific
cg19125879,SLEDAI_Score,chr7,114757421.0,114757422.0,LINC01393,Body,,9.543256424497107e-07,0.0246610367735244,-0.2253756837612734,5.4031465984163606e-06,0.0423477849050803,-0.2108973517392118,Common
cg04220416,SLEDAI_Score,chr14,105045877.0,105045878.0,C14orf180,TSS200,,1.0032289912413095e-06,0.0249684065252798,0.250312299892234,1.0,1.0,0.0,EWAS-specific
cg08960206,SLEDAI_Score,chr11,80039032.0,80039033.0,,,,1.0285569316139506e-06,0.0249684065252798,-0.2801066847147074,6.143383443940527e-06,0.0442586097983595,-0.2450864611940626,Common
cg06750558,SLEDAI_Score,chr1,42998138.0,42998139.0,,,,1.0599305444410154e-06,0.0249732417785692,-0.2660176213424728,4.312659750230408e-06,0.0383519459454377,-0.244616618212263,Common
cg12449104,SLEDAI_Score,chr17,68674055.0,68674056.0,,,,1.131431276006373e-06,0.0258962313718417,-0.2201035832375052,1.4343409769471246e-07,0.0068200331640077,-0.2494918816810492,Common
cg02606058,SLEDAI_Score,chr16,67195658.0,67195659.0,FBXL8,5'UTR,Island,1.184327591894346e-06,0.0263539536567309,-0.1715334686208556,0.0047624412802476,0.228629221039616,0.118637079710732,EWAS-specific
cg27334928,SLEDAI_Score,chr9,102277580.0,102277581.0,,,,1.438460338389998e-06,0.0303576399546323,0.2110920210454197,4.8570541632407406e-05,0.0998317792930562,0.161630300624166,EWAS-specific
cg10678919,SLEDAI_Score,chr1,23845622.0,23845623.0,E2F2;E2F2,ExonBnd;Body,,1.5161839365050124e-06,0.0303576399546323,-0.3339754203784822,0.0223388976371122,0.570237147504883,-0.1786999876425091,EWAS-specific
