CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg22962123,Braak_Stage,chr7,27153605.0,27153606.0,HOXA3;HOXA3;HOXA3;HOXA3,5'UTR;1stExon;5'UTR;5'UTR,Island,1e-300,1e-300,1.0,2.01e-17,3.11e-13,0.07146108,Common
cg01301319,Braak_Stage,chr7,27153580.0,27153581.0,HOXA3;HOXA3;HOXA3;HOXA3,5'UTR;1stExon;5'UTR;5'UTR,Island,1e-300,1e-300,1.0,2.33e-16,3.46e-12,0.050085532,Common
cg21806242,Braak_Stage,chr11,72532891.0,72532892.0,ATG16L2,Body,Island,1e-300,1e-300,1.0,3.49e-16,4.81e-12,0.092897923,Common
cg06635946,Braak_Stage,chr22,46470016.0,46470017.0,,,S_Shore,1e-300,1e-300,1.0,7.78e-16,1.04e-11,0.077496461,Common
cg07061298,Braak_Stage,chr7,27153847.0,27153848.0,HOXA3;HOXA3;HOXA3,5'UTR;TSS1500;5'UTR,N_Shore,1e-300,1e-300,1.0,4.09e-15,5.25e-11,0.065510922,Common
cg04917446,Braak_Stage,chr17,46699073.0,46699074.0,HOXB9,3'UTR,Island,1e-300,1e-300,1.0,1.76e-14,2.05e-10,0.023669158,Common
cg20864214,Braak_Stage,chr11,73054121.0,73054122.0,ARHGEF17,Body,Island,1e-300,1e-300,1.0,4.65e-14,5.09e-10,0.059181626,Common
cg03672272,Braak_Stage,chr22,46470191.0,46470192.0,,,S_Shore,1e-300,1e-300,1.0,7.05e-14,7.5e-10,0.060660067,Common
cg09596958,Braak_Stage,chr12,58132105.0,58132106.0,AGAP2;AGAP2,TSS200;Body,N_Shore,1e-300,1e-300,1.0,7.94e-13,5.18e-09,0.065197938,Common
cg17775899,Braak_Stage,chr7,27179426.0,27179427.0,,,Island,1e-300,1e-300,1.0,1.2e-13,1.21e-09,0.037181304,Common
cg04874795,Braak_Stage,chr16,86477638.0,86477639.0,,,,1e-300,1e-300,1.0,0.000124,0.020852587,-0.165180956,Common
cg18751141,Braak_Stage,chr7,27138173.0,27138174.0,,,S_Shore,1e-300,1e-300,1.0,1.74e-13,1.67e-09,0.055605996,Common
cg14216068,Braak_Stage,chr7,27146445.0,27146446.0,HOXA3;HOXA3;HOXA3,3'UTR;3'UTR;3'UTR,Island,1e-300,1e-300,1.0,4.17e-13,3e-09,0.043288588,Common
cg01964852,Braak_Stage,chr7,27146262.0,27146263.0,HOXA3;HOXA3;HOXA3,3'UTR;3'UTR;3'UTR,Island,1e-300,1e-300,1.0,2.99e-13,2.41e-09,0.036334433,Common
cg00921266,Braak_Stage,chr7,27153663.0,27153664.0,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;TSS200,N_Shore,1e-300,1e-300,1.0,6.71e-13,4.62e-09,0.067834289,Common
cg09490371,Braak_Stage,chr2,233253024.0,233253025.0,ECEL1P2,TSS1500,Island,1e-300,1e-300,1.0,3.04e-13,2.41e-09,0.065942265,Common
cg09144964,Braak_Stage,chr7,27150262.0,27150263.0,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;5'UTR,Island,1e-300,1e-300,1.0,3.21e-13,2.49e-09,0.048641394,Common
cg12307200,Braak_Stage,chr3,188664632.0,188664633.0,,,N_Shore,1e-300,1e-300,1.0,1.5816713654296202e-14,1.11414512652228e-09,0.24504173272474,Common
cg13390284,Braak_Stage,chr1,65531864.0,65531865.0,,,N_Shore,1e-300,1e-300,1.0,1.12382107964878e-13,5.6545057622528515e-09,0.213342163576593,Common
cg14103343,Braak_Stage,chr19,49220223.0,49220224.0,MAMSTR;MAMSTR,TSS200;Body,N_Shelf,1e-300,1e-300,1.0,3.36e-13,2.56e-09,0.06450422,Common
cg05731218,Braak_Stage,chr2,216769199.0,216769200.0,,,,1e-300,1e-300,1.0,8.03411047869577e-14,4.7160898019150815e-09,0.242347762929424,Common
cg12864235,Braak_Stage,chr5,27038782.0,27038783.0,CDH9,TSS200,,1e-300,1e-300,1.0,1.75e-13,1.67e-09,0.058811564,Common
cg09502865,Braak_Stage,chr16,88600155.0,88600156.0,ZFPM1,Body,Island,1e-300,1e-300,1.0,1.91e-13,1.78e-09,0.052648311,Common
cg16406967,Braak_Stage,chr7,27155036.0,27155037.0,HOXA3;HOXA3;HOXA3,5'UTR;TSS1500;5'UTR,Island,1e-300,1e-300,1.0,4.23e-13,3e-09,0.064416716,Common
cg23120601,Braak_Stage,chr15,40583227.0,40583228.0,PLCB2,Body,Island,1e-300,1e-300,1.0,2.71e-13,2.28e-09,0.066147355,Common
cg23859635,Braak_Stage,chr2,42795262.0,42795263.0,MTA3,TSS1500,N_Shore,1e-300,1e-300,1.0,2.36e-12,1.35e-08,0.044655957,Common
cg15645660,Braak_Stage,chr1,55247356.0,55247357.0,TTC22,Body,Island,1e-300,1e-300,1.0,7.66e-13,5.18e-09,0.068646349,Common
cg05157625,Braak_Stage,chr14,93153553.0,93153554.0,RIN3,Body,Island,1e-300,1e-300,1.0,1.95e-12,1.17e-08,0.080765795,Common
cg15911153,Braak_Stage,chr5,138730783.0,138730784.0,LOC389333;LOC389333,1stExon;5'UTR,Island,1e-300,1e-300,1.0,1.57e-12,9.76e-09,0.055714904,Common
cg08101036,Braak_Stage,chr7,27153655.0,27153656.0,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;TSS200,N_Shore,1e-300,1e-300,1.0,7.02e-12,3.35e-08,0.046100998,Common
cg24040595,Braak_Stage,chr7,27185512.0,27185513.0,HOXA6,Body,Island,1e-300,1e-300,1.0,1.42e-12,8.96e-09,0.028898927,Common
cg11859982,Braak_Stage,chr7,127907529.0,127907530.0,,,N_Shelf,1e-300,1e-300,1.0,5.55e-12,2.79e-08,0.048545569,Common
cg12234455,Braak_Stage,chr19,49220235.0,49220236.0,MAMSTR;MAMSTR,TSS200;Body,N_Shelf,1e-300,1e-300,1.0,2.05e-12,1.19e-08,0.065437932,Common
cg21663431,Braak_Stage,chr19,10736355.0,10736356.0,SLC44A2;SLC44A2,Body;Body,Island,1e-300,1e-300,1.0,2.05e-12,1.19e-08,0.065729887,Common
cg04157161,Braak_Stage,chr17,7906847.0,7906848.0,GUCY2D,Body,Island,1e-300,1e-300,1.0,4.28e-13,3e-09,0.054385412,Common
cg22507723,Braak_Stage,chr12,58131768.0,58131769.0,AGAP2;AGAP2,1stExon;Body,Island,1e-300,1e-300,1.0,4.09e-12,2.21e-08,0.051008985,Common
cg03308399,Braak_Stage,chr7,27146237.0,27146238.0,HOXA3;HOXA3;HOXA3,3'UTR;3'UTR;3'UTR,Island,1e-300,1e-300,1.0,1.8e-12,1.1e-08,0.046056205,Common
cg05851442,Braak_Stage,chr7,27153212.0,27153213.0,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;5'UTR,Island,1e-300,1e-300,1.0,3.87e-12,2.12e-08,0.04793744,Common
cg24550149,Braak_Stage,chr1,55246954.0,55246955.0,TTC22,Body,Island,1e-300,1e-300,1.0,4.47e-12,2.31e-08,0.04124352,Common
cg01287088,Braak_Stage,chr5,176827392.0,176827393.0,PFN3,1stExon,Island,1e-300,1e-300,1.0,3.56e-12,1.98e-08,0.043064423,Common
cg00510320,Braak_Stage,chr16,67686943.0,67686944.0,RLTPR,Body,Island,1e-300,1e-300,1.0,1.09e-11,5.02e-08,0.075782267,Common
cg01463828,Braak_Stage,chr8,22446721.0,22446722.0,PDLIM2;PDLIM2;PDLIM2,Body;Body;Body,,1e-300,1e-300,1.0,5.23e-12,2.67e-08,0.071031665,Common
cg18680977,Braak_Stage,chr7,27155039.0,27155040.0,HOXA3;HOXA3;HOXA3,5'UTR;TSS1500;5'UTR,Island,1e-300,1e-300,1.0,4.46e-12,2.31e-08,0.065920163,Common
cg04587220,Braak_Stage,chr19,1071208.0,1071209.0,HMHA1,Body,Island,1e-300,1e-300,1.0,1.92e-11,8.29e-08,0.072136458,Common
cg01353646,Braak_Stage,chr12,58132733.0,58132734.0,AGAP2;AGAP2,TSS1500;Body,Island,1e-300,1e-300,1.0,7.97e-11,2.85e-07,0.058456551,Common
cg06561886,Braak_Stage,chr19,10736299.0,10736300.0,SLC44A2;SLC44A2;SLC44A2,5'UTR;1stExon;Body,Island,1e-300,1e-300,1.0,8.48e-12,4e-08,0.055865697,Common
cg17881200,Braak_Stage,chr7,27138850.0,27138851.0,,,S_Shelf,1e-300,1e-300,1.0,3.32e-11,1.29e-07,0.042520788,Common
cg13771313,Braak_Stage,chr11,72533295.0,72533296.0,ATG16L2,Body,Island,1e-300,1e-300,1.0,2.54e-11,1.05e-07,0.053856076,Common
cg16017089,Braak_Stage,chr11,73053830.0,73053831.0,ARHGEF17,Body,Island,1e-300,1e-300,1.0,2.28e-11,9.63e-08,0.046548298,Common
cg01478234,Braak_Stage,chr12,107975299.0,107975300.0,BTBD11;BTBD11,Body;Body,Island,1e-300,1e-300,1.0,6.78e-11,2.47e-07,0.049408485,Common
cg04778178,Braak_Stage,chr7,27162294.0,27162295.0,HOXA3,5'UTR,Island,1e-300,1e-300,1.0,4.08e-11,1.55e-07,0.031569634,Common
cg07328519,Braak_Stage,chr19,4064300.0,4064301.0,ZBTB7A,5'UTR,Island,1e-300,1e-300,1.0,1.45e-11,6.51e-08,0.034071417,Common
cg08230957,Braak_Stage,chr19,39087186.0,39087187.0,MAP4K1;MAP4K1,Body;Body,Island,1e-300,1e-300,1.0,2.59e-11,1.06e-07,0.049335031,Common
cg07522913,Braak_Stage,chr7,27150403.0,27150404.0,HOXA3;HOXA3;HOXA3,5'UTR;5'UTR;5'UTR,Island,1e-300,1e-300,1.0,6.69e-11,2.47e-07,0.031506163,Common
cg26199857,Braak_Stage,chr12,54764265.0,54764266.0,ZNF385A;ZNF385A;ZNF385A,Body;Body;Body,Island,1e-300,1e-300,1.0,1.51e-11,6.71e-08,0.072038187,Common
cg02317313,Braak_Stage,chr12,122235206.0,122235207.0,LOC338799,Body,Island,1e-300,1e-300,1.0,1.84e-11,8.05e-08,0.056375671,Common
cg15614119,Braak_Stage,chr2,11925153.0,11925154.0,LPIN1,Body,Island,1e-300,1e-300,1.0,2.75e-11,1.11e-07,0.057474725,Common
cg12253175,Braak_Stage,chr12,58132093.0,58132094.0,AGAP2;AGAP2,TSS200;Body,N_Shore,1e-300,1e-300,1.0,3.1e-10,8.82e-07,0.052919076,Common
cg25840926,Braak_Stage,chr2,20647987.0,20647988.0,RHOB;RHOB,1stExon;3'UTR,Island,1e-300,1e-300,1.0,3.7e-11,1.42e-07,0.080100778,Common
cg27624319,Braak_Stage,chr20,33147017.0,33147018.0,MAP1LC3A;MAP1LC3A,Body;Body,Island,1e-300,1e-300,1.0,3.03e-11,1.21e-07,0.044478036,Common
cg17826679,Braak_Stage,chr19,10736038.0,10736039.0,SLC44A2;SLC44A2,TSS200;Body,Island,1e-300,1e-300,1.0,1.71e-10,5.48e-07,0.06317121,Common
cg17970299,Braak_Stage,chr12,54772804.0,54772805.0,ZNF385A;ZNF385A;ZNF385A,Body;Body;Body,Island,1e-300,1e-300,1.0,1.0,1.0,0.0,EWAS-specific
cg25389328,Braak_Stage,chr17,38222062.0,38222063.0,THRA;THRA,5'UTR;5'UTR,S_Shelf,1e-300,1e-300,1.0,5.79e-11,2.18e-07,0.030490811,Common
cg13076843,Braak_Stage,chr17,74475294.0,74475295.0,RHBDF2;RHBDF2,Body;Body,Island,1e-300,1e-300,1.0,3.3e-11,1.29e-07,0.121722948,Common
cg17693222,Braak_Stage,chr8,42033472.0,42033473.0,PLAT;PLAT,3'UTR;3'UTR,,1e-300,1e-300,1.0,1.04e-10,3.6e-07,0.026962107,Common
cg23245942,Braak_Stage,chr17,46698973.0,46698974.0,HOXB9,3'UTR,Island,1e-300,1e-300,1.0,3.29e-11,1.29e-07,0.031732932,Common
cg24041556,Braak_Stage,chr19,10736059.0,10736060.0,SLC44A2;SLC44A2,TSS200;Body,Island,1e-300,1e-300,1.0,1.63e-10,5.28e-07,0.064486811,Common
cg15374751,Braak_Stage,chr2,11925224.0,11925225.0,LPIN1,Body,Island,1e-300,1e-300,1.0,3.17e-09,6.06e-06,0.070087475,Common
cg26884773,Braak_Stage,chr1,235256863.0,235256864.0,,,,1e-300,1e-300,1.0,1.13e-10,3.86e-07,0.036957703,Common
cg18535415,Braak_Stage,chr1,200983238.0,200983239.0,KIF21B,Body,,1e-300,1e-300,1.0,9.59e-11,3.4e-07,0.045604206,Common
cg02124912,Braak_Stage,chr1,202091933.0,202091934.0,GPR37L1,TSS200,,1e-300,1e-300,1.0,4.84e-10,1.29e-06,0.05247785,Common
cg05109569,Braak_Stage,chr7,27146430.0,27146431.0,HOXA3;HOXA3;HOXA3,3'UTR;3'UTR;3'UTR,Island,1e-300,1e-300,1.0,6.36e-11,2.37e-07,0.034007592,Common
cg26587870,Braak_Stage,chr6,27730563.0,27730564.0,,,,1e-300,1e-300,1.0,1.55e-10,5.14e-07,0.039250451,Common
cg02961798,Braak_Stage,chr16,67687392.0,67687393.0,RLTPR,Body,Island,1e-300,1e-300,1.0,1.57e-10,5.14e-07,0.092139409,Common
cg23968456,Braak_Stage,chr10,73521631.0,73521632.0,CDH23;C10orf54,Body;Body,,1e-300,1e-300,1.0,1.36e-10,4.57e-07,0.065604271,Common
cg17907520,Braak_Stage,chr15,31680189.0,31680190.0,,,N_Shelf,1e-300,1e-300,1.0,1.0,1.0,0.0,EWAS-specific
cg16191087,Braak_Stage,chr9,116225764.0,116225765.0,RGS3;RGS3,TSS1500;Body,Island,1e-300,1e-300,1.0,1e-10,3.48e-07,0.054429543,Common
cg05258935,Braak_Stage,chr19,39086923.0,39086924.0,MAP4K1;MAP4K1,Body;Body,Island,1e-300,1e-300,1.0,9.93e-11,3.48e-07,0.045674408,Common
cg26264232,Braak_Stage,chr7,27138751.0,27138752.0,,,S_Shelf,1e-300,1e-300,1.0,1.86e-10,5.86e-07,0.031126009,Common
cg24670552,Braak_Stage,chr13,110436780.0,110436781.0,IRS2,1stExon,Island,1e-300,1e-300,1.0,6.51e-10,1.62e-06,0.032375074,Common
cg19048532,Braak_Stage,chr7,27148002.0,27148003.0,HOXA3;HOXA3;HOXA3,Body;Body;Body,Island,1e-300,1e-300,1.0,6.91e-11,2.5e-07,0.042478052,Common
cg04520340,Braak_Stage,chr1,2005132.0,2005133.0,PRKCZ;PRKCZ;PRKCZ,1stExon;Body;5'UTR,N_Shore,1e-300,1e-300,1.0,2.92e-10,8.44e-07,0.07133251,Common
cg02106682,Braak_Stage,chr7,27184461.0,27184462.0,HOXA5,TSS1500,Island,1e-300,1e-300,1.0,2.91e-10,8.44e-07,0.029256561,Common
cg02956248,Braak_Stage,chr6,32120901.0,32120902.0,PPT2;PRRT1;PPT2,TSS1500;TSS1500;TSS1500,N_Shore,1e-300,1e-300,1.0,1.0,1.0,0.0,EWAS-specific
cg06889108,Braak_Stage,chr5,173317342.0,173317343.0,CPEB4,1stExon,S_Shore,1e-300,1e-300,1.0,1.02e-09,2.36e-06,0.055142424,Common
cg11041817,Braak_Stage,chr17,46685327.0,46685328.0,HOXB7,Body,Island,1e-300,1e-300,1.0,6.66e-10,1.64e-06,0.028316226,Common
cg08027484,Braak_Stage,chr6,10556523.0,10556524.0,GCNT2;GCNT2;GCNT2,5'UTR;1stExon;Body,,1e-300,1e-300,1.0,5.6e-10,1.44e-06,0.070561326,Common
