CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg03625007,Assisted_Reproductive_Technologies(ART),chr2,197478067.0,197478068.0,,,,8.375564161294297e-09,0.0037164504024478,-0.0789854647686642,1.0,1.0,0.0,EWAS-specific
cg26897054,Assisted_Reproductive_Technologies(ART),chr19,42721870.0,42721871.0,DEDD2,TSS200,Island,8.380850414420264e-09,0.0037164504024478,0.1229022946514532,3.31163083536148e-11,2.34934045885297e-05,-0.151837948480603,Common
cg22560193,Assisted_Reproductive_Technologies(ART),chr19,1465962.0,1465963.0,APC2,Body,Island,1.2762725157321224e-08,0.0037730486925005,-0.134583005864318,5.1166048981534295e-09,0.0019879749674991,-0.1388945748559007,Common
cg04311227,Assisted_Reproductive_Technologies(ART),chr1,32860059.0,32860060.0,BSDC1;BSDC1;BSDC1;BSDC1;BSDC1;BSDC1;BSDC1;BSDC1,1stExon;5'UTR;5'UTR;1stExon;5'UTR;1stExon;1stExon;5'UTR,Island,4.17445566440753e-08,0.0092557178966551,0.1432694569762145,0.0001815634702103,0.195686714811614,0.0999216655677454,EWAS-specific
cg23628099,Assisted_Reproductive_Technologies(ART),chr8,48089762.0,48089763.0,,,,7.388497870450466e-08,0.0131055845296433,-0.0843165145923986,1.0,1.0,0.0,EWAS-specific
cg19218358,Assisted_Reproductive_Technologies(ART),chr2,235411933.0,235411934.0,,,,1.6073425768589122e-07,0.0212901157525175,-0.0815696516687538,0.0046975817130235,0.5648058837344588,-0.0452790121046095,EWAS-specific
cg06422558,Assisted_Reproductive_Technologies(ART),chr1,30464177.0,30464178.0,,,,1.806973861438034e-07,0.0212901157525175,-0.1281843657855411,7.160653871945281e-07,0.0556431498296477,-0.1232335016024233,EWAS-specific
cg04871207,Assisted_Reproductive_Technologies(ART),chr18,28855179.0,28855180.0,,,,2.111511268570907e-07,0.0212901157525175,-0.0747403857573913,0.0001985356571216,0.3406862524127111,-0.0602965927334374,EWAS-specific
cg17973328,Assisted_Reproductive_Technologies(ART),chr1,30689724.0,30689725.0,,,,2.3496129657782242e-07,0.0212901157525175,-0.0922878743025647,1.0,1.0,0.0,EWAS-specific
cg06424894,Assisted_Reproductive_Technologies(ART),chr15,45314789.0,45314790.0,SORD,TSS1500,N_Shore,2.400533521314062e-07,0.0212901157525175,-0.1192800787087111,9.01432677535486e-07,0.0583728739889287,-0.1143128449173688,EWAS-specific
cg22023531,Assisted_Reproductive_Technologies(ART),chr15,45314915.0,45314916.0,SORD,TSS1500,N_Shore,2.896720437959515e-07,0.0233552298722032,-0.1201839872448832,1.3297428988090953e-07,0.0206660130978357,-0.1247198163058414,Common
cg09499787,Assisted_Reproductive_Technologies(ART),chr10,118900492.0,118900493.0,,,S_Shore,4.326643143629055e-07,0.0300873973150028,0.3964860434755279,2.28992485715739e-06,0.0427505468970908,0.368382413098848,Common
cg04985016,Assisted_Reproductive_Technologies(ART),chr2,230758152.0,230758153.0,TRIP12;TRIP12;TRIP12,5'UTR;5'UTR;5'UTR,,4.410194320328388e-07,0.0300873973150028,-0.1102451050199936,1.0,1.0,0.0,EWAS-specific
cg10181968,Assisted_Reproductive_Technologies(ART),chr7,139477474.0,139477475.0,HIPK2;HIPK2;TBXAS1;TBXAS1;HIPK2;HIPK2,1stExon;5'UTR;TSS1500;TSS1500;5'UTR;1stExon,Island,5.380586408571458e-07,0.0340856690034596,0.1185384569721563,1.0,1.0,0.0,EWAS-specific
cg13604246,Assisted_Reproductive_Technologies(ART),chr2,241497412.0,241497413.0,ANKMY1;ANKMY1,TSS200;TSS200,Island,5.920846381141505e-07,0.0350076357854464,-0.1086182565120735,7.96528484297123e-07,0.0344151464451319,-0.110539303521929,Common
cg15490897,Assisted_Reproductive_Technologies(ART),chr1,55038020.0,55038021.0,ACOT11;ACOT11,Body;Body,,8.478016850203661e-07,0.0469942302643373,0.096908360186576,1.2586417628370872e-05,0.1602851520014779,0.0872954041334127,EWAS-specific
