CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg21679730,PSA_Amount,chr1,65047485.0,65047486.0,CACHD1,Body,,1.17350215504806e-06,0.0307425293313328,-0.0031616187941214,2.31326478314311e-05,0.3039515528652,-0.0025238148965451,EWAS-specific
cg08942192,PSA_Amount,chr1,108735334.0,108735335.0,SLC25A24;SLC25A24;SLC25A24,5'UTR;Body;1stExon,Island,5.94711211889047e-08,0.0092184382661729,-0.0028827026411431,0.133565814794277,0.816634463982869,-0.0002233115904757,EWAS-specific
cg15703756,PSA_Amount,chr2,3750488.0,3750489.0,,,N_Shore,2.08610695496648e-06,0.0437202123407965,-0.0017442168160709,3.39441342042063e-05,0.325486359336011,0.001350953789637,EWAS-specific
cg24135923,PSA_Amount,chr4,124267807.0,124267808.0,,,,6.35911503051419e-07,0.0199909591479765,-0.0031543699828757,0.0012006330424107,0.515189512126988,0.0021800886357968,EWAS-specific
cg23171102,PSA_Amount,chr5,1176807.0,1176808.0,,,,4.83398914117432e-07,0.0168849629371505,0.0016702689862061,8.61435495482119e-07,0.238335081406029,0.0006014992134198,EWAS-specific
cg02188185,PSA_Amount,chr6,30039524.0,30039525.0,RNF39;RNF39,Body;Body,S_Shore,6.98990623173131e-08,0.0092184382661729,0.0022892924988999,1.0,1.0,0.0,EWAS-specific
cg19966378,PSA_Amount,chr7,38294113.0,38294114.0,,,,1.11729394045154e-07,0.0092184382661729,0.0019098830472855,5.13170380643841e-05,0.325486359336011,-0.0015866425670889,EWAS-specific
cg10900271,PSA_Amount,chr7,156157852.0,156157853.0,,,,2.58080867506107e-06,0.0450733933751624,-0.0036059372254664,0.0001482593145876,0.368167377640164,0.0033103046482745,EWAS-specific
cg06644844,PSA_Amount,chr10,37414506.0,37414507.0,ANKRD30A,TSS1500,Island,2.37175870662751e-06,0.0450733933751624,0.0018862129047364,0.0001198627470372,0.346085144849171,-0.0016907006694409,EWAS-specific
cg22353823,PSA_Amount,chr12,105860607.0,105860608.0,,,,4.26356676825523e-07,0.0167540586779511,-0.0025188367483882,0.0008994067982545,0.504155281939481,0.0011572566751833,EWAS-specific
cg19460909,PSA_Amount,chr13,112515103.0,112515104.0,,,,1.17295241118475e-07,0.0092184382661729,-0.0014501601771972,4.28581356904067e-06,0.3039515528652,-0.0011806297941943,EWAS-specific
cg17524180,PSA_Amount,chr13,113633600.0,113633601.0,MCF2L;MCF2L,Body;TSS200,N_Shore,3.99279315934621e-07,0.0167540586779511,-0.0013195172999176,0.0001690671445995,0.371173419011479,0.0003098752379604,EWAS-specific
cg23741255,PSA_Amount,chr15,31090995.0,31090996.0,,,,1.66567850321742e-06,0.0374024538586393,-0.0037097027789387,1.0,1.0,0.0,EWAS-specific
cg26561254,PSA_Amount,chr15,89164044.0,89164045.0,AEN,TSS1500,N_Shore,1.12680319507285e-06,0.0307425293313328,-0.0014208894171982,0.0001203369599632,0.346085144849171,0.0005407455637053,EWAS-specific
cg23246911,PSA_Amount,chr17,154671.0,154672.0,RPH3AL,Body,N_Shelf,2.44328497899932e-06,0.0450733933751624,-0.0028333431183301,1.0,1.0,0.0,EWAS-specific
cg15690822,PSA_Amount,chr17,33391738.0,33391739.0,RFFL;RFFL,5'UTR;TSS1500,,2.41768322187707e-07,0.0131095187148978,0.0013377957300991,6.27510064545113e-06,0.214751571309321,-0.0004253894666152,EWAS-specific
cg00578775,PSA_Amount,chr19,20165122.0,20165123.0,,,S_Shelf,2.50207917145841e-07,0.0131095187148978,0.0012661776231106,1.22932376088212e-05,0.229404985106613,-0.0008226025812372,EWAS-specific
cg20709110,PSA_Amount,chr22,19946873.0,19946874.0,COMT;COMT;COMT,5'UTR;5'UTR;5'UTR,,1.52395970729999e-06,0.0368525108695981,-0.001567454634713,1.08257078564941e-06,0.110350046830865,0.0012527774957717,EWAS-specific
