CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Driver
cg04358214,Postmenstrual_Age(Weeks),chr16,67143304.0,67143305.0,C16orf70,TSS1500,Island,5.45817743546554e-05,0.0630485480012179,-0.0341236127353119,4.59907245970175e-05,0.0309128922527249,-0.0255002335194503,haEWAS-specific
cg05394010,Postmenstrual_Age(Weeks),chr16,2546596.0,2546597.0,TBC1D24,Body,Island,2.90949086152567e-06,0.0141726918192096,-0.0809665873109549,5.53734356947454e-06,0.0080543595436177,0.0664921965273948,Common
cg27156542,Postmenstrual_Age(Weeks),chr14,105932812.0,105932813.0,MTA1,Body,Island,0.0004045821361641,0.153307761889411,0.0577020250360064,7.14546556802633e-06,0.0093978231631514,-0.0440382399495087,haEWAS-specific
cg12998491,Postmenstrual_Age(Weeks),chr9,134152531.0,134152532.0,FAM78A,TSS1500,Island,0.0073806018705048,0.38549661814516,-0.0103396530423248,4.3412845371469e-06,0.0076033819496942,-0.0038623093054317,haEWAS-specific
cg15462411,Postmenstrual_Age(Weeks),chr17,79361621.0,79361622.0,,,Island,0.0036611785847735,0.312580036447843,-0.023074426156081,9.07803222174894e-05,0.0435199744044246,-0.0838979634873753,haEWAS-specific
cg26736200,Postmenstrual_Age(Weeks),chr16,69951706.0,69951707.0,WWP2,Body,,0.129756485053169,0.741732110435402,0.0158707266903714,6.17779457408901e-05,0.0297375122688512,-0.0082586070611988,haEWAS-specific
cg20345923,Postmenstrual_Age(Weeks),chr2,1983190.0,1983191.0,MYT1L,Body,,0.0292535224456189,0.550015591725634,0.0301546653486142,3.990247128526e-05,0.0244946345868357,0.0112606990911416,haEWAS-specific
cg11353598,Postmenstrual_Age(Weeks),chr15,70740451.0,70740452.0,,,,0.0073236482221565,0.384878966665834,0.0531098793039865,1.20722879078988e-11,4.9176851178845e-06,-0.0349746065934667,haEWAS-specific
cg08569979,Postmenstrual_Age(Weeks),chr13,41053715.0,41053716.0,LOC646982;LOC646982;LOC646982,Body;Body;Body,,0.0039117490543,0.31926950858336,0.0432999209631235,1.79355890259154e-05,0.0156772644250871,-0.0307344497256831,haEWAS-specific
cg15278374,Postmenstrual_Age(Weeks),chr12,131576088.0,131576089.0,GPR133,Body,S_Shelf,7.18604658301993e-05,0.071995318874587,0.0687394252514304,1.22138902182332e-05,0.0143241687665438,0.0770064097832566,haEWAS-specific
cg08830300,Postmenstrual_Age(Weeks),chr11,65246463.0,65246464.0,,,Island,0.0001015189471943,0.0852617923176283,-0.0375807607190275,9.74413456483558e-05,0.044680349888318,-0.036534514553676,haEWAS-specific
cg23971915,Postmenstrual_Age(Weeks),chr3,46742865.0,46742866.0,TMIE;TMIE,1stExon;5'UTR,Island,0.0066699246803904,0.374162731324331,0.0421260980691686,1.29613405217724e-05,0.0130393758094648,0.0050221447623632,haEWAS-specific
cg23705938,Postmenstrual_Age(Weeks),chr14,37049299.0,37049300.0,NKX2-8,3'UTR,N_Shore,2.75549955748379e-05,0.0441178153476123,0.0511301229234991,3.35031056711418e-06,0.0064550600171648,0.0546735895474041,Common
cg25718632,Postmenstrual_Age(Weeks),chr11,200083.0,200084.0,ODF3,3'UTR,,2.7965044368517e-05,0.0443873124348406,0.0469653322449601,0.0052679277831372,0.238547161472234,0.0007143436067787,EWAS-specific
cg09000583,Postmenstrual_Age(Weeks),chr17,46802888.0,46802889.0,HOXB13,3'UTR,Island,7.79189552548246e-05,0.0750831517495954,-0.019573311781505,1.52585284644485e-05,0.0165386800274108,-0.0031948899199486,haEWAS-specific
cg17040309,Postmenstrual_Age(Weeks),chr9,138145703.0,138145704.0,,,,4.49252438754016e-05,0.0572071069650849,-0.0714759572993886,2.53168807903389e-05,0.0224404079435956,-0.0581071436676226,haEWAS-specific
cg13504434,Postmenstrual_Age(Weeks),chr12,121088311.0,121088312.0,CABP1;CABP1;CABP1,TSS200;TSS200;Body,,0.0048786045296763,0.341977368982611,-0.0385745213236821,8.71196155596524e-05,0.0426589758276186,-0.0618441094491967,haEWAS-specific
cg00099091,Postmenstrual_Age(Weeks),chr16,776809.0,776810.0,HAGHL;HAGHL;CCDC78,TSS1500;TSS200;TSS1500,Island,0.0056442480855141,0.356214538846314,-0.0163944063105121,1.41168248616397e-05,0.0157303428528356,-0.011064632006001,haEWAS-specific
cg19600115,Postmenstrual_Age(Weeks),chr3,26666855.0,26666856.0,LRRC3B,5'UTR,S_Shore,8.28199148903622e-05,0.0779968143268071,-0.0485277337514512,5.39840711793072e-05,0.0280334699960204,0.0320382443923608,haEWAS-specific
cg10817887,Postmenstrual_Age(Weeks),chr17,72732964.0,72732965.0,RAB37;RAB37;RAB37;RAB37;RAB37,1stExon;TSS1500;Body;5'UTR;TSS1500,Island,0.0834166528939532,0.684147732342626,-0.0090200383194331,6.28133405993531e-05,0.0299393591731271,-0.0075462026881472,haEWAS-specific
cg27095256,Postmenstrual_Age(Weeks),chr1,25256377.0,25256378.0,RUNX3;RUNX3;RUNX3,1stExon;5'UTR;Body,Island,0.0191807471773142,0.497641892760875,-0.0102824282219465,2.0783024772025e-05,0.01992854371799,-0.0053338619661337,haEWAS-specific
cg23639308,Postmenstrual_Age(Weeks),chr1,159899714.0,159899715.0,IGSF9;IGSF9,Body;Body,Island,7.87345003955784e-06,0.0250504452805883,-0.074274969497303,4.21707581296029e-06,0.0074964745480938,-0.0759913050632378,Common
cg08846870,Postmenstrual_Age(Weeks),chr19,15568360.0,15568361.0,RASAL3,Body,Island,0.0572779049244853,0.636783924493974,-0.0123692291798964,9.13675361423913e-05,0.0370969722634167,-0.0024126724834111,haEWAS-specific
cg23829273,Postmenstrual_Age(Weeks),chr2,118617782.0,118617783.0,,,Island,0.0008179761317369,0.194068075736429,-0.0846741475368338,6.16333959995114e-05,0.0360389229450526,-0.0412522583213654,haEWAS-specific
cg15825321,Postmenstrual_Age(Weeks),chr17,36666642.0,36666643.0,ARHGAP23,Body,Island,8.20269919555242e-06,0.0259809645914806,0.125967086017202,1.0,1.0,0.0,EWAS-specific
cg02259047,Postmenstrual_Age(Weeks),chr14,104175555.0,104175556.0,XRCC3;XRCC3;XRCC3,Body;Body;Body,,1.41081860980818e-05,0.0329964779117729,-0.0664151162838907,2.7495663888642e-06,0.0055564437722637,-0.0742925680068887,Common
cg19261633,Postmenstrual_Age(Weeks),chr1,178345210.0,178345211.0,RASAL2;RASAL2,Body;Body,,0.0264059666840358,0.537074169125951,-0.0133691481694227,2.0439237004009e-05,0.0169198408535305,0.0076161318160279,haEWAS-specific
cg24545961,Postmenstrual_Age(Weeks),chr13,96205960.0,96205961.0,CLDN10;CLDN10;CLDN10,Body;Body;Body,S_Shore,0.000226962125249,0.119544048614667,-0.0581089528979659,6.30989582600829e-06,0.0095898616121965,-0.0672530340504213,haEWAS-specific
cg15414975,Postmenstrual_Age(Weeks),chr5,1866120.0,1866121.0,,,,0.0001579007069921,0.101633419604702,0.0701835861815195,2.21416208090661e-07,0.001074464142489,-0.0426871640879242,haEWAS-specific
cg24791360,Postmenstrual_Age(Weeks),chr20,39657087.0,39657088.0,TOP1,TSS1500,Island,0.420947022343242,0.896603297925769,0.0043854557161116,0.0001528369469344,0.0483149870510721,-0.0007090420090822,haEWAS-specific
cg07015784,Postmenstrual_Age(Weeks),chr2,219257760.0,219257761.0,SLC11A1,Body,S_Shore,0.0005371206692663,0.16898104789483,0.0550402471663293,4.82898716736051e-06,0.0073866707183512,-0.0548777552027707,haEWAS-specific
cg07614018,Postmenstrual_Age(Weeks),chr19,18811575.0,18811576.0,CRTC1;CRTC1,Body;Body,Island,0.0460574022680499,0.609304986648982,-0.0283328428642107,0.0001234725365099,0.0434672748417212,-0.0094821773301649,haEWAS-specific
cg13508402,Postmenstrual_Age(Weeks),chr7,127670570.0,127670571.0,SND1;LRRC4,Body;Body,N_Shore,0.0753197474321084,0.670701840210402,0.0238276169628252,2.6305147063362e-06,0.00514148713324,-0.0155715298960174,haEWAS-specific
cg01314252,Postmenstrual_Age(Weeks),chr3,9943828.0,9943829.0,IL17RE;IL17RE;IL17RE,TSS1500;TSS1500;TSS1500,,0.0031471069569047,0.298954652399982,-0.0311187571886759,0.0001562155826741,0.0488802813086597,0.0397543568184307,haEWAS-specific
cg00535785,Postmenstrual_Age(Weeks),chr16,49766785.0,49766786.0,ZNF423,Body,,0.0082355437282544,0.399288416870121,-0.0212295840932367,8.98599061663219e-05,0.0367067609562096,0.0211161320973978,haEWAS-specific
cg21830020,Postmenstrual_Age(Weeks),chr19,8117632.0,8117633.0,CCL25;CCL25,TSS200;TSS200,S_Shelf,0.0117696219508066,0.439362770498363,0.0176960909567632,7.61134429259425e-05,0.033567042130338,-0.0116705180580895,haEWAS-specific
cg22510662,Postmenstrual_Age(Weeks),chr5,36202853.0,36202854.0,C5orf33;C5orf33,Body;Body,,0.0034390863420302,0.307683950557603,-0.0359150773112627,1.32844592401647e-05,0.0151501199046672,-0.0526172269777066,haEWAS-specific
cg19580937,Postmenstrual_Age(Weeks),chr15,70740429.0,70740430.0,,,,0.0113321944501731,0.434966456822543,0.0544681652288035,4.69463371788911e-05,0.0313176996123085,0.0898473067758946,haEWAS-specific
cg24165760,Postmenstrual_Age(Weeks),chr14,103243389.0,103243390.0,TRAF3;TRAF3;TRAF3,TSS1500;TSS1500;TSS1500,,0.0316191809651197,0.560815477408187,-0.0120503967808981,7.0780117645286e-05,0.0323448267506879,0.0014904041222911,haEWAS-specific
cg14052728,Postmenstrual_Age(Weeks),chr2,95941719.0,95941720.0,PROM2;PROM2;PROM2,Body;Body;Body,,2.12928143792012e-05,0.0396886889117589,-0.0981007729716544,3.03576020581158e-05,0.0212545503603708,0.0611720210561416,Common
