CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg13894813,Liver_Cancer,chr11,68181087.0,68181088.0,LRP5,Body,Island,1.5683575404373374e-32,3.52012304184777e-27,0.350847326971659,3.06173926366269e-08,0.0001669454708367,-0.17213220166314,Common
cg18473978,Liver_Cancer,chr3,195615386.0,195615387.0,TNK2;TNK2,Body;Body,S_Shore,1.8149863058712382e-32,3.52012304184777e-27,-0.4733759746335552,0.0002483645612161,0.0522593095669245,0.409916056520406,EWAS-specific
cg18440230,Liver_Cancer,chr5,172305889.0,172305890.0,ERGIC1,Body,,2.1768077334871008e-32,3.52012304184777e-27,-0.4577750762919832,7.69894812138042e-05,0.0280887622588293,0.316458238484757,Common
cg22799110,Liver_Cancer,chr11,68181288.0,68181289.0,LRP5,Body,Island,1.1310360157193648e-27,1.3717515833548782e-22,0.3649817308157089,5.89177020788464e-09,5.16804308702263e-05,-0.199688290452364,Common
cg04073934,Liver_Cancer,chr4,3372272.0,3372273.0,RGS12;RGS12;RGS12,Body;Body;Body,N_Shelf,5.215701259613701e-26,5.060596735555309e-21,-0.4080378747064995,2.87197620215349e-08,0.0001609483385677,0.21273542623781,Common
cg19854293,Liver_Cancer,chr5,1052919.0,1052920.0,SLC12A7,Body,N_Shore,6.975640301651495e-26,5.640165591967486e-21,0.2990778835060788,1.0,1.0,0.0,EWAS-specific
cg26915558,Liver_Cancer,chr11,68181218.0,68181219.0,LRP5,Body,Island,1.3087153022520374e-25,9.069976618526187e-21,0.307897851003758,2.73336960309448e-05,0.0156662069318268,-0.12528555927979,Common
cg12362629,Liver_Cancer,chr22,36716469.0,36716470.0,MYH9,Body,N_Shore,1.6760283365222254e-25,1.0163666286567048e-20,-0.371364959141081,2.28619524107564e-06,0.0036033919874914,0.162913707474832,Common
cg13253199,Liver_Cancer,chr12,109684116.0,109684117.0,ACACB,Body,,3.1953233976432505e-25,1.7223893724689643e-20,0.3368387236955337,3.61421659805817e-08,0.0001870304737065,-0.188706058869316,Common
cg06621784,Liver_Cancer,chr1,53480551.0,53480552.0,SCP2;SCP2;SCP2;SCP2,TSS200;TSS200;Body;TSS200,,2.5336578822006597e-24,1.229155982049888e-19,-0.3425518948735414,0.226100906633429,0.743465678078298,-0.0660064115154911,EWAS-specific
