CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg00026222,HOMA-IR,chr1,2144244.0,2144245.0,,,Island,0.0446139822083434,0.789972096179513,-0.0090538539177292,1.49750814833585e-05,0.0468558484054308,-0.0060880976658345,haEWAS-specific
cg03741406,HOMA-IR,chr1,40255103.0,40255104.0,BMP8B,TSS1500,Island,0.0025192767938462,0.570640948966639,-0.0117991193235935,1.88821038499731e-06,0.021386542864826,-0.0048924738045969,haEWAS-specific
cg12470011,HOMA-IR,chr1,205473662.0,205473663.0,CDK18;CDK18;CDK18,TSS200;TSS200;TSS200,N_Shore,0.0362523119540107,0.77374196193334,-0.0094462686122432,4.77246105445956e-06,0.027910943066831,-0.0093090130234823,haEWAS-specific
cg14028892,HOMA-IR,chr1,184943191.0,184943192.0,FAM129A,Body,Island,0.344037637631458,0.934523046375146,-0.0048291327262948,2.49202159477673e-06,0.0218612594401788,-0.0049586935979983,haEWAS-specific
cg16903122,HOMA-IR,chr1,44584429.0,44584430.0,KLF17,TSS200,,0.0110058763646505,0.680332083865093,0.0143699300129464,1.50093546734432e-05,0.0468558484054308,-0.0269563948984197,haEWAS-specific
cg19623875,HOMA-IR,chr1,33647561.0,33647562.0,TRIM62;TRIM62,5'UTR;1stExon,Island,0.002767765277688,0.577739840619661,-0.0132160562075677,1.92690823499555e-07,0.0052589607751328,0.0061558005397645,haEWAS-specific
cg22351924,HOMA-IR,chr1,27994914.0,27994915.0,IFI6;IFI6;IFI6,Body;Body;Body,Island,0.0116510648444698,0.686150451697156,-0.0123745591726941,6.16105205902672e-07,0.0116410709019903,0.0321221225647664,haEWAS-specific
cg05301188,HOMA-IR,chr2,10184457.0,10184458.0,KLF11,Body,Island,2.15837443947144e-06,0.0522811637382518,-0.0579706908920725,2.87190059035269e-07,0.0070542494200833,-0.0247920997270429,haEWAS-specific
cg15934368,HOMA-IR,chr2,240044021.0,240044022.0,HDAC4,Body,N_Shelf,0.0005280364286235,0.407934454337889,-0.0252361007728804,3.47870618272641e-06,0.0408581947311632,-0.0374034726768316,haEWAS-specific
cg17102205,HOMA-IR,chr2,208091961.0,208091962.0,,,,0.0109747575270926,0.680332083865093,-0.0140543528363473,3.74069950691681e-07,0.0083529819989452,0.0131139542823809,haEWAS-specific
cg20853880,HOMA-IR,chr2,10184444.0,10184445.0,KLF11,Body,Island,4.60452659193895e-07,0.0174412816319792,-0.0649990083604187,4.17147608672907e-08,0.0028011667366108,-0.0307114675897949,Common
cg21295476,HOMA-IR,chr2,219844896.0,219844897.0,,,N_Shore,0.000262412622057,0.369499897550969,-0.0155469502839354,3.02663650138064e-06,0.0372413208940119,-0.017881272793857,haEWAS-specific
cg23219933,HOMA-IR,chr2,128110833.0,128110834.0,,,,0.0001347365539304,0.310355637775553,-0.0238349691358236,2.87320633224121e-06,0.023207325202242,0.0292166683963045,haEWAS-specific
cg01314252,HOMA-IR,chr3,9943828.0,9943829.0,IL17RE;IL17RE;IL17RE,TSS1500;TSS1500;TSS1500,,0.0069383232469021,0.651130103800363,-0.0128340684695056,1.60264727237837e-05,0.0485997838906543,-0.0118407264870077,haEWAS-specific
cg02930432,HOMA-IR,chr3,50375483.0,50375484.0,RASSF1;RASSF1;RASSF1;RASSF1,TSS1500;Body;Body;5'UTR,Island,0.0162000809574248,0.716397041740028,-0.0097445678743629,1.1894437937567e-05,0.0389550772080612,-0.0141203032341214,haEWAS-specific
cg07542475,HOMA-IR,chr3,44903330.0,44903331.0,MIR564;TMEM42,TSS200;TSS200,Island,0.192758166377879,0.895917698912638,0.0062213606729779,1.70613795613937e-05,0.0498903174007755,-0.001731643595693,haEWAS-specific
cg09386807,HOMA-IR,chr3,50375496.0,50375497.0,RASSF1;RASSF1;RASSF1;RASSF1,TSS1500;Body;Body;5'UTR,Island,0.0032182661883025,0.587642994887862,-0.0138028471421351,1.55658551309905e-07,0.005098589965422,-0.0206879886119483,haEWAS-specific
cg12872693,HOMA-IR,chr3,179168798.0,179168799.0,GNB4,5'UTR,Island,0.0002866034257883,0.369499897550969,-0.0167534648334398,5.70200451209307e-08,0.0028011667366108,-0.0192719965634824,haEWAS-specific
cg18062721,HOMA-IR,chr3,11643427.0,11643428.0,VGLL4;VGLL4,Body;Body,,0.0051944546311007,0.630664279209201,0.0213884034851663,1.05902667973976e-05,0.0389550772080612,-0.0096926625819102,haEWAS-specific
cg22535057,HOMA-IR,chr3,9542104.0,9542105.0,LHFPL4,3'UTR,,0.0060506375827573,0.64276681464324,-0.0099732359999931,2.38263094521756e-06,0.0216757644101403,-0.0109169418930802,haEWAS-specific
cg00464757,HOMA-IR,chr4,3288648.0,3288649.0,,,,0.0016553622084154,0.526422168268924,-0.0149549315632544,1.66057565132012e-07,0.005098589965422,0.0336362260692849,haEWAS-specific
