CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg05575921,First_Episode_Psychosis,chr5,373378.0,373379.0,AHRR,Body,N_Shore,9.143623961277902e-26,4.1179956361928064e-20,-0.2740063235192482,3.758298954222227e-19,1.2709777820399185e-13,-0.2383654896783529,Common
cg12803068,First_Episode_Psychosis,chr7,45002919.0,45002920.0,MYO1G,Body,S_Shore,8.781903502238849e-16,1.977544158248152e-10,0.2156398324075046,9.947556013247969e-16,1.4091539212952968e-10,0.2156568021151676,Common
cg03636183,First_Episode_Psychosis,chr19,17000585.0,17000586.0,F2RL3,Body,N_Shore,1.864106392254922e-15,2.7984462255568823e-10,-0.2107320189605149,3.181897509981677e-15,2.37893356806004e-10,-0.2085900145548801,Common
cg21566642,First_Episode_Psychosis,chr2,233284661.0,233284662.0,,,Island,3.0678121520969178e-15,3.454111058288961e-10,-0.2137221071135575,1.2500663151425402e-15,1.4091539212952968e-10,-0.2162931804322194,Common
cg26703534,First_Episode_Psychosis,chr5,377358.0,377359.0,AHRR,Body,S_Shelf,5.256194398535372e-15,4.734443517759155e-10,-0.2014761092984699,0.6306029116806315,0.98019435881686,-0.0129601254871536,EWAS-specific
cg09935388,First_Episode_Psychosis,chr1,92947588.0,92947589.0,GFI1;GFI1;GFI1,Body;Body;Body,Island,1.1082670923246674e-14,8.318800563934594e-10,-0.1986347180179379,3.5172698009930245e-15,2.37893356806004e-10,-0.2028749377570868,Common
cg21161138,First_Episode_Psychosis,chr5,399360.0,399361.0,AHRR,Body,,1.5100427486250437e-14,9.71535618018234e-10,-0.2065050705515073,5.362528839274674e-15,3.02249106722845e-10,-0.2106837306004563,Common
cg01940273,First_Episode_Psychosis,chr2,233284934.0,233284935.0,,,Island,2.4709851877727794e-14,1.391065821308564e-09,-0.2038061810167563,1.4390412363633052e-14,6.952193232458657e-10,-0.2056285575254428,Common
cg25648203,First_Episode_Psychosis,chr5,395444.0,395445.0,AHRR,Body,,6.059027237435919e-13,3.0319910876328224e-08,-0.1821663498500373,5.372353890970667e-13,2.2710215831182104e-08,-0.1825099806460376,Common
cg00501876,First_Episode_Psychosis,chr3,39193251.0,39193252.0,CSRNP1,5'UTR,N_Shore,5.906295524113436e-12,2.66000650260392e-07,-0.1491052360491174,7.736921416414603e-12,2.616464347681674e-07,-0.1479904889573568,Common
cg24859433,First_Episode_Psychosis,chr6,30720203.0,30720204.0,,,,1.1062653138334835e-10,4.529331789641439e-06,-0.1651534933963826,1.0,1.0,0.0,EWAS-specific
cg18146737,First_Episode_Psychosis,chr1,92946700.0,92946701.0,GFI1;GFI1;GFI1,Body;Body;Body,Island,1.7687401099086343e-10,6.6381995484944325e-06,-0.1732189712940382,1.0069571845466365e-07,0.0017767659008401,-0.1463573631493346,Common
cg18316974,First_Episode_Psychosis,chr1,92947035.0,92947036.0,GFI1;GFI1;GFI1,Body;Body;Body,Island,2.550213556852627e-10,8.834881378250798e-06,-0.1710074930710556,0.5672090736971792,0.972299681257258,-0.0467003150631196,EWAS-specific
cg19089201,First_Episode_Psychosis,chr7,45002287.0,45002288.0,MYO1G,3'UTR,Island,3.965865096308268e-10,1.2757848083529729e-05,0.1697390505366692,8.83697911383888e-06,0.0347497762760339,0.1216379634721011,Common
cg15342087,First_Episode_Psychosis,chr6,30720209.0,30720210.0,,,,1.580196756121696e-09,4.744467017740107e-05,-0.1558092034397709,1.0,1.0,0.0,EWAS-specific
cg23576855,First_Episode_Psychosis,chr5,373299.0,373300.0,AHRR,Body,N_Shore,2.054712004433087e-09,5.777485723432573e-05,-0.161482014028227,2.018557431043954e-12,7.58481926081126e-08,-0.188384486774887,Common
cg24090911,First_Episode_Psychosis,chr5,400732.0,400733.0,AHRR,Body,,2.1808222897353663e-09,5.777485723432573e-05,-0.155246401572968,4.356957979594741e-10,1.3394833568921549e-05,-0.1621270875478664,Common
cg04387347,First_Episode_Psychosis,chr16,88537187.0,88537188.0,ZFPM1,Body,Island,3.0702717298966103e-09,7.681956324722649e-05,0.1507273122162007,1.2500766981009507e-06,0.0103109679923678,0.1260178355842355,Common
cg10750182,First_Episode_Psychosis,chr10,73497514.0,73497515.0,C10orf105;C10orf105;CDH23,5'UTR;1stExon;Body,,7.045404313001832e-09,0.0001670012973493,-0.1143248985761803,1.9031325290470032e-08,0.0005363328796171,-0.1098561607488877,Common
cg25949550,First_Episode_Psychosis,chr7,145814306.0,145814307.0,CNTNAP2,Body,S_Shore,1.789186579719855e-08,0.0004028961907676,-0.1309755687989317,3.3436357082258745e-08,0.0008698056770554,-0.1288621210661873,Common
cg25748521,First_Episode_Psychosis,chr7,139366758.0,139366759.0,HIPK2;HIPK2,Body;Body,,2.6809014483480315e-08,0.0005749486778521,-0.1180082064569315,4.23516302838159e-08,0.0009989693284918,-0.1167261783567045,Common
cg12876356,First_Episode_Psychosis,chr1,92946825.0,92946826.0,GFI1;GFI1;GFI1,Body;Body;Body,Island,4.0887503830146544e-08,0.0008370192420443,-0.1457965508610303,4.4309492686942855e-08,0.0009989693284918,-0.1449107540930234,Common
cg10241823,First_Episode_Psychosis,chr17,841205.0,841206.0,NXN,Body,,4.51379542500036e-08,0.000883856094768,0.1304205986555093,8.610793399262216e-08,0.0017767659008401,0.1269477623471047,Common
