CpG_ID,Phenotype,seqnames,start,end,gene_name,gene_region,relation_to_island,P_Beta,FDR_Beta,Effect_Beta,P_haEWAS,FDR_haEWAS,Effect_haEWAS,Group
cg21795255,Parity,chr4,10009916.0,10009917.0,SLC2A9;SLC2A9,Body;Body,,8.823580628504035e-12,7.205371235558909e-06,-0.4357671753657488,4.30431572905021e-08,0.0027543981562623,-0.3568983283190395,Common
cg02527811,Parity,chr2,241834907.0,241834908.0,C2orf54,1stExon,,3.3583341679692834e-11,1.3712145574501943e-05,-0.4157437269205171,0.0004446781540546,0.2054834627699707,-0.2246362112413686,EWAS-specific
cg12091331,Parity,chr8,42065314.0,42065315.0,PLAT;PLAT,TSS200;TSS200,,6.448875940113143e-10,0.0001303261152191,0.2811028497028167,7.570757420494875e-10,0.0002664554571794,0.2803355905146146,Common
cg05629653,Parity,chr18,20838430.0,20838431.0,CABLES1;CABLES1;CABLES1;CABLES1,3'UTR;3'UTR;3'UTR;Body,,7.979762235988715e-10,0.0001303261152191,0.171683904656105,1.5056173533355592e-11,1.0598145943343737e-05,0.1788808495472827,Common
cg12765042,Parity,chr8,42065298.0,42065299.0,PLAT;PLAT,TSS200;TSS200,,1.5816668124604943e-09,0.0002152659076204,0.3349323114833343,1.561345927143982e-09,0.0003663474425127,0.3357433140710083,Common
cg16517419,Parity,chr5,3980447.0,3980448.0,,,,2.0241021136974557e-09,0.0002361271260648,-0.3120499265923876,0.0002010975505982,0.1585140789811742,-0.1620984406015168,EWAS-specific
cg12321743,Parity,chr10,81368678.0,81368679.0,,,,4.037839272063128e-09,0.0004121644626154,0.2261079343164415,1.161820069999796e-08,0.0016356265600266,0.2389925635183294,Common
cg03307659,Parity,chr12,34547930.0,34547931.0,,,,6.7809041240671215e-09,0.0006152570479255,0.3757107978514171,0.0798011537941375,0.774850901761948,-0.117582812101512,EWAS-specific
cg06998183,Parity,chr10,33797122.0,33797123.0,,,,9.061362041711152e-09,0.0007399544488709,-0.3356225654775251,9.186012048695756e-09,0.0016165245457903,-0.334307751066101,Common
cg00797703,Parity,chr4,81093567.0,81093568.0,,,,2.8993335124221334e-08,0.0021523703123436,-0.1644819694385702,2.8631247722364854e-08,0.0027543981562623,-0.1640810800108952,Common
